,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,87646600661351.023354757002006709507493538008824514224073508984658960319143067061321371047127503174824547801413555027282926327602298328851768279255774016825086229515424818858607321997704679889180711319508143413655477619521488822152620947635765603377790726698445080924338469006040955753304250327944088319273525899060892425318420523903191313969240656138646150005137987964734889376668362654393687379347483723078395898396897958176737876687692524147180865391098630309759960332781367828036345616084469921175,71.756801653359939953167284206247371893224667966449060107228118839429284620154161383595769098815724875987155915810863364198147206823581483930071071101216988268012866115182944396955358587807374267933531239452121429490355019988282413421188248484182073466984428195874200179187165956083925226085407395899091373363822266265878332619576455059208243636746423322219050518794421225383707172868679744557365665159008594558332769247505339492509920233401035792520676296054138494690773528298502355513594183419087249,453.82986166710712876322211160846489952316989842738802943701877543121162605356392660199007649838296375854186046999839617079730304320354426591681782262028428751738990400203811023806453571471717659250009818778430171275364483135923823708959268914303035573247138196843561213748004514251262788177084955859072091908065716065208522224313948228780790768013313609487775363164419738390044991476573375268975053763300094689900672285140181548275650658079633109499814891120418877982507969318846555795735950490911872,5.5104942871849604201876907696421464422658490366102056548838902598262447633410193473981630372336582111894120506784404316142799200107465146415644195133477854782362378262612442357905658441435728312048332152466749737811630296792039549469455046526385384831397158072576924680464252995198760388286462565047567220647591948803272119291704916334327591509302289450819586776200671388264019978992594251427316607208938376950188435622203344848782428718445980824821210961071054582925630152929930070783196091917799488,0.96530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000633997957357881,0.00000000210310517,0.0000000000000000000000000000000000097324604838676509303055625860377834605771450118402450463562134540601542089728195176550734213500026835583322150272350932771487923138677175808627679783884787653037775396853455162719325594441368411526019857736781074824206852064867676048574553180305378491684474370335421280700697686658750604020433648527508549970112669164705549504730415814336421322873309071899879976697483470061087184648847063239403708738983832847268153801240472164289485637684218576278305995730005201510204131453695080009896488320470906,87646600661334.523570343686156169355908093991167869837186885481368777486693021483453165430584436751962794822109034954426011279989248451655884700093014720704536149864854218839543165098838179538846133175139354942645416534970752135045340752305290405126873602347763397236959083121702112642391853702767379622902785396746900702833278511984263002059435769028451542472294833516301970015218329144656893908814000417652840319736940651622238439193995870253647185120118134061658830895389841540649002385807550413006
1,2687403204412521.4796695419093385593992553820991522171166871813045576821571483955459624284236255786163059854558819392805375364820582757048126490943909605171911274508234600018036380113048551585746290475206992543456334787966128978518961229785746073083374568360065218592768242630444940348912367668284910731113527532361260128013608742823036392013618180346925439633347187030884932978697459278959185923816156478289946665386825343343361234991496690044378839719164272507616503914364758639691318303422786259978,50325.318309321953912216552740241217926328559625343481524699677900173939233316129779397324109981630703795629199110595341368159892431084954579592667767539737671003766609370818395492761579932515414940542760681965205439036842978649437133394374682163811096818613184138408099096778315121406251468879200543207640351110231821357702477322386790511360100424521936190286731910503388302419192028436151369140666483568626718345314372410381418856505387156821676401536487677225005722890623331793158095637152952702718,318285.2596608630551335133489831455367921489019339683206347757966213980138630472173692830242205675003031683272143408873999610188006343216781880205829848942872750242609491381981680661480805751706347524605158304107656153942214904101108670277602468833972280803011620141466819981462967375483597688744889337662562616100017058480114033692715638272169923043396846352572272546353940468443086100331909330645991553865285456014954535615303962903680461102288174957122980983085286514917815052547226729883677985516,0.0043724313397125285230423342064491371934580437116383905373561627361433152480956126494870702484681138381863467144002925430127002813413540617939313470252088048111300475042478993389059743141612485620062234225190831775304365454084408048585824065513844279589761161911956379752416617467726945124905784658492936884868239169309942799027734700470046604268977768514827483276335220787603898970562952842542602156840592936543587087599216120776304141969466547954478809723523217264829191610201652557862904865594342672,0.96530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001121975929,0.00000000210310517,0.0000000000000000000000000045005446178632291217730233404713764995526635031133887134500953005327571059974501025475779805523959576411731675318042099731136978345769545918572317829569947534933081642409919877460695848694305087672208919474892190899852715413159640919719233759542094157463414972927334297417615550927753147270986271619239506879975909743528501304806839113995923050765045935403678247597816955688483241103977271389759768530721863242612760661745246510861662787989709354786874378670374444231805001378932199534696808823621285,2687403203936888.9698698275070120280806199507759743953467828965390034777113577387025808789432631787105592733237707649150836756028072540305171907275451813545182032444864924060166397438157744167166295516740304087622402890965451678248670875159680825698218140507844936467297412338846424580048478115452834664816878655387920971687622792129272964593100509864128758861254084834940680561452756437050860166665778490810959122390371931643582159498652437637531684115884330917811968878412113399602921498072338821562
2,5302680494387807.8871751096853204320978496537893940510300684223630992797454918618108887111983602767005565964794459089386238890276683989519427537662735667319137604482255470769826252772404787674934647810778517152993889960653361391422567953906659038461761251858437741087851040482411845377813628583446321556552305397378810689712934337997869253550979637481696234951873417016542379182012829496582918128921242063019043992242159428269862521099687614304848661035431209624412109989053820314156472436434759518488,185511.87493504085311922478437492368883910680613889254053891725121484929728541992479371723987755615574190364530069065206068793128691312645175511362031469111416850462615622490616196047317336257129143029953090471884543958292893176899299511032732880561358177621871808785882742480730827791935875710466844789371586128196175391276662225173865487008442562933363312412876362050243024757812655513012578959260690711289249436509191222668334733291744921266243449580714651172965312258486723575331182072721103601411,1173280.1156060599587100535165204430368267772016312450780651582121707375398788594780207171842474075528613005130112846015895270748731817626862808429945853434928645961680202306205022262442384921757586357091364931418321201128673170099156439745613930989980865461193741603026481941967013201789480931339774026599088006175480960026719529898410676519173729161383251010821495353668474618231225090154533402865951632211289830606399067090552385348946583323481021728083225495046814296205273951344053730265431081783,0.0010633045323333371113019794834875220215443858940733744389117402395387386348122501242894651680459414002867499879619466224800267684867502126405794768496343887808347097539432693858134945220995507149476513197978361561010913681390063489502682698961741213206333495085206448614840192785521750064529431290418776695530501326894173668181416875669045384056062229223581531071681074727787901661566479084603757960553295302930214034751636528540374632589722948295878887157002818551928546698396330604217749742374648907,0.96530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053719864,0.00000000210310517,0.00000000000000000000000023810071470164359851923576741809237708505254894000697239219377618466499026803714267883413603189518272715553964331980797036943002025905192179529606461183758104997172944911026234545252494060438063274474327393945358427750806157998127733231058117817003721915967580021688141297995768047319145383272585352359214282722271447453594576990840171520542117806078190473771075465611628708321757017512161753738710834223253208719236332230368270674362389331762720825128903863954771748802804687760433063675956996413424,5302680490733884.6479108149665388034269637116324863485435370814969421105476701803176829933228438761567384866495888650226972035687492211302915536542100875057653456533844978938019262412599706712643428121552600674708627101760770493661745037767231695825328614159965772020905935039594504727948391977224043000567337413635544248420920951015210814281063603327938603007252483486711125185054473906180809269470766650878684239132131738832288270592898041102294851322112664423059022371659062336292886875932146990983
3,7924440070970621.2333948503677902769508550082364104077662012356020281918605452517450036103796311945906559844990958679018911343527791505717268893175619427503736407497113142351418571177275006743005641805536715194283109088194499955963027004662314048177851369985765963020574171368732712434858485740368296972665341341672001754486740266829575281164319939340673497984390141270928222193188613550299963955437320828265173867264835637498691671120583807150747547892064514055384087407981207701554746864941117081411,401327.79444030030179781106766042570276531658586500958742925186138321137672843979556841219960853445388078468164417240701704723080411589118323929763398176886775707606397868067590890848016801744349313132358796650068821915935455126689501458413622291353552319102904503087574857447739507213972932632206570956356898365541346263415590945454845507755712628861734612057153432959647513801455227001406811963741844419351084442960961159068918097156387433677178477020584939334417348259520703594586666839144409633853,2538219.8375264177402875944985614233980579775237920801267702035600075640381893006055030247533543040048171895813008239224052859123444395575940508303798913514560646448462952413821854927754776545829625431229878225776680940677635415341768195836442121594612327198010637057125472073131080777289152980629853375872195202394261543965520622220032146984535808586943073705681202591176391632335607648239491976134700420726351781833966551459401156164702877255173913380302411944292879711735378440960563806781882326838,0.00046120359886867086883636948952582373501382342456063369671086782450644884066324413698627408573305656617355770465368027082260170264273950255817491564132064620591576732607200389148677695423470111785890827654854190056830826269453823744349400094287585225221230190535183122432148889397971183933141682366416386920665352400614382936901903300454417204879413140851989833241546107802838049592069930104561299746790785754513062632306380427074901914201394509907462088672394653980084103128375925996665845526083949069,0.9652999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999680133,0.00000000210310517,0.0000000000000000000000024886395385387545828597997202877840524162755713444390881817979822957148282058973286323696549714350050368882542011631569508267655222955318096181740651283161311458404978273849405801136865367642217545151143167356249141161995204871709232653145620216792260471816546636966251493010328252211873034413759827337775887050100319397636614484231711928729264653435281384111019648627825299437833170939970327578446018805259936720646556564638633234849052656289752470380553375675745066175737413064517105892589600947233,7924440058775705.7302586001542393393470007747781897619934656630568815004293372067721888431428365987482445783559567447298072697747539490646233339377203031115959735044678972924487235867721457991026048618253603320211190219250782535145592026187487989932702186349450265064626462632058222699808106414781385797113724933052149888197936917605559236580420561403070831159631150092155269213110834528803010514530067404370756169123223728349967093274131913678624795152054356751287542920453862062252054824631465533572
4,10550482957004731.389315880371735466580045790312961455752708473170855811405563711568233385352401702601115228420116502382997229197739550765352729743838093289754794528050283772813807800352052978873974935473056792630332887503155941000644555398531444447108517324507139788633391854497475237837806671848910261474147177614911069253810037557090395629654845610992227174513330167044955035802359343049033874220705655778875264266579923912948535183812447079206972386061818673990527614462733820480144558189027655032,695593.84782404700438867003149795119328009069047886145416447235545901807078611928637743640022856834299568947784844696825585487698049058690978550576912595357490979529007080016013640585949972840925104686363591526632918732694569061642990996703526128011527137477270182833391777664169030728756010801997765440529167356193679766177202823196496812508284557183544800603835462740006292229403812345704316130712146529471028007210883841696955371312441504517605253257383132829497540848768264790916342019382675261126,4399321.7710490911430807569735854367261901736141567305203267969994715603396393975295591298726446531778479203396178070572437287133797846539924745331566926118651203841822546662510831929353421985958849121650546431057377450064924813971178538547999775648773848203918803347365974812194230783800626947261404689615798949769620650358662752279610092826684794442750405339987964043260274080520130013886101686410370363228056155905570963380823479761284493858123264717463205178934437166667993850548254605197706175125,0.00025440999053699642912041516151833695458145079411918942497421724380537088474475172171102929278669934359384061927231571118055581386664981765185983812838428538234071510247324951256747141385560349102979885386364777858028604787275125340736988727825762721415354777207302207234189983082342345031810217003381317827775441131020471601682930121006954992295118539020883366175947217291036848818775296238629131390896862860936204238451386345941608032995163012962386229717910217648130479415827527657139332529420984932,0.96530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000526252,0.00000000210310517,0.00000000000000000000001325203256033983823717783250989247761297356221124059334620178854043959884826575930325033614885069833235009537500163578378835517357641982713014595049270562396226257056289217677352325949671425220342730946948734236246486366924744906484733606059017005556874159470856399042209232579974122710561757543377492867669388522265986478051762564334937680945944620213468877709767929626515212684460942572745446706645553169087081777829795899650467354413417223620976071654100618604798214672459026816059372654882481417,10550482928224779.712101647090290976417031977828506128631046803224351466875399320666101762788913631446946944047770953137403770708907270168876648742020978198863596725508930942156899761125368754998085041013401729412893385472812994817809246064066287675712971848523119195885203143580918331651699294664397300948109596174820810296639258034324187331992097691440784042379420220084894863775533341691393772204251799979764927078864374257642189545883151064639751353779852137808844283373711843012150502593002724686
5,13179744484936124.702872739730227470950098416716552541278528438737690725117106062505632664387566802937815614556585993242801047955157731125193428502670352577620199928140642374785820286758260435282368197392926005296972526088182681877884084095133618065511112917366542903112422788848900116520932039236470362159229611593049452913554686939908943276695024537696258913158332576870453088606510066923339355410406834900891029498555628283354196667644443180376083970617739217948315617514627066027716423548657363131,1066835.7869331761061753027010342236091642093722197595028449769671680206276684579408457847853820260658951922669690507639266111348276204086341798561087892119414276435787338679969654786038519978091746846854071407963203801173185622499413245141218848327644559900435438897600449328472914812755725849611445795445740803615658856350235234950262032088205387916494466880530991145628404297495063355572081480580567019921115739179223199900749786784352265242147726466385655973689019444403272918803544776016637473931,6747261.9521738605620955471818590844532274613630478831617123544682364474756098029029342698475666251004627837022242161459292647069062780640429586021963819543696840814061348181722962675345296431396881917693464885359206240275731589190306478431205893222299928628296464546314063619580694502887553122712660691981328397953132612996466858015566833664891928907858314074220034455027141165348480511784252207034350340187885576419937781821312452515988325395442850670712372095980081960455816226779996182002159878394,0.00016022762802784094583151700790631822614187432299880218684722986107860441561084500828621596155883445926048618158591303796243806585171618280838216015881258151760193051415731713652426592542613049690655454582628340539042985777970971112684813475977674923330328244128109264595053368084085548701412774093159177068314560857499078857280254829266942355418307620079840310525390215713849122041990331582461586818234749737512273290829225454001604336181006655512264221542994178371458954973786104130216643217347740259,0.96529999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999358201,0.00000000210310517,0.00000000000000000000004864469468634538986786668156016043734653242473402375491011016451098471880409960532788486448243369904137867910196913016719616558005539268551634635313440879069680090778369191661439655345724319022771224728180728803688386500507900373826645928996598193723779117811941552744820996610593739748410703434969971134362684484443312330793185707923607494921520710041586877878438570555366318849411925761273795928007982909015333840756715353485873077658917361948603962740581655934610192737235374393781090649173868623,13179744428832100.658310003657873215713281151765873506110556137825208293908979490528866292854130887847299802208154669538293783832095655073090360525181270980415275043751152668550949001768254533354036155868052892941424312256096158758091764303215443606428374986440055177637984836037390656410264023363278021089352132332643950748574191124174417438737288397165516164084642428719170151434930601965157374288691470993760727831564629174557650501589651437663067278631951380914283927578368422673765909706635416107
6,15811590522121871.770338539274659432411759589308008503661872575166151738584097509340102120887413936322803401874445907281252358002616855388347001773497634737413121389982192279759568597958556823059620451480093538608313976590494309599996075141975641520810825808362654838562717918214058118471098950732029373762356736916654006617681662952085363445456690245766793484821720524565858260501510880849661667783690416829326546749432588344090790847698665068297383159384597230491149404301372911965694040716077048623,1513943.2192529344761331589611216853905187398748617413706917414779144586119475915992578340115376966490034142230193761991908069257395586412942499701758780747817345466131042135492323289051835441038794569795643089861081119021808980208820711561792386762545231093422315996568885237632967307317555144212037551058142295120063828365360267189207368830168414483848713601867048415453831511956482159146716715024286085309613541574977151615586235297537535811282222152881760231246379589694750444751248849631211022439,9575017.6420138746491030684764666806029635644228287581101160532530415831081386513091451995250489896972711002539976052995209240637822542978966798767388919193199217888593394875792924507825030099885686901225680171441752574439379336499871759652981321805879546647636395282857223493609500494626062141828787583787718907176857586754322813528136327090604903618984119587947206546922178432941948478242863216348952222956782478264042406431659124772817259668841580863456681522791866993127461297540050023277175007978,0.00010976784620434899817020816435507699598104215745670819681929163045649800100336800604534826941900831770802393556020106437929675822004884887832148443043121111338154456343478675272096876901065259684612631962383778655972470875273376605486730760024866386294371605992285157683091506449587882424105697526787770538606739504009630261272038470044370416014826530625683682737708066083377627813766655385926575732975336149005959453103694335041765342776522755245366719096711615767708747036209824301245923090397242141,0.96530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000209256,0.00000000210310517,0.00000000000000000000014099270447224750051782192282673829332725493677749865373253702559444852326230931849708015343288651554265597913930538293242716385597345006608254462086624303143129996398933812048995628615307488711208136474169757749089728624733317434625022301829276336335233215929591453260199757347475159965624868420258312223805379484365579227829079463121400546462091298440352608709538165623354162226502368910190435951513326485475702045346159239036939346426692019377906606569845675218076246212758479384687518390658198614,15811590425249548.223594762555194443098153220731571871396577032830326128087294837820048444344323001046076867893360473674729487724565345527783142704161570050788600098057491561093409453624399491386206091715417456918520870389524679792832065109320326169639224260325172194018091685817966487539092250770965081194706733700444445479583528628035178444329227140544912097383776684765181211146782254116244602131637585564686725374000463973802038919513303336761316986015299754970850945807559889905624671805255247664
7,18445598737797240.430550364315365049100315768402132481715491310806175868670770451827430707089530398759215737326686338040165643102956878814297838983588440158966941046334819043704086962315248832094916490827188789393922074074375809806695973604190032515719859299975795975324855451936397099125884693113822943436196781319025659647124850473804747783160668437996270869753872344385674326534361606973241380006128875011762114428128702630598606362669760536510872031660871938871154817014936176359252369440158647612,2036028.2561800003148100316368197057069025659190232791585195985975644775261647111154538420522863464658529388613909271105097379692000788488912620212601417207839514809542920156722645618023784547637118023759450363103215902015559828702466036362246108973752719895162448737109175812853502181977876209396534845446254188914185470920903822868133152711809624830629537173114189377188969457675140311012231815715507080572992636204932784819853157015264711060136301690950189043217042668007801800650389586773103499594,12876973.339979115310690598701721442383754187942131294691082381840927805380880561976923353567476004069960850652757692861576380950382233364266870387708773105376958180468207507487334608313621703064991285296048911998948815388446493101010843158680608119614834529580683750621531819804552585660705133049895588520971409436686637086248876676214730826749047732096873979307209269484951306898728774718128741040396453777521988646229980022392542430715092367230486638789968454826158232023812334213239699144694058192,0.000079704082014792762875249826430317699898095853515375369573196232006507795591131722922399466329722988522275634633145373019850918476469763745068047279515567526369945114850252260925239225020290969438013138331798342523718609679258395079673679970031505459815498365667448303695660126903563695504715590033061858625753491035881285369953494783528564698636319031499857154918036406018645946576835782046384747967949913664619157783257737092713491372416712787793765586779318031670252882955018139799330296640726344229,0.96529999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999409624,0.00000000210310517,0.00000000000000000000034703994409700181754059776453781441007171808963935704171443435775507969845552509284857054983556026306156500825918092852838891543771239504086239813321341383958329417209649471905686914378122967086565050557480662141988375094543044405892887289135304057855061471080072360424666966010580234237869690343677653537318501539790285966916615057034053110616133597879465442203563074385766769226274770632282139655594088141808264133301578807275746679406880061812759206057941473932097573422102101974890328058944003336,18445598583999019.543581413996441796381269174575102553801705647079775627256619327865288615051272069382112064574965379527379179449908025961975211186047146674706141982636229888159291584537093253984280859361623466232514288981795206804877954789180728286642390192514955393392320118912231796271264436289865556351287615474186690999865194363693507917028709386734186811707648396014038736118097034687610877527521115316575609143452443757273117961782259092627541789073740408446487698059356420421308044443699385033
8,21081467131935781.908055327524762314777052960893857295289714252821552209059347758511235587147594943271118845410606997880242205749738133751044862255052724499356362392757094058216240776038443274224730779098556001532748938650682160004322306024390335320351543058686596179232262823848361569518166921390215796579287881139451244103367163454904040233945494716252371949124395637372824173175642553570745275386038761761828596379794319040281379421633740098327932839288397550855658951037843760210767722418125617833,2632352.9930968332774074656831041399815465857443961087354450684059675109393935351902780597912294936094101783094535288875346080976150496170922431760472914023934906606403634640293299655327790432328596268296524695052611967045158768035537804100518668076473100439615063767228095306448439188801917544452164755815043267367905253614800410110031114943341464331039676839333034411954427683832553106269999500112113680924780000015382704044296362195354703317661213246167887013465474309939731377590868722267917855712,16648462.127494796154043997921566326625869216785647073454028578234317988286329995260980064337136127449392435250651825100999016547904399305262431384235022919868837537775938042581498950613572815580090155271686090733839613093276073169267291711861066704724883516120869889025002503820125750297755170102624197321421472059495547539398563097990203794764039609267076981958860558061900129436035253204221267612675073705059832637986048926153930950989712302800210153710203641517603033974031883743713516886887590694,0.000060396057643974055278458127912249863950553863315206242201437622356174002721970369232752570944161669483596557716150817519338660391189985877421488775086863391228659114776987417601834125070915482224944725712976717813669804311540771473650202519727617599933334125692734145902693108109663658792181260179181740726831492636902034212531903051501191287395970375657866813400166772126661111807141805394326025865145367253039465286623337163970841638933160672143520813594047988956285260033311670254690278773917705879,0.96530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000557283,0.00000000210310517,0.00000000000000000000075773311274741482033181700419394915294284142287268173864770172237020369575752356086079344259989788719642688362739067851062820013513330881539615699418883228716007952434282889601033990796237387758658333864640811744604599057486540721372019317383387035920337561704667952784406149674686048842064673528550250863728360424956651177143528739834729871166112938200292367923652774725089953982672199188633340296381432500104492388002757092611191719834175351607995126891459757823763700559306336990325297823622981352,21081466902333850.565572636057778884756556506413572322175300329826919902380129104094127755690010397228739360071611285134063864792419304169867474822986072239705645979932831261773028949632794499402448329515684224800392437730381493546531017581088737893135858551770521139423294015532667213882874832783921309742649294772609100145668833080118986759770185217191869675411422726096126852172460175821910166191601468744472216652084136904894850638345703814983209530653735105592468020505992932650238215151287277845
9,23718968777227631.826143645717283246051740045027140918289256285341865427234404154074951872429667528811580961746033285750407943732150497886354161664395660479058349106720531054887509592521878788541785042102193011281925754973040315919271550719606250608447148479766237869880509795675018517108864469892083095508375863954538031591284528201803825500639683099925522441221198817974739102712022603901825475908342200928268304136067198312779337826716650403076223212343737230355264716767718901393978794040261979846,3302287.3366177205358519112675019080750472369753304102391271236463896940551146206010593695399908135857901635645120904770598591132265893126469406983627352150022031479634859598090174484116643109594079289381284598883885993962347006911499409309958285375026938164751959467289494514301074706134889157493098403675057014840986391458381404008388841320525355590466668340827088737587527546530334075628657892647385111190008394235848487150903887762823508091480048650131041439220891953558092971461680897148427252014,20885498.94408596731298558834002388806095317353636904943227369737466830850588220842206398627112257067985332924595517987814738686009421516160815858160705394663900054924722811457252306051892257003298379295060202225104725107784682718260389122576482716431101598598396025092463951640691884117024026178301299921919951665410504424433965458024860785475501510168717593664812074813771156424230413843579317211232197238443689316671209648463689350115136627595491946320584651689646583054658374038794597427981366459,0.000047282391668023985968718149569684129667116296038684853881454482725357633611838867413511637501939027164100363985994936578600018920942284275656753247079334974117610526952775501313744954187831808140087495336752521109346422516533429592091332181571864059399212210700978113776818479641129078057926045232113945424038938799373344804716162447941964172582478606389754528677974343035713848836092216454196742881307964357796676754360400022810993628162752923507433529942688405640618263569474780221805386264180107173,0.96530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000257576,0.00000000210310517,0.0000000000000000000015095505973459785628700830407911288834254229488280828287985320168928854414035879521492613189450204873169718844966854739734193882644705343852222116095618426404731254591364637026516783844675891250576871282223669209960051232644571590139058763093337891952338031303530504743246158747355881094890849567007461995304071666098808524175463254621109933626443195332093347043990597862426182218243746077417738211542197043750872257417948914239860029699690412248815806187285405137876862945254840450875639363923470265,23718968450218068.85800940000378930531151196310310023867115285730359310116469870688437016671440017607061394937824080574232674912316512507876114355126659665146185059982080302669088713838643923139171815384838955155330740462419286671118209201682609138643447776908681246105528599608572839107929407444416770854274176599368900915987275585159424107594079561849479631851410178729903093506660175049856432729402341600096526218277708297864794550681183802239431764330542123102139482147532513284039113816773465642
