,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,85199418735316.535700348052322681767716067799011314452815804661442695332139451546520403927223177194063277274923574572583785219147282153888916217646306791923614432382447519754408228176676049633246711129005763490310181285639088506748453443161501768140526682612867042801031341642539740554114618135198150383709449753355310700136457139790037224024890966948568202048136445948442654426563834561311632145027272175641350453114565523081833424200747344632329979412742359652354816585935246695243569005746832995926,67.979552265178617042322508765111881560474579395626816400044937819718837951600643686110855003946595953759103348537748189863012750260847137651527026324411597071430164509612292092689939391748709850602809869974312394292155468530206960372570076408438519057233363549429489434809112713203819268462555267383731106396141512376406137133713206689234775712005058738268234961665570766123002028594127088265573004498218587551832514237369385857579417002984899492735415207724502947323157300476716839017386316498265181,429.94043895284617636525084647924852698738751837114855553242807685978146157760088219599798965851243904539702527248811769013149694464390056165305978596493868914371033207263004694468318306460212616564465238215293212776208531083227122532202948836362866734215628755878163826680050433461619719414112855822656111759218989573455105757170970520719021549898758804239588356268795659309437505698843810564323027017518280082512481758919654261562706250525443740424952102665339166131868592348320704529330843246178797,5.8465485865921202375003652107291052931894559291426680254411939300447001793258822442110876463960862158630744951443382032998283620807475224166316801113432618125337491384817870956392585763542462743258543520151540705275405117196736441327506893464549884109480351825088698668802111141588584960099261862937881701809412975470991154705741576735924242616284189356025017873974009836834297122152992583365945986417259198928293723046721925622740978383952165935051056757985007173138033335294751873163091880559152837,0.96530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001085918414852593,0.00000000210310517,0.0000000000000000000000000000000000082538431701191194442056057906380918432941543130911990692567710214713492514506701018728257124215593946960423895623028590282624347036119861279233829127822412229804745577538794883841095007944572702003303330342329461770443251859687941917710035873951466065918897813660287548460668480409935204251146311318038602642719845267589080422690637583200957506443830072723390244525163346078071255795206771362728993318892910126891625616127046335526299711310252767603043015883410304659419000490312837343658802733498065,85199418735301.379758340448491715405747506194852191393394881293150691068359253036486296582020038821311172334706732287654855524178459693194089488508304208651482378871964169903457776933394737882254485758891290874730942868152373998852474428581972303969811638697370946048651978749099005763922773646297586079876906735409517452900324570791650528338345259975285828401145335549659579813677833875236619761519233056123808173071323938846034700391712637412137412320422493663273542042595021784798004840058069997565
1,2657854335400915.9035715686859799423351922838014872346193814150121844589536748734070968840612929922960949929180381135710853464981723989280060026267627584129977189425016555952791438955303805726845597304085996715247019840106895347557472366997939438386213862877334079245947490629915107482883073470862641233451614938246887081740966460881413851920654934669694257401639252722398222721046618206095952435759118714043094465000906597996713985376494805810996798869271292780694196824559256294764458924306485340115,49268.946910168850115416155542451019436632476360640941710943338904933732797435900674140213494343390752242583730398173322776241685371864790331162964523425513714648568360861785347433056970021485421989788518052886634518570230589347041395670810937241678779594771988357612296627154886385132720236962363366880330680423820956792979531550521519071429657611538818451850315641425036823273131293303820745492421123589001819837100949657065449341105978179301360173244282083549292316266140820690900214822060423552474,311604.18030809770686443705727732277442419225476916737385300783588984018330313046304290587762916918402501109669129520006446481217621077708996846029628983979450556002491778896384343365160176353619015057996829688245456469545691563725761901065788097878281796185647946257734159847102177706500519297542579943696255606512953440737866548200147500872132370572238760702584969799911615711438076393315719805883882551697822473465134316550504946103504940596789549934592490241928994013403175772287010386009309106012,0.0044742100386526749076294192469232047681370523907977746958858229568553987209457086134032229190761888507575143725135464570420499217904152542257630223025060749751429652394701804882436277417644846246934055350880323995775239217472587812399316987461371045987069538624638251161525750110616788765626247840566246781591060474352341062463665832196657175977178787443143190433211176201953615609553575047404317249917024018891123989538944338081749128098519722482742465016126421319968473506832863260356419626173770856,0.96529999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999859666939,0.00000000210310517,0.0000000000000000000000000042192500064407327966042344224973404357967746939621266764752466841696210000343841214164212032912278110795311149927397443495586615579893765798086472222155929678579375315075921332793499972425973073015626836821410765112652266123829596130116124250937509172572780854690290335703996353255534800173588984085063228591837560273360570462996845687587303024836805683466485257164521695141312680024102822671570274738642006144131892550272838666576505226320753110131830191123105961252635079309009475021936882096388037,2657854334940800.7188688621727085351264202477910191713679146796036463518112684848133406148382625174228871138494340873557420809503583084061312534023024206750858332730469309310417668189781909637809577069676253537757464202174068298522807039397617510565615114810844726831126382950111048583130217605876909788518587434541189910888817488181755919029546764162047924669461676630237798841059326629976935290700879166424106946607021590295895308228190682483388262186977306668052766548434377535558047371025841205658
2,5260641814535229.067372388761619855695773418803566272679753809831128367869321144696895788597587105502133910298055815148479168647662835484109463872384493638025125129405128884631604333090148627065014161370169558233155545914068320364972495844715623203385880683484682415476587709010849650602285378308754950065735803614064561034012804569294482564385629074778796671770726687493285444235063852439050183679623328057800969586714336077824622628731844789564009457659275006983258925116665330836986858516745989582,182697.92948631513866517237910259684849481538031037216669755795503435360301828957230876594280294521693149519667630732030644293909592982895077871144539614305024785306127712158909824584293823504296219686078647811417719303494440196982509536374721905949242747042079982023183631876723143128750249441471796338297580026593699920741735403993062867429227234695616750693336849254319908611931632789993550498019975068885735981566699285394576750729483391723271704503007730626621789728795597453803099329063347039265,1155483.1619471843361001719698212181991455529472933647904805412555056904079601753252833349666784697109620811909622268871571467087489159593367632861593192874168365168659073706568066130013837391803435818495041015790910429245499482509362861708761485699628210080213826094726819084995882373008028596286846343773597483844211419733363107299834342243908926599668462406087318016022295858286909151883774352145107908737093318711167760241691019566763563062247129933403828849327048087578030121885001773538382167083,0.0010810517535865803265025219939360471574814636353515304188198281815712529932727288748640421793997580697553289232303677848521021797941104190171909715817978626525706751564226960381452948284791186952359432077532426185692724597420766030656706629859581983846630324438719773332736144544525474754799929230908293295952971680086152901008960092534596063755307163883430076209554503606083025920924296113249123998339646280660746298981202247215460468804752554917829015667373433406080917500216383723629918064917293414,0.96529999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999934408316,0.00000000210310517,0.00000000000000000000000022728515220745146231023297467045408026668952572828041835868720321715049735077693297953717526350416281955980895145347493600017983823581343113749011903280960708665201839749544728299301277167450379712121719208433410371009678816625550077753537883302134773677718906868452124996275963949310254911145918100163797402568995578221326224241069686781086224948518951522892890075945853852634475416361612323974879947926358108167596446103860582392147696909095408256089799328972195240835857320357303833961239730501632,5260641810967521.6012770323254577798323501482645364188377249258376110782224132497659857589139497595980302392145062164797131025406795222500380433596449742165000000874120670563764459311918506146449316606419703149864592880472859638026214086272791796686749132640418124142617098015283122939418788635927299880678881538634864642068998817399069543934970208791186563018077500415278628264751663013963318160433687984314557408782248246925670735548543182390126670253394993374037574513495990947751071809467648551776
3,7875622505790859.1600528186661734016893598879235960061458134257744014941598995821285866587629801853931598884574761818844727920972495002437330428832619019681023108241833930132852314733535180495847074379452920911472842055256112933205400551853793588552297080786791659160724390225891397499902022830373877136627665793324949769149969162923928780248661232840634775512466031957989992385480042958924764196898626442885238891028598254912469964862798582290163730853742717847348974855992063585419028754413321901094,396591.34247043381484171289827092217192226749323760641449927512979288496516037687491271068149754019075857832338382160045227546362956512403958847076526522452601443474980718839059333848693450705035980641132617749264139124076064638627367372874046171825692297297458574798144564279560153090339628353150716585469080879434979895324149646968620884442656206190633335434317274819019319579353426774623205119582294540969892553022258449125128153309691623219515368320540269711912013970160765855777355033148859667531,2508263.8850208791493907912288336378789503067132236902499058917790819720727708159160270719697180360999990509694264751054404220523300142288839204367060891575344541756312964953892981418346562112125112843970746575485259560421409679087484812225941415086219283576522758743189095156808141344175962985220631084739890737694432256367191316720037593924433363848713550569786725375359183635539990287178783662275963927542454172816957598557188544019550936605540734697535980022370784120478697566525219252977236550961,0.00046716624415011887397713957629369968083712238696345364341924017058453284026122077290050587908723195803987026520738313573138048627520101747107913549850017333140012061051072005377507858697392766766488513661813111721665591389487994660524647386160406173055488223925090786657294029087025318487225767157311053234079262280382643493579338217013197593621811880450085638228841994593496341168374546652213729787376725036751970127748235630246214914743970536573600981669297089608053641993095211910726245715341490849,0.96530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019766684,0.00000000210310517,0.0000000000000000000000024003943219033537673737571626421449405056974599634411067691779349151412188236850734629130256255530387701118288942279181990237117123150185501415095697347147901781518149059504494813507088138421456532968502901776512565772745813938090414265492913085469005856886994808489010660567939461944738396292353739117089083782357845905359666940114693066836798738800021437123909447347041750929380247739299008407619509478922954540077384292798071369809454773189458073701659165524672058210391108517527416081448013018138,7875622493819934.0612185148858411080355266273055370683207107671827197372053999418588719400197979690219470709789163085728148644095604889998720040611956521852842781112002871661234676157255506528517970672346550856791844943665311241547902263826726811813788171918132878357240738547854394130839310458233374557340026651287156168235185112181872990818498075544739297602206299641782113387757075689350147421416985342551513331078367331019555772037878245153054860208992794910895058269212862510463181002438226338458
4,10498553128349998.057263816290586460399560646574640603063820986229304960827570186380366620375478029095845877907759593615590374079667758632440831859689765833676794759005667612203104536619692494506210763019026309741608214486725204248772427147366644131367541992830500363005122433867390599267615804248387621623456843805071079000172871726631875448954239347875126688151531255436288504105514904968994824591493332318492404317717512597097189463344509669585204899111639197501584242056186462500460953213942578617,689028.83624065962880494878082502089757023505646306093134322393820696721284416707569131203879697227115240666815120627002584266849944097247325034071311906020687966479087485455829967593472631603405729645600460162946119652067325674085790200155681466265101890082277299685666266682065125584089908453288539449527905227856775480409704161546574558774995526300098205303923428493706913684492238872284001485587942311241602531750410815273717169123315574031834642187601300397940687343466006341244797400649826481546,4357800.9921113061543433436635110839735361752891830018850774010833366157678409567325026765742474777704037279766947334235970858346256565071772062856092637867670403802721801320187067963179570174749879062783947928400134050086622851341437349494242371972384571028585423290596052588104684836596362798222759484658566705438632009532271898210292699395942094240700122635337802819853566546562884015047616765632971170102296027074480340287558280887697215316966372342487373695244513921025065981945979793516739924992,0.00025703211335530663296394624048635013337423628092497977523952113354332551463991636618207664449336273644515252163716899764765483109904298354907424610121181433183505107203589995767387248406382814388743234283688216073465576998621454654606061210407465637688283023052257099908422312060769269536478454935934076596762173090452920638736108386290954799574056332227879995336550465549649718811370995334100305456615320680480819874445263424987048323982880576291080448739688341029952046691747173252107512233750580571,0.96529999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999995475041,0.00000000210310517,0.000000000000000000000012875379700934806607200486970723395591328740219283503237196840320406585592817856281260943438775575143275874007797791503189991371720242089547436940391785905675672759694042420605686430674732938130398683744223473295302416701000481105844307093949152231218481690566339420731127336187536839585913822036645975054246467330176205161712998598997028118310536202726950440325000246916582992433904342303544350704993597819076739071339068966118017346335375449737319895756279150395904335288667163879470091526279312076,10498553099992925.750625304620783387483746340148922645157029002646389764866753432739037787478336775803541754671872397342312233514950470534137741493539188675681102491443535993178691453578784371620443188008976885077512713695557753494947688059739330512331599363134911907214512441833305026828475000834823983270687253506069005238507682471636212126267751426883976608446491196272774634115514680451592078779121756322467375563188261045830353545792084448489792535025133993377567452512291601115011017713352656984
5,13127402631430011.156775471175704981935381979752098658431443714958191286870591842392578093582746715277758658041914469334653555354102829206570186693943935186296854183041448760817947978691474852415990764750906800250073417428164658273387716285033205149131501544852350377041391141808575436657909150547493741380800436337832491181087772596289525963389587770406052126828023564436238915509525151316006316846366285356440748202923451438974381907156753572015804580348966685026941152763003694725339541084307281079,1058706.1146687509886688710177059802383213438809854190271449337602616149374803285896387560225633967967481765258308340112635179145395294221937207050815462714098206209762927409232177568651104917316227334163629421115256055561921034174328622775739345623749171625842298345647099777571121753335787384454303393503260629904982435186094856723183762355409675829133275103713953655334517700010443290733321169792228022211971178734178216774776067656359211822193067043388107414118340898855621928513182988234716080314,6695845.3902012967548020306621932446807995195182603161632083090385608171297388872002628045620909151033914791405428279362308092024078597333109245709561464292378913564145311141236207015892392148559827182655617333343831996948593960104560129207426757502074184020697803000845932069645322882062762706217444776243265012381396330880234046557621560260687790512927792230128436136354191719627694919530475469861337045445245123765209425649839779270111473008843259662491973460005063194243376484865783638789475515685,0.00016155782180671182417188480955030254004013318866278604741183984231839371209966298865891856266775527537770829812631349646348298848893054558309060802158919198523691528754704776442492178805343986067222243842993422831115346362912497473343640920272515725486080356259985188324639877956726941951810761620348804217917886506428067484921737854681288405612024895640491525664175926801817758512463602319278464735461986293280853514252120701184142648901245280953954839263248270077870307042038330418304395698843902785,0.96529999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997703366,0.00000000210310517,0.000000000000000000000047526387374932852485277496080534853750676785838552516465332046775818295109708002436205182829153207495452964072642045610581420617293038000478292432332374709596681998437868114973978911160714100817307789550603487456973326709677587631917996620572317858521816139037526087369652006583144672750077487930181587783433217240826981813072528558131045350164470286066555548764132786706746262277803062451638321443755573068547581533023446460536795800595975754121667428165429024810027399786765912130985631082461245111,13127402575991768.2418706454461711783711743934603380458608662475201833361118449279368183733238288839060797474313376141385723961315207803341747488446336403153936843620989304406617001787947399075370284242804847284476832498093973170229391720462603322541734083077114249681928475594818480612232918317966437334783382586473979054076532346301612638606962736525909834296027987870513840918570354067339477313603993210504871647027561360832034622465077391691266906065816589610568712417426280594236980711697519524
6,15760970947125632.414597838724322558543972260199533916790421350597959352301942223262230244774243789509540511050475152353647459848333463316006397209284375498440112183462789923565083738227235448847092475703183691928811760764228649741099856811172311410626884837996425307045042654433907261278412358047875473157850075340787727857187292818211234618350340981181070936246746547112979262579536661086648537136479509871759697140929016900944425553595571589741769697199297863932546289586053205919958424186793410105,1504637.9885698609339126240520832156094688261721115358984445059473225899466339242304246428859683586255508341655132972837898856952436620643318008493333204360261356828882341486523826269070797995911327956508248876983052682176808296134894657944470807724605140747693079242674112253187795527972245254038603468850001901312587346915573762772262347238085853937174044744159286085946410045949089313860003034622174160963230312881898366249354424970501408260700276106394702861152894374015199308104200553428339907602,9516166.1957902816204118584554172456015364616853185044692123515569022776856690074150036758793710288366033620176946549133930052215068974061938315201523055813588109615599322207863585893214414796809556193527837856662618681418679508394891779078102542505735814955107757200238110759684065245131023037442170212550031650910388962249565452418664996732211157832535303522561781773471260646209492827461298382530741884602803796851878551013560277073119046574300372761399985786765091903259064767423399492541749197718,0.00011050144043575157106087682587695086950024243359972608105770164874102994476030374487088460938008859354925674261269324648294019792689286508224108225216865653690021221705161416797178551056760551583154191445893118383853056841167380267483980015628980686557844913430505412339086449681524367357187151254481031346879500988452837052401413973057927931114782014054113975286731145517564338282686369075938233559599924501177471530522259354628429994499063737754288772166371900388395774672393174120288109800329589361,0.96529999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999730206,0.00000000210310517,0.00000000000000000000013837458496974180616737293670492650563808068607498888986398640202490218325699291934738405362238864902210015552868501348014259840827684910986583253125286871482686687022275136959462444199063656707480037482419731709451166224679446685403373662219477697113518709585185750985880941054715656346210997547077303650788088317336399620598707810158711503605767989377943910265778917479309762734143336511383514568631304478907388483968348103878165290929404297084130825889343046158344267713034851861439991242004012872,15760970851180721.071785762550894307447422286484709500876572649510929390232683186987195240257419823403183139450820968329218561745883750031665981597153207364852638259419692157359036612190194435622158340463941421025106000480254864447780873916622843429458378026701860595901286045620396928346593413276573561274068607228747372551942446381586266583236563879487498773722673432497146533052964007008192110708856812639897595774380499778091971139925841300766448807532250227240564893704673663439287777468063934089
7,18398463828859974.673053870120513848463368751789200008627928725160869578229211701299584536546063635139090206121001099393633932565460610253442760153750313382761702317037968965090914724361576904850143451160741162883848287225170584166030584302910767081179936636420182834577812333750436796547229005011274496535887014933936709853283636184581263089992137065005397089754337104290663019638728655471428972424365372534096649449619208545262218154266669463062928615094805741103472404251147495585632627313245526664,2026034.9163685237099982940004466968352691044976425151430374052771698461394425615374887690968529298999526507429098239371578745184809658547568561548866467265530064810606656714765639500472285980458140867826052469525474199884628029783645098719711401037775520141131298583111288561038492106101918949676280776681667267718722082545212332238033787719668065536761374997481176566629480073599171544956500583621604503699588433094162959888169236529524104944074243090124439151634274463878997709243710628633707304021,12813769.909506508976145487598676476106518562055888311975547138419886775305559055356812316036097759567564867040153157956782618713765804192816251291817437229637128832686280100961152246165094875863282486423612187749102822949226129633138931673551348416833668565706140409555018635713089250344023587632331076806583003430668766009712798484134954401629378356706323179918490940927290809793426110683527870421204755590754361750926827665174192783010325607321817945286445115177718088010443696047015711426585771562,0.000080128767573731622311868802873669147364127993594641072394275457712589957880771972985036549994345601239504538636263394048428136815373624915608909248201624795305595870431568535663222927926576872587202692090832941557674482075970924202281053596073072898606079916842624209811846951462354654419999830643596976656024557929337315046157077850683591796768707517819795184065067004117629985741811145571101102558062900056028395862989798672975640789400466668896336787975727592164546171336169671370304034481395320845,0.96530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000735621,0.00000000210310517,0.00000000000000000000034188758238700584009975997079947112631087383382095236986670847566616371853422258850252672990794194724633588626138485317476698148718819515448309915295203296695174259856672602629571146368633112739678156674325769533686563800402198059498278353367296246341179379388031647813201892680856250736729018349840562959948846774661951336383391947231429550197849201005002707740086818356267095043721969794871736807953442914330881135857386479007064466623859317071578411796148706793665584587251603984960289030121829625,18398463676237767.098169053039786644043791798759440995559245632063177979693003680023045415980140061930567428439565792986758196921484390899005962600575193455199829402335908777722380065367380325930628015903896542152081446765964368095621664183695627103794233679489129756423906689533292017037120963796947783436133476727223906678284731465348761342623329488953659124808226239045112785948106876315236251658112663662251984509135998652482617005170957857518926151591794760467876112739201701551806095362120707748
8,21039316263765774.434560509818035192414823521534131194043699812808431548914511533204486859214074908209595453346850850238483056099411724336373594394826143321381239042599858212998408865145143524083129635462577719231592529870313213465025522238830634969546033795334985919048997488246580141661834708107678533561005793716818538442863438891826313546250614631864341499100971642811443529548954958962368013610973534796758675722441582889695609264557603578522332465091280533433955642686471982430540615352809487842,2622239.5097593494056616051648738968750222502727578791833833202336058401732846971956749456107177274544114819435576546455470373851485651741298197838319048989593677431459262896931046735740692412351026199406465232312361724375862064432272767832519917520156031323006499615491184504215901211587100275366814136464419367531750486106198459016253299964832612582195696599929566466033021360331334153077721764326799541081111479976439162681413448893721154201521604268398555205343542154148590119866976240255854699914,16584498.842645577369542340513847943748390858728590060428582614151578024144818999990808441935118788791649981844752643747624082493888148669078127377583305465490747947283010376965191405795020750690031355113997760722063335278437112711365572867487499266577007100064140072905435172555629124610142816013890119343773917656930406041866096413854324250868464191445963131604330532223151711492633723717740139841197935315587063546796060938195332157910789076119064996429562103663828417743537360849523662595596559663,0.00006064760560276314879383065463003635912886853338744108393016349882709211307709639593570105983344582506035836611888890684709390452520190381103210405795647954188030003017450244221724807356433317530014632873164217641773236540354392724187987800558541002398044263745500908270707856839646041329993927726784823570849669223012023929826913141703753393076537780327486518107807320718555177417974608183073118618991460393754450571085430741795713678502747423199389160871753214432209782133228838111955341907008621765,0.96529999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999861011,0.00000000210310517,0.00000000000000000000074891806520593836385825923368335365035294252140121357866831345482485809704338237500745017317479638307832565090923922873151378151587510136461530072646188051142265086421584187359697085673593072144594564562481264179352004550676775565920256670834282724773788250991310433122733813996678436941429715720688270369458172974267333948949628244256584982083065173195590203039085274809637056466055854805520303144223675082118282144936101481617057454867372955248569881468809992616447144333211010644617077364842849855,21039316035538308.635019207926918917946779634348484381398583804054206229512144302764598710260697414080237310852990996207063972150016108218047370428744069443107937565873439314392679384054141094321366014683173691836041575941998887301979909041726173483022300031412999916184853396928382089268617868466468068560843671413165931524511396237608092461701000848039817384454271478824828622879734442125611376703803523192312179732573466653892134196075280306966446173477657944121883944533422431520863880669156133023
9,23683105571044546.758110741138935594505547730046371026139577906327154701173176322606832169606407521001127561990508321379921836738480392949077990677610547462386120884043126618611469455406800206875658880389857171106696518877740795586262856391468560909788305806734154043722258901974015453588220180614543731795289636531075225810556175946201306281513323740683630290584197345804536361874435463003393062134963201945038733296840013766508106805998463104903900400815375477308722211440713054677270208582045236303,3292689.5381412036742283763861383402128012365745090326953044773893195845380549764927317120938236585063180713515630328836789384927694157143967677469353599069038573475183541921416750395105578832873615071041021802686698878738189285455929257823791389647891889314334994334537442566547661255052604508617957100989333447484976393827622422222955570505302196516284198622189020471933486271814110651542292973542059666353125731349199380952747617548427120763644278629725343930396335046003461876826976559758043872532,20824797.136667795565889669371071772241148373564016447294339877571334354316852226534115148769121680687862161522689160094142034492868600568044609704544261129915468560218015954975893224855428191263419986598192660487506224341323194347031461601056088214687065353383367022274129440634566402200038633044432723082646569033499757351131204518820636943182757509185108192379544830205629889717848082728476936966255542919311743773625664890851204849063437276959583069282634925441411300270940193570431246773178121156,0.000047431184538293926509862901362874552196749792995741075232193418297359144124315432352717625365890355729298382555396663362947634275697294817595808437094036728966017942456344012345391518099409654647529004141926352719432771105304609765496358802480854898001946792587266811237295254118577289001277604191017591032202190474342376261563040108803737346596659122656524023371777171988907159339338590420038314851579800858615305017506151907205986503245197235908125376452353492543532507050627865452875427518938591945,0.96529999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999959337,0.00000000210310517,0.0000000000000000000014962536356239309730788770148921686988319715096583183348691466973488144951538003036358389803345158936681307521010762747949491511295636615328571075653135857281809070900325116356890284298810384470715445000914380181259627288901769647098807919320040558666095082442660807710048556414708151906440539605800411981510512444645563697601418585408945258413051829763745407441427422584988369818012688937176672725116996601269176556872214478687692509123431647804149481381087969295871572249684304957706475001203038294,23683105245516062.707148995312011103016119689575761710671572497958080369148842160191195270299053166457787222468496592700677832464293413028458707844085561646015054422635837311060896530799344702984819701227614953062194931208839169424117814310078545665491752288388226789951124127890097500684763458475974442943226885291076357911347779421765870750189009137966387899821186957536287645370240032760331687743334590583810050891976515828644011165170608857795854247214523924317864052847715611512352435088073544315
