,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,87646600661351.023354757002006709507493538008824514224073508984658960319143067061321371047127503174824547801413555027282926327602298328851768279255774016825086229515424818858607321997704679889180711319508143413655477619521488822152620947635765603377790726698445080924338469006040955753304250327944088319273525899060892425318420523903191313969240656138646150005137987964734889376668362654393687379347483723078395898396897958176737876687692524147180865391098630309759960332781367828036345616084469921175,69.159523938737316054126360499019437045145391749746644275244567636482634310558893781309322968815082741908154098659411937803334018302420914276583130229992616732416800788183504408977117217615325464944519354428892325270711421853083311545190845753164725646271141744303453789076077513172036623238198505609441772173538158952988089355750941635132882156113416392318600841915801866242604681928910858066061517949642948698760782226909027839645968758931274968288199731689800087921762300879810905819656697466417869,451.53001317659213596429708892765608826671940375834144308247974342892996602598867467965280041890269694763846232226888214795920508963094251826903514964668734628275215115270120517005975660928879044211099045100075778786207123987892675356517835220622131864700357013788325797104389217604941538749694902106949142133928251763355880939582538080006389754570027199676313248496066719535523649149643556085638889054494751939290454037168909159844784455691542589616399966115273385609380145178932002328924208527269514,4.9312200221011435747987805291720083585740517645021230480156763620098401449335963188290489158904966090089258550768209518100027769594244955692317912859047496137818268727355263548763716884409298921306817244661608940954222919662400616635682800131337811080463214651160912997090043690228278754617250199123173399042395995483211151139887171157933920437088978467159415465127689725425793730424459185644801417424082499263383174370773048875715360418492486839354943121229624976260393739630435565113349339706007173,0.96529999999999997265927991911273075437371323883970571801486395176146388264500474124391436779403888195211761276496262175497184250310942861309665478101140741785661044806382479260422095849859304491271602143087117339488819602535746022792011150526866127202362594080936977160228010771552907653155790550317396561260936036438792082888459612193683831040055737426079309219544832262160056353656366770938797386848433272602430946416423496833453731665011661319718789857696775060975043979794744831198344919810148073,0.0000000021031051700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037518070648595958455728985518253023,0.000000000000000000000000000000000010025194907428853253132236086732677162566690153796248150823277574890839499244041043266816264874828712069763384895158767527495006262444773332245246656068679108186365526381728948247442172725440131215875916618765795722058746404979064694856515453033878134067745800842507568667542088597647763884947027816353070884536080284829498547930266897357133795057277415923537645535117720201516857209360613940597551929937252934472665128719870371561841114941427526644019697077587583420046622844336981510274131104771903,87646600661334.269558101714774325821112283444993347096494840432080354521471676533065927300734143020732557492173438672058723926163267813465105625618876505157695184159667560765778998558036706191228926147961710923629802675112184685448729437550890579848400130573088532377393623587376713656810392748022825748476029090923359538141773056088614163461460789532354882469431176117319053196143652896069610859969710644251892825031099859214334521486446903454684679608498769208301218611072147434011402642087360129175
1,2687403204412521.4796695419093385593992553820991522171166871813045576821571483955459624284236255786163059854558819392805375364820582757048126490943909605171911274508234600018036380113048551585746290475206992543456334787966128978518961229785746073083374568360065218592768242630444940348912367668284910731113527532361260128013608742823036392013618180346925439633347187030884932978697459278959185923816156478289946665386825343343361234991496690044378839719164272507616503914364758639691318303422786259978,49897.051038569157375130025157097874142899305700207429890330300525304701418767881151214439035614877243903904900294968752888581259993207935234659765440542503389478944157185155877914568800417311551591900101599067776463265765016320070581317723497989487725741131032011779038439389037866678935599421684137149690549183732117396264707939215530800435399892463789050575455137525589346594954954125441148535061992891050319658932641057584565442542467468185791697102228250679732613068162989903468012395572778165677,320099.4595758476083222197449926882126546461176798415230092113035084439875699128195195835010367462045725369576437806217991465217982593406123356771074886382433658326955111383465698274901244927962344675191590318790321590466522882096046572163851335680380410666673658923009542855125392180813604667615710584456948301046557005392230693999788778315264729226143089840834045829807022488103756551493765690443386486513595704825144061014058510658440506531040707936080245604316057334837177564470428848294591770019,0.0042098356248268873251012838113858662218779948233821226040036165405077038821402723884094843034924483348972424616432030248841175762063694807737706280499291216172230857208415103701220195571548742180085489119229795541882771681937124617709175953960755928811261369972075712719291318154635970307923342241780684441964108798937260903881032382032212099282754420100367712697902955315665837442400321113732942424062071545348763651831733704976841794760534146810360921179281570648828511317728551982731457014802081289,0.96530000000000002423348645436643959728519782956443506747336564541140035592780198109684441582793121410226243051919350515913435717047429988495068735308345433099058208110768987506577342739080243697941460020065728668685564141436256627925750295981181353733703747043219170229686706483394837935209912472840353601850263087093105657063176054749571318674614304100919019278447312793353694354804156261660531803073595661742454867956757518902001373376657064994275152844870665486791313171004932874173327921406643318,0.0000000021031051700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000524610402480038454226387500847,0.0000000000000000000000000046519784606988595476719906959127044158272542057801117047008086410400568779628391472626814522481054685677528791782055095051390496144932625027468260807726566432348393221353088013667807298785096096155594081770606548050627931123316926513618687375177951237231961800135895399208843779641036164713118414364662962227581450664315567670739289453794797748771065768899590902420543420738196508595954831274499160986354468411447745522858662042396420169391864198287275969205483343351333533671507705895589109412967216,2687403203928730.461494248087616584190003012952353634279226210373359295558803518573189126751452001893650738289544936326706424989785826132108299574050319001347209285712185502699460793639591793291412843799681653013390049634258773799534994605370914790896751771760626059178331864923894968716496678031628799403674405251580707814143696233180609338918384418339957577783737985481414820992821332537137833836327953497115701784402783047720695359017132211256006472974712981659033156050945268808344080534877290514
2,5302680494387807.8871751096853204320978496537893940510300684223630992797454918618108887111983602767005565964794459089386238890276683989519427537662735667319137604482255470769826252772404787674934647810778517152993889960653361391422567953906659038461761251858437741087851040482411845377813628583446321556552305397378810689712934337997869253550979637481696234951873417016542379182012829496582918128921242063019043992242159428269862521099687614304848661035431209624412109989053820314156472436434759518488,185119.40530543599838585732980320698193397046135021350181978511670401057615006052491570771506226055847209007256120952365948934399345209874733473077001624531059969953477642797743548957359320404821063571705440168986164213623173109253627841366770921248418290692573400382658083477123118717641716645762946221789977099236646927834228638147213223473766022205274867250046443163536009060690015043797919915465012083363667144036510676468017963931722658680133645859201969324153223272436099106738201097411795051075,1182314.9097718247260148677990342457746467314730634226080304561858884704316845224953970294060081794203163903528283852971704642561684041623642808669468511182613310223469288213861602862995164010086281899340327035535945192445862018755911967975606480375705109447063492224755928526992902025412826548519981267065926623467996036796160190790438217433766581832150807952180588671178137675677888963384703295442002729568133463884574016752034847072643579821282602809235453362459609703712356955723869133911255801987,0.0010389815139363708050484751959318996516545383519474981349043396995190378710443421284598208045244157697509501040440394825159247068565010627975488228093027730550876125443499336599747875585995768307225324011299043995642938558724848218054530873398326776249828367828831479462634860340935824329801544080152798272035235198092335608814149576747991081357088856524900734236244346334585756258933852712629505467856803673754174916706338727819519445572924871917656003833879524655832942581755208371843287278508968646,0.9652999999999999863720152251871942835464420062990177085918820941378200824218259714475122990308178864432726592654159780632952482080526470920328707788671525750972311549654469029034825981755355610774727299806944091440385433380662696283911797065999665309705595367144898654254458159774088371221052447725808126918479899458984367413886351393372947756487890948433993161626396213957061822814452235046086668993760241803383504267586804867488260816680952197310736565957529698816280382923542712295230886702800601,0.0000000021031051699999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999313267188037869513059541918012,0.00000000000000000000000024632452147694744519367595091837112196970685055533008323441309954590786629551022724881865667017421615026254444417587812812681297480369467522008126328914128067984936859453748895307351838672855281342064625252904796230391519612521876370095750830877416851140447706032446108022470628791971545355073048860888155712236548758057651345532146139867534423322719739239814973466860512262090532836742265285488450312446802397877547284989074789510259587161761019724663662622834452948050005944968178007350803895978066,5302680490669597.2523409375206900135207137536488062873972582971102774198946065573532156904583437916817321291209254417391377545064046152944255640046634428644473967053308336148637795647623785158299241414335471347072261017436916296611091646967402202636222490446015337697440498817010369513587123197054689026472576160067349924821311166382759712379671541426634838337370720176092412752525700859373356414787942830812132663917948517545717936891944994313896972207817601228737476733189249789459859844804494295436
3,7924440070970621.2333948503677902769508550082364104077662012356020281918605452517450036103796311945906559844990958679018911343527791505717268893175619427503736407497113142351418571177275006743005641805536715194283109088194499955963027004662314048177851369985765963020574171368732712434858485740368296972665341341672001754486740266829575281164319939340673497984390141270928222193188613550299963955437320828265173867264835637498691671120583807150747547892064514055384087407981207701554746864941117081411,402065.38136847270432894709656111730054712299377187961342027850727813819602117318315927937798323913798780264143424524126300793169854403256802759970302764674427341754751023436685347053469415114674034259623388393082938663594362309299787943961945015543430616795389640490039939373711308622835048791409959000634982183071614175711064932287273716611657985343560804922669019878745581079343394292685618776505114254741538383804900922279450398904263270070847444360201441157272966806436037956528922481074065789135,2560691.3892589218475125510802840643805514779695572613722860328309295220751225115326017649421842197360417194359407044128246209240487351283823253136427814231620592942274594260220920459900766631109793661926570191750405812341763500131408416038716444906481679872004699296931097581471201305696623580110007899008259190659850362845618865330927390771029096484748591837325395363272562563470387490012128165924681735509927883553832232191181981899817549889978573457024579363587177388775446235958294609556206105242,0.00045461842819012310381044134357272933428549831181724109215088579127735927018449372349866845595725733326082717626857990645480678972699746465442238182765583610661969423584912482032852585192139551713840530065958070264983440929456169832256598015921204567910814866489009979009387857244020095406527835331030611334310931070821894201073362337651154094042676014350886949406355936404970801892551848170134508000478373420536585449186406328424753615686675772984410591175496475810381333138308657627250185147894649186,0.96529999999999999624274952129407540571701769088888270177371468249766846235268603567359674681976738339135832050732020252137199806310882579978962900312186114941303126078448119729829839498641792785384291510837931421485313788145707191811310717698722552206203983004877791838609067939580574372471162889810690458206432890495084113561598354599541894080545567368545398944089820437445663835367308088582389028231207363947408906449383895770285812445370354713765703488688469479534151650770317348721491532161101645,0.000000002103105170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004360454457548880571491286841,0.0000000000000000000000025760009503593478669100639635006329525044986443431569816262960339464203622971967841956755111828847541303653053969577980464668404841710430993584957492269219444953800473574802215012797926250902352026078886441274309276270814953948451509970530236515124450148900580477441171816832125391759626531021495826625037180779059030383081114748349619004466550069956983279917642295460176400880997720271194479425583616035336303964726173263418347061022817018904383634629617383545294196067455564751348675198988588354948,7924440058557734.8493196859840262489199992868049604407162785901471658274494371699483760630438583084644925426949995125181281259909250174965664979468727393634450001271563769853296538944642703728409738774864057385751847047611882022570418108091797338309548461112054145569522535055672897815000219763573126024847399107413648342661738687614627729550839366589616160673987490159139340627141307769076869401972735050119555578975181225099180296095541875763745915571179303462026003775016043852232891336127153159722
4,10550482957004731.389315880371735466580045790312961455752708473170855811405563711568233385352401702601115228420116502382997229197739550765352729743838093289754794528050283772813807800352052978873974935473056792630332887503155941000644555398531444447108517324507139788633391854497475237837806671848910261474147177614911069253810037557090395629654845610992227174513330167044955035802359343049033874220705655778875264266579923912948535183812447079206972386061818673990527614462733820480144558189027655032,698890.44761602146710809426855367589052815132611110410176648764932202421414562729765393475173371428460277346455089521697795713038061530481563220654299631752005879898900483365979354754287888900355750912504657950048660367426253742007642161107428009644538586382869836464203264697453342033755434560535701403565281179137806203964909758253858093874413936235055073552375000367200941619963005349217947482525884014377761466855975505656142207555841245591096157816971025442464037965240881504536533094101296829097,4441817.8472330165425062736401779336294569572603974927531125289484971125412931395948276917353557910165253098924482506632821754818286473916498779741818988480151362905820565786917175648994997915912592333954369988739400716929210553257727582726728980129209493192116124438612041477725482438568433014850246055324994782189939128814956325652587233428074592127699623432580479617877052709270065371991372158228708187275520014065057677932643824430715974046133506319639250182279091281190098893942836062427630144779,0.00025235180055559620307944073168030521228376708743949944914849747357633853325373990510015988985430261462543138199738026354683644238289224993815691443665479061443750537871745561442105524799659852351634604922844726123408627299514694534804947436075378393099031484433815591855870853781846307381386504355208243273421712019988198909434061631419683577988096863065041816129994051164230880407321987717444892789321473447603320607892490041822693724810189778937056560981518252688961578272947845049002726896464623289,0.9653000000000000097582111738168758729519736202605369202543275311856551074951049035836178536986148524339193500115732373591197931610181532871483277503946492030325483588701333175825877866170537480586390306444606039005535116862531688855501058659527024105148368864774057988154483794674579421777008331073637042503406936377691230539388291344851242427988859510158221370540421304226146174327658637657531190775310558945849295287472115727215218425002377134932962448565558156327920528334330159767113190816223483,0.0000000021031051699999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999885496648566679865562580198198,0.000000000000000000000013722818380878257332725533624732191495998264468140421991531863722445495402809631874025369807223411690858679670450803534155455264664554616862091808616542422703477205820696704400713414678944924449412691096411130754034924048130946397948442285471514416094743140082164665198270594708532189343500640853006869939526105291540745640524104990490455443488160617966564969537741376906033225704313725786774402496997153324208050488063427873252605005143636412352743623693063687359155093617374255601780646479120299143,10550482927704356.84967171119396293938282581712410919672918908064329607901374779086521005037911640755464618006879142729609328191448130757374946167317484640364510893467887137296872417298786848928041282150831922268601117498254110290185268271765674711905320942620724809767109714698642125833447254270878231292958477879208871706005856018344227697868899074842778204081321063803895040911365518128103718348330858212632420841502082538518971941176131604537384241483105769907771168752680781414674067936349875613
5,13179744484936124.702872739730227470950098416716552541278528438737690725117106062505632664387566802937815614556585993242801047955157731125193428502670352577620199928140642374785820286758260435282368197392926005296972526088182681877884084095133618065511112917366542903112422788848900116520932039236470362159229611593049452913554686939908943276695024537696258913158332576870453088606510066923339355410406834900891029498555628283354196667644443180376083970617739217948315617514627066027716423548657363131,1074352.77165728672242065098578097302499803895194016100868318853951817617247357370042568004559331528250442547165995369893091935942746475930342287679685540667846198412991567465128228892074973200084662158258861100189499915149584210729311928093373341209103672099303737110333666880583902757208116126021698020868302305882968326389586071868189044026500773330690089073007493580222752842124581034650871727563812641015921692150209560093902326843071427739986763710550549132995532303939493161825040522762224888,6816606.4875153635070623624124120784999055688346004676641821972678971509758225823421523557738859582434134274839968666580096520916743480814069449149168495728692744544876620368483431386174790912010062653152102320305537361689768049648268169028009606273670762558981068405085289301329467586275379015767401452799929079582708315622972523602719052223120152120248452752237685531057473984665675771658968688295887631724585252982530825744758063241191331496247014859758178418310138379669246744929389218637473134609,0.00015970812117760417767242918584407056481385163701186789070842698994500579535612629595315668462619243169353055219530849450212953847670278030099042762615674561288323563010314932208232094442085342336314779775561441714544877032492474962532933109045392819694546380898705286852488713404950063721761117094962399469557942547912890328511907502754723953201380414232072082572947767326355019836234473567657041111644261569458228617761468255729810319428793497586807304565490498423165881942018390497324027672533038922,0.96530000000000000567691927258720953456454006629609979810271143115654913913331863349863235227847258899473517205716562294346062970433992356895933607922619170661008540177173849413152887211516687571998192494141362437588824767693449691670490611229459170691253964456827813912250050488895616927644150093504624143830913878756181599978042489750080449537440331718121683818727394603940422678256384780403462539272855492490279160035371177894526659190361396642071821809976545114983075473692689508563493593036557971,0.0000000021031051699999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999995540443705681838369903347638,0.000000000000000000000050389331747492671700790943960401996123416141718760019197669826308872676379827401584462801377722528803585523024520990037144513656516635612540197317522111742559075623441015378583254244029105125573292096031845112045432208374939583919104547295370575670008159816603111729156986136165993535747696701878008804566972765720816453561561460834463151429775148640544523628184752112422315292299242962701759869858829469173002640532582815309490728106591945138271666138150484982022300355709838726992553124108203428815,13179744427808140.771791506198470209293083199255873366077899269079509001815713908158344335645132473575115272610874643255990971698394294959598498861039317948476747911625654403253321135684479280200715090146333247578486230421820912354501746204469418563492498667419364031608933902043793080788644736033510708969755677640216297785971525650538010911266391544985247237321312337527488501595402083296055825947071941659159617531062482524718907235470652761126312406444069727282895296228047110698576057938956317642
6,15811590522121871.770338539274659432411759589308008503661872575166151738584097509340102120887413936322803401874445907281252358002616855388347001773497634737413121389982192279759568597958556823059620451480093538608313976590494309599996075141975641520810825808362654838562717918214058118471098950732029373762356736916654006617681662952085363445456690245766793484821720524565858260501510880849661667783690416829326546749432588344090790847698665068297383159384597230491149404301372911965694040716077048623,1527520.5529672288007053389071075916686596113424963785448365609527856840436710956310511755519248605906597181592344875603632572497113984393076985757572247021219361465987550223188403567482841305209290304721651577718952023723746932367316306461988292697541302752617514739136094008611761528312691244266817610527292574215786924864437575495578086709477555728325494426975530862622766286023639697481498799436696584918606602990283092858011138112073917011351450614558046547919602188091804073272810286594595871711,9678203.8566339565570087109075821924389614058087986758774887108960289448600545971838708429702195850832465641515470084132591615854883485547337036570072090850104028212113669945839135361874097038966221976913655072401776260657325660698319071493378901022083356687656423875363946284833469209946804743794872139589450135628450828412114385771393040195604660041825597817856662193997822760439860084487123999941183562708734914330957452839831184628987142201579931468767353023677558156631038052048238461941825009749,0.00010985001704341956892576810526247262609469945120017823668823129637126857726721673959612109649211661625831719052566332515716273663065465319229647006716701068175016732081036886918452306716867606250610491166075531083764220100701491508160361361463379235298359608557502011333127134874928972813546408561331810847463013654932997607227297784552431101840053427376501729779070518297608603347005284725873876174223846656805070371072335862592619665346174431862527196743596883458833385059092036303909583008084920179,0.96529999999999999562966448048755171309017943150703568922606692858915759871230975557902835347477046576595256929792263473218162671922785838796099528485082390606146612822067837267458407687458039602923935174526767507339750306387030399168425023341770624668939014463554752850806498775991721846359772211130009441444644244875239771641418672728669284117963940420520983394941438878426677301091056606416966324306561278044635286799104499494891448471850812813964491223693510869116191467875734135964516148621207925,0.0000000021031051699999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999981846422194581996730461455085,0.00000000000000000000014608967059703023069344759421040040524260313366764492111075415640934869442666550511732430544560825465169623035033626369518361100478444405864788393249066750171282391904652799889390825916853998343862093027782752770234929966989662334109865046363630358447081067887351792941807950583960512692898152045916492048895735878605540010153831576118280558054935223080888570667228849638956869288043686967628658130083661392197060172307874335315204525452124372431805548900793717812808606814713665111816661959134219279,15811590423467795.835006216539423495992124197089993603521941655319663530235248490896628200898776567602626148880444121271201564701271790775933080630320021398575540578050789240281742456232909713864196714836356172597448707058779572382458623356447941516020818191319704684495712123099345410239936438134211300325502194282375592277172341445818819769075173191689061941203086929206445061987695466344102429831516145278745218678039413393278589740813667339400584224501127460934775656057978926205203823846903071748
7,18445598737797240.430550364315365049100315768402132481715491310806175868670770451827430707089530398759215737326686338040165643102956878814297838983588440158966941046334819043704086962315248832094916490827188789393922074074375809806695973604190032515719859299975795975324855451936397099125884693113822943436196781319025659647124850473804747783160668437996270869753872344385674326534361606973241380006128875011762114428128702630598606362669760536510872031660871938871154817014936176359252369440158647612,2057651.0856101614226621670581682037300738041562513376964586528197758265605151057264845785844618264122448547559525375923172018212458272913999512977400125509872294312726580598679696454644284636166080416570640305271180319044285343676398505339991173859056683639994901914479472334058650506230832002793884749884377127566330900879388441841467965106950962746652013705306578083456674613925579424725436493580108643617749573069672338216421384061758391964457462569012618609076665576041037009994899792906161848068,13021124.225145352968072654755230666574259256834838303382829477801351063512976863401338484049267475140969714064700913486307273516850220622130327255732507239211950468142637698884263139829524743062928545614988394602364569998694533427822434277471260231054960147749782447469499281005518918448898313497793515814360677029323891820808259068948983032113137559901106480937598287411012922405011345036495516934852395069406455707356088091654688264975105327359815204815749055393729643119610570143123473458813371761,0.000080034331596361177578116776387411667234525411165759032161025458401495493367929439063456177730519524904601903699936076848401299778281223477532161697186729245919013730561865109356557808894117583752965409944212530241392698775307045765424811807375027562672146807289817762896619588873359512549189899815755147755990482973365657945594577498289828837889945772110137001610902718225667477844177324363899491742323470295962033708225037102602468577936104786564179747290847380282330594612256333044357688238722711997,0.96530000000000000814210184328898356102927326877138988585939164190835971542174636809352719056327633747856063466056296822455981925680616296249140609006465290749099596437811721133638943001136444125683041006960794888599024709374951013981837978383152971035277743578092791485670680157573486399908218235059169072655988968680080575244423185542685800250005183912291409955056904206547020177224072107952444509166443510392800075363021978683470360517188332665723960385049815499714059238962747084277662778511476895,0.0000000021031051699999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999938178407877694031852032957821,0.00000000000000000000035967157616950118345396771295663920903064064313533969796900739695702140530943585428839528727826125103345625397527323510211540051392267406616014178319035128577937915326128713880674707304077167422932725768284857759181952175005486872326715229995761016881371714118676415172296369677854645782855566139352891554986271065523705786040524135261964790040988338458013507007891573378522973843495975602597505446609192627762058762213093230898950831533459341059115402460968748211119974181113900063732470447482780373,18445598581151344.75357324640663627724544594159927257535723550776351170119760002358899055984147964063309325248466566391318131502704192601899240839983596841247966406825369831867651379141512495378406127537746424073983533363527784940172005568162281289104764709138666747994774220278860098466247806823366954246820016743595912820399662423642766864593348148680979028217575606725108088093435833998852434704826670069119981247843038710814543876101772571870937773617974207471789664302783575789284199242414762759
8,21081467131935781.908055327524762314777052960893857295289714252821552209059347758511235587147594943271118845410606997880242205749738133751044862255052724499356362392757094058216240776038443274224730779098556001532748938650682160004322306024390335320351543058686596179232262823848361569518166921390215796579287881139451244103367163454904040233945494716252371949124395637372824173175642553570745275386038761761828596379794319040281379421633740098327932839288397550855658951037843760210767722418125617833,2664128.8464978756404136201067193966490487477001712951618957326008106652104375613912403058619035550972764007579838707455012648556508054768417316448880315514840668166040488063279229305307032899921032535023980372389007726596167855285870673885675950492288585735718118391911245113225299619949796185068131320490565721337390090250942003959804558867324517333957098246500892249184268154752643299273915175011014006794125959852444960773393066266470549850853666417001558382545315720968433826785816505308489349138,16840804.573003715944705707251157925311969793166053022012100682144846056681899919258998864611218755571699766028676058206352229072016320775057926800360455039913981756370096889030877515396282342222680536245554375801684519170643187881172140645041707387667096641734619328992998799808394142117357802804380294863576147245084265092674938699522183263484304122459409370715734754333502266229274932098782802192421157039868424303725018798463017062382556463793905436247594359441666770805081599169222355752015515616,0.000060824824735210793217722545720562732843880771403085758757861702937156414532170879727374400880489588012056691229930668746038427660080470545888793335735698381113794902900689122522244984833240705281581487091667710073370233267789494937512731607182621086228842529152343362853180672417545246598921476787449390457444588642837523447757230417502723556361552388991109937425672808549008872326008040703140992128189468537156069576115942531049228804738583061460535518201991708457714262183565745766580138346403738004,0.96530000000000000574426301886948318629164330811027174290198955190008509735642495602469816916916984074064497476582965634445038944264578076995022939290357488487595204063616604063617572076788290730256769368157735784818036318069889888740463392471222871821298226553199347224345595241049901668957254984762748205489612258095006678058544010355675970589181114552645137385977449462695634846235689333390506289031755483961520460813720083433151636266523547170212491709300351726977957195121386327954914812433296517,0.0000000021031051700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001561555483530390514975804847,0.00000000000000000000078547932797859466161901844045824788598817207992565118607338449483296713677613647406457231433542435618262575047141631370998557715681726167307475236139348071482315296529507650904376835832050837774084401127672679562970247823712819492916470877624200903978670461352936063586546171871909199025146777655576399181471850364114703309573470611902331839053979873451680205970740560194959514915463645789952737789713431522008194501285132342584810964027985102582798982910604658079674787918891928780804609423350478018,21081466898057646.49162229054280048725566176698981566691712885414172056720015293206392510297932913855642436681330778747227975896251939134574570439918110732955052061323071828961177793715657814121213066555772343967433597766285603970719718048712074639325380735406946114663907043398500044968770267002183303468994637389221499093033715046848849186241223488289416686209203115740001323398589766713465443511105741942029391236038692661638444071483489516505517058032538189603882563885083432250806376751514291035
9,23718968777227631.826143645717283246051740045027140918289256285341865427234404154074951872429667528811580961746033285750407943732150497886354161664395660479058349106720531054887509592521878788541785042102193011281925754973040315919271550719606250608447148479766237869880509795675018517108864469892083095508375863954538031591284528201803825500639683099925522441221198817974739102712022603901825475908342200928268304136067198312779337826716650403076223212343737230355264716767718901393978794040261979846,3346429.5577423002495476397078138355665050720919318627339324033469200304278034661858336150770368692790577119294002070796382449041014783889311230095811176119781300973359250397667368569301440571364669992039599533006325680870630436408728738387696951725881023809120308300295388137975525684909215957257810236391997888280949883126158957299670900115455852886083884555296115697817089803269222475163483212259440412586246074352418109770021269866614114312367340623313509168046393581432181684645593687609584815312,21133345.608638196857494230422310287472452378072519319483998932465277786873442985672497206894845386726740786675714060690983083556888668398662920885641092431641548099115025176933561844650132159968085661160358181282460720308912287085603330748610538828027491368464577274055687472258781333282884798712719445196602661886678574147717279468234597775421199226346046125505736595921847870837962116905340269987189072240600712659846971391944667577406518344595303450287456369559331873233964804197151577497881643083,0.000047741879580087633957947049461182769218988925790335261158303582044799585911866936626273017386171199809311461109421795333132077481573899416568975107967302098986063265656036774396011667487389908329632760939347593800747879348691433637723713220955660552974464911446785876395906639547763931460618555066334047233405793013478044181663757811037705048647590209118507091203071978934714620917708932838986721019968902665495463800558780311248813689156834916451644924522726027198324081929181433987004733270826995851,0.96529999999999999426088681297243378903039382762907186084774646686693042429256835102964540764150256994413161801543844637238221755495310238554386396847566745855106661924332784516033822115574225189742258016583061447413044368909923920441219149425246722096758064474105515315638914523589031079243585803005010397570549932305625723166203236991902604077141224267272385013280880910148275958196595759995324334642360995082055268095059355284421484598962676249814730628958360433206098884477004567234357877002950975,0.0000000021031051700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030284254032646922341569825375,0.0000000000000000000015651238604303491314597507715167541053670476398888294129972295619649666344058516932871790816660446809873813691575072349469525779993729818789008637230084427226176955354125843764774182744751956432178328307758699885086048691049904103685470524275139483898725707076043239630205202810634565032074811982576927125368435501856716730438101508107693624320449349327949340067833895267605135681538189021728092158366721461495547547952110458057959969998562295784478182946554469602876513489281063262781795720398146967,23718968444095722.741171615663666936367168451206780011456193155363680016418895225354416200661432616622696963464785408799540438919033251573583656539441267070509260674466355441090780336195854652002228069627865090460957089282430307886930045638670430594824340412762893755362401485991888254897971225057638481367748776768141265283472560502745033380693740321356207024757155649818585493821726406994728641178897904480226243704164409541532901875969910388329720072734161182368216965582567997555350453566835652758
