,phi0B,xstar,alpha,mphi,A6,lambda6,ns,r
0,1.0e+17,0.99999984392337,0.999999999981214,53140140.6395189,336087759.201956,2.40818856651816e-6,0.977900000000746,2.44052456365672e-17
1,1.0471285480509e+17,0.999999828865304,0.999999999977505,58039632.0610319,367074863.737859,2.18772354706571e-6,0.977900000003298,3.1921778912637e-17
2,1.09647819614319e+17,0.999999812354447,0.999999999973062,63391371.3714491,400922235.065341,1.98745789988862e-6,0.977899999999253,4.17539991938424e-17
3,1.14815362149688e+17,0.999999794250636,0.999999999967743,69236396.9411909,437889422.628294,1.80551977659445e-6,0.977900000000066,5.46143416062211e-17
4,1.20226443461741e+17,0.999999774400179,0.999999999961372,75620592.6531917,478266621.582525,1.64024177005507e-6,0.977900000000826,7.14361330675747e-17
5,1.25892541179417e+17,0.999999752634561,0.999999999953743,82594450.0233357,522373168.313295,1.49011112225755e-6,0.977899999998967,9.34414384739108e-17
6,1.31825673855641e+17,0.999999728769005,0.999999999944607,90211955.9349931,570550505.850844,1.35372948986523e-6,0.977899999999079,1.22226670730007e-16
7,1.38038426460288e+17,0.999999702600907,0.999999999933666,98532627.2132836,623175051.647862,1.22983784552112e-6,0.977899999999983,1.59881387889094e-16
8,1.44543977074593e+17,0.999999673908113,0.999999999920564,107621708.916595,680659451.685148,1.11729453507301e-6,0.977900000001907,2.09140215880872e-16
9,1.51356124843621e+17,0.999999642447037,0.999999999904873,117549737.530496,743449817.867327,1.01505471856821e-6,0.977900000001525,2.73577963076744e-16
10,1.58489319246111e+17,0.999999607950591,0.999999999886082,128394678.675513,812039248.073893,9.22178123485463e-7,0.977900000001304,3.57875389475652e-16
11,1.65958690743756e+17,0.999999570125914,0.999999999863578,140240856.34036,886961054.035508,8.37803838148117e-7,0.97790000000044,4.68152011927302e-16
12,1.73780082874938e+17,0.999999528651889,0.999999999836628,153181129.114434,968802525.036745,7.61154916688445e-7,0.97790000000035,6.12418521980034e-16
13,1.81970085860998e+17,0.999999483176417,0.999999999804352,167316608.784486,1058203148.16511,6.91523342238313e-7,0.977899999998852,8.01153789683718e-16
14,1.90546071796325e+17,0.999999433313422,0.999999999765699,182757435.98683,1155859513.9662,6.28264972168956e-7,0.977900000000832,1.04806422539851e-15
15,1.99526231496888e+17,0.999999378639579,0.999999999719407,199624880.119362,1262538597.45337,5.70798021278651e-7,0.97790000000055,1.37109365418195e-15
16,2.08929613085404e+17,0.999999318690715,0.999999999663966,218050459.891081,1379072195.9743,5.18590787580423e-7,0.977900000001063,1.7937082187262e-15
17,2.18776162394955e+17,0.999999252957867,0.999999999597568,238178514.114587,1506373188.33021,4.71162125302397e-7,0.977900000000018,2.34662096949002e-15
18,2.29086765276777e+17,0.999999180882964,0.999999999518048,260166163.782403,1645435294.92509,4.28073756454617e-7,0.977900000000401,3.07000731645757e-15
