,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,90000000000000.0,69.04322217999292190488689133288557879378167605457,436.6676781716671350553316379512951125682864227057,4.768906461955148219888093322988479269296419053547,0.9530000000000000000000000000000000368162347107121,0.00000000213275572,9.36857086734705422269642498519802799862755920853e-36,89999999999975.8025862367898442718218279319704266
1,596949152542372.9,2553.14445726522054564223375633112767922639403728,16147.50336078505676921451321723148784153968794012,0.09111582643820949165543036911976732341276832010951,0.9529999999999999999999999999999999801107547820537,0.00000000213275572,5.63600903595659584103864222899396974312061313141e-31,596949152535312.1076036256176601129304184918473526
2,1103898305084745.8,8268.8583470081887240308210368819316901111094646,52296.85205168165576350545712396183996485123381097,0.02523463786540716116532902246241670662894708341166,0.9530000000000000000000000000000000000007794015958,0.00000000213275572,2.021601085941125600477542980323880695095150799439e-29,1103898305040095.063988460400720077120342690346148
3,1610847457627118.5,17036.65198988146083613276058853282505016590481419,107749.2479833306194245016384095091600405374165621,0.01146659249945510598563703136232130868541556003627,0.9529999999999999999999999999999999999997910597902,0.00000000213275572,1.827357672576553543368245808850870035808054363477e-28,1610847457488377.547885476063548025158567173333894
4,2117796610169491.5,28759.12253410180236500340474460531841701265804895,181888.6614312703190594707916598326748730328815345,0.006478976826617063837150531785655313590018762155633,0.9529999999999999999999999999999999999998810010878,0.00000000213275572,9.000486501822100921879698558960900720297559019612e-28,2117796609854213.135408351996151495799910200846091
5,2624745762711864.5,43369.24401813037592233941496160921258795764003263,274291.1829938496134986641355111620273194454581894,0.004140956510447743365637172752854192954533933839769,0.953000000000000000000000000000000000000060779818,0.00000000213275572,3.144013594536770687504232647520080385263179740551e-27,2624745762111654.602624075928260736022122685154897
6,3131694915254237.0,60816.12363242531840403985264033010081850258511855,384634.9382817136266918738337884948275739409199409,0.002865291009821260395758994871911764316816294198527,0.9529999999999999999999999999999999999999637721275,0.00000000213275572,8.801214173201795413149799384307859811869683579478e-27,3131694914234754.525536954717236569254625747587547
7,3638644067796610.0,81058.87879145761566147111548506247389586360732639,512661.3631210457089456862533077612340252219801573,0.002095608170614649474088625624270900608671807412336,0.9529999999999999999999999999999999999999687529555,0.00000000213275572,2.110700239188731079781588323164888459521142057854e-26,3638644066197566.980072370063456831704262715414786
8,4145593220338983.0,104063.4343434517549845490905935902585338223658871,658154.9473293927577323769853509119307241076933973,0.001596684846626355343484350372430873359582088623261,0.9529999999999999999999999999999999999999937785529,0.00000000213275572,4.515604579232696411993788007279592608027912156093e-26,4145593217974144.54206034145483579817503010625775
9,4652542372881356.0,129800.637268515978016530207297697251879005709982,820931.3110196944678023792206212555033768684782059,0.001255403302490287106059314650910683245878901815349,0.9530000000000000000000000000000000000000090493662,0.00000000213275572,8.848721947174553338228378770050293315387991447139e-26,4652542369538540.287218924253420273577926811957051
10,5159491525423729.0,158245.0541708138255993800573965857076133612550673,1000829.59927299912839807295240338549705833657982,0.001011976254727381423139318239591691461719346373764,0.9529999999999999999999999999999999999999904563319,0.00000000213275572,1.617410739533569225458895746956742266024905763626e-25,5159491520864807.291137473829127815334839291688721
11,5666440677966102.0,189374.1580477195027435405124073376434165116884635,1197707.338814998524667300033196750485564568920676,0.0008324288428704521828665996634964870788855778675684,0.9530000000000000000000000000000000000000053617823,0.00000000213275572,2.793883853718621159442528865869655155507745779978e-25,5666440671926998.629259792085735409769197318383455
