,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,85199418735316.535700348045904585161014447390764324270622886479389972449702145167299191111800007310896883812224020407745403946956052451812831063987299850001049761098958811942174792784110254901808131778304701344910875269921755095965325870919141455919656311773874172965392705222366614317587237683401932721869171631464888946405156440640956303808365304882687067097363397681262013336340896105587104013820987213019983984259563711323576444511562694253468100036017757340799102003269783461482501073209329097788,61.775592061023344431365693742713645596244137411405014035380492666993091704105268573042417319309968892917376486742358311716739233633073324989654168824240054264984334614353855590426094150279368745731595994481303211877464738870609317718081423623686879575078399919393731906505454046993636973545174866184724026585704050968298790701177212393372521312615640834199727879740922460684124379198688546627747653991997084051737270658483509593816832773984891907159855812456261136097440741218099323175956939020751543,390.70314943649842351772729209167452613134455146371868386156540313746587049317972622749515792576085305786364236550442338976894124829908940905694502180018847894746680881288789569997482493371128093723540927018895608041593525811315963035845977551488906312399823271825506712920267664726299116085437822961533409092433629128882289305511346869688181062980178410037192874070990891284859038091899448564347281257954807358277170618729917825023926230259815236762015966803323009990190326059671711292245703055432749,5.3129799831775701320968015840203899356970871857576617599638220325300877284300378173914482630478808888703088938632664852240634793409460454279947509470424806930483943628559057342984315918323980961326964014332575597462797592819784922347328629168370033097572148741837921799605979917525177858525400226063184291112303932463514695055781773068605431739482883091394368138384815056511443427730871108367178831045920443242092898203465981103518972259814203897724147804883308075357923579899910387996723152151906612,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000579873717309326,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.0000000000000000000000000000000000068160606433681947384677108749329142588536124200806588010032828355982289994893003345277921573723732725275405092436064968759879244659378015622269228201168947374056985199801219907252423597232857829248202714440702252522578819194518866924860666166500244083657700977638078215759110822317807569244260101053143815535490272935682226768023004354896445304415936906594018039058604961588015758787708865291272362313145931285656158857490843011093623184343283368573089699780046910180065224695068950862663479542853183,85199418735296.007479184989326509188282030644437687922073162012276766862059477505358004366893070112849444028006232190477795002954354967851187809415428902008828068483561448860197085193230988788774027486204749573193605889803859351314731448444477593055865283190317444413201991720446375536424169378115840172324011728832866385903881847814145449245044419066049924830032178912569527374807601402830960832768638225836547899390599535228428150288638404141215678521819739816168288319799280066096611098792527102505
1,1620601864695438.9311257487293816631500352386794860556856119386672054337596987472281649309974164770076781614056801333282600304729200493874836156173899919032368352214829920138190773895211964452951662978600267064877770082946435496150992360330778670214027840275622674307869092816251590922528746640760897085376484798271898197023763350883946554793135927834200004094594344380017415983208905709633336442528403038327734041127730507595857052035785187995651880556787248169687157042813796680958394879956103751046,17117.821994168172185412111763827816730825628065614931133502925748939061498745479222596546701545636443970236335030626845045082191973798466027315703874906456095585637946251513932240032955164556213984736579968288894992471073721771360608735939017322327261680234588439254315998726105363466318678545772063981148996070490575601230349227410381261038124349925580375769730960384894802776311392772944481152385628832482428506703411876092677116853640608108051774660330321694448982667521373679008527326325973204645,108262.61216579389719495831978627568969899094424737279508729040428360853632098623796166896975499001326878275693801642425475057225160433900832024345495038934637622756613415701791389851107112482570739238366904102165850558163277295947068271244761561194624738890482595560486324388591650246267510317539741726164238163315071642352248514619333505793661320255046004410450521317513084291979718633687452043792932074880936645754525809069030641657130839501404058092933594154598312385478672305548929603999501706153,0.01124633353826506551282219794346804780752839339868463841622694892469461513233001425169110837911105768535764375368184611543795587774063153296637559689315715649186610298804407457360259425697506087473292947019739130057140725980935700168865113731852611560744472997411760636086030526395850160405534865306271943512435965008687053618971853997523649664795693516092566059124726797550983292375096347742733301404033057799248890769642722009672500491734939563941787700590492317015988059742272987914184931650431039,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100971855,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.00000000000000000000000000018935467398666935543461178068727770114890342866448747503605992164145369358775694248053898949219182843646606351705611718376783333472887757479348900571024425160791002746579738292385851748069604906763139682602258132369556064790655433253753140378669811755220377627844608739248693180500531169627412346377986312153665468211933728117966447965484238677567277931192297154726856146841083326165851638410010108093202882791668253923660998359731593387424634971288230462933070865918575939285023756189673703214441077,1620601864554162.2690341033672877288790799996108691493667186039403017403767217805406653620779975571313694813068901944736994463797833071588412689812871461104069719051290487211947207253387681006512878014716586850933180966849245510227727111033626228464645014523790551375748716804611542611786416009561615038942163135194163830350897601987474792779324307598045200547159202178864098075863967718655532896712594877234711786130207842397146365439882754438778724964003061100624710064040352536470685128770880391955
2,3173307441863149.5398101949323970205785040576804710812728864650559642674523493787135892197381472180112428975868833403162914677154715281800029289524510652829535732693588859463627401028162975487731061954499449673947562829579597246501660909439308064800278438829794197341725119995336234414081995541075869022259133153137243865565987300281487843087292199703682352128681918574489471744774462418742517281447486951807793089947098049644532354071340301816316217105798152175467636430448410663526197683260275558982,61950.12599337751238968628458929120280744021998189386912290056868407074628367391475686626980067540025824417188160425266209404852536984883985538244038929944798584868562041369380989809135358244805267572472333800321206581701403946124690931200256484855292986795832592361954214640520067613150507845103449920826321921124947189898083881760765194815287147407754004256738469807075314949633734154479984941912912984741089029454384361190691119839988052937587969273624938379474271509437416821379298403556322943244,391806.99894694827041375670166479681012488627895215821073351924208411536163195960332834113306573289534228062095294361984959736267503434721701365195312892617309177904267211163783465343170386009117350325255631466118023704147999146430313114935545387550176401600181280430415306306593858633789912294715961918386156531634426467726116778503137626763775097735728621208906345582285484558044470720531933702761079197142361135902345698029041782994521476355296699597850411111533737579490612552181803408225290543953,0.0027686074539587133567491772956597608413318984829291785225712505518576215373605516001786386553337943383903885554333117941299093813368807007614036869888452045026940447457832637536034537652634339379552857391795380183581276683080310925321381086860789357394038595033822208242366939531476553902552004350961891428030747919840537256027826618340969145186455391311861569132017302019338866388913407265778263100410383889454939034184392342848608696742338705958405309197669245362174520755958704690111815998916159177,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999646412905,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.0000000000000000000000000095090041651673407219896118338920522617856103679772036330193677680404147502272309446104883320831411226965259053721150196667526082558570358517136316112966582362774019009532225213337760359757630794892793227449614818290227245261171302393308307608275774495108664849613810229968436563028030051588197829238717988674670921561803162941250344452938041195325530253260021553772767587153684997912888301065054653154708845605869361029672588678305989510237844559321184006750632383263887353104397731201727164419617337,3173307440802485.4303745996029918983792676100183357057157087783408294988514504895190215445818620399550361341326911120262030650347728833313050514690154280799042117900666540822690920528743626507225743186136714076424204041018479855305735209952670092417445246521651679341980361275626300256364576060438481945617146436738835934756690293496359205978316866510668190492491184442026522587071846789532554575552736721328131651945778977161431400412870063542567562103255304574850127964382603218955841460257968323916
3,4733255806990724.6828699955907304918962023093907327440889496773991051043902759099490043713626561468719755607172507591519488965215740215102400624842308344249659660649859740687711784829866287512806657262089035137061948914341187103505849191547860719767003399948625870802517042046981265900008990534341803243737881372874305169167568691674215515398340137744604255982657354877333986795578475570534591450573740639229209305209739975268115425103480424407301122910284838269124059440723219945556040288799051005117,133239.22304454514504254744287622171222622446868096425027642174068283712246017448243666064351945834874509504156968220641755112492192256353252525294602462382368680444727580634105855222003746643837339570944132841116096575465954475298094046226190518781949619933125621497384380124493013864907240561347346283448685016616230046501033233157857451736918763675866235817962633511524813209502287732537518294778541137669861380115761601402382083945987761369853594965378445067049550094703596385731319386975019422693,842678.83698391403631581056563229287941561509419259223035087241390089585597757241874180912696423394797299076724184585045462183363969128773371512580094482554845865655151061466664025216130826339460875294082161097685912169140141812446214072018521646107220133449574492655644598308931527245526743968056465123306260128786854579585786542830856557199835667019669864752604653914581760975883204297226570006707185478067364730018101700116768512439381388538463952351767430361799415309319439001964497048172088610425,0.0012029843477387602255715189064463136437196977892318189520206480351399913586833218934450750103197408653075795637108118468767272828158487929185176550255023232333027300476266869737625531290429256124005640996549481859753045326235867382209717955256612478638827485332038712672423936352582465001691540742414854720250470073686462997163455912965358856387937747440487927830689408880401996613626074063936843652120483244856881342571047885172552144489009859859403135314386098301551988407527241527459771115579107917,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999839226,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.000000000000000000000000097861188327306245157875470667039699748366737278755907578640103083050372327903007946411981821406921285469670111955322311849070278013634493881155802267427296195711967739022854406725688069922524983998811024329855277572862054831893938352869370527113943848095379751331743208479932190092294410837500671429004964112790916608595103664325566142827800238836379400340532461948059898687160125227397384433961162364483670119336715169575440845369479048882036016537647403889945186933929165691558741502553667111063086,4733255803470897.4051634246322114663124318187361920401603240530336928343333456761293241647281085354504156318806353064976283653475335872715081762238509391080301414882772570794567379158642049470865351480462787034287659885420702177609080953658932880038499433139184560102259490051691117186397557716151853915426635178299562754984319043839137569847141827414397340960210595665588181483241437638921525999987873760556252039711863930983034142897791233572536975310179898646014097759869670805929997962620709632367
4,6297946844683444.3779430863995059956389750603785649421301135426642614993096203933756842004505925316006789662329520658507051947305317186137024484694852117421308337341731960560839206282475177439914224038474681074989447914244968692514283638953821645565656611952099917823501148104962373011182539375570246660848894724815986639193936460985445480200028831107216778241114250471069382658681322896737923449499838181930772899947122523578556587496046080261651923268854538493751393095548931115864086755997266940567,230303.88939507927896084103491667751686474119121162541224279431227726650323034824064773792096981576561188847255447962382044654537398384036484178041825063911124272255907068375240968129144242691751505140235387404121996004912179434648737186200614297116845916489185123279032391122019515943588825645918677661097794823911131355817880437952077328496880317039137289738901410975219668719386762338882023540746070032773156570788890675582081487167778150695138357899099882813545419602106886723438014674319493601486,1456569.6889678969577874591006175463814683876312848070152456972427667802365535566489007689879528668942203695308567428129992069080866478444931148835064243017716198816431720759676020751434817850011151469414565659859351218482012700991277471920504006076577142235110845764081789333095922706823135230228156982202041143497446391344740819288961435188279010390898627297013870448993364418570987503118478313175375545795653934208318313063935487265816631697149489322808001850764129801802449825639206512763767696655,0.00066339638375990905921065695239305398025898573567112691757620226745359106173257932785955236891718129318266344728863979131614409373469199809926193892772072432075165081911882868480800430297970705751127398728266580774311983239688161928334695060961108857365670307502597779663688460487063708328560030826663704668814570231110773872950993168568392364104826077186694608599848644183040140757841523615605921056183132512862469470445807177038504912197728335347141846503022318486414905078346669145933589263549973968,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000772157,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.00000000000000000000000051763886440798710425173214354751286620010653227105611234658801669561065708833926197762186072616534240446651796857289859593216054315219488948238784697489828021195882902136235287547999479758465651540140628690267900366357472108082722381098248551149032760830638569987286863438272751075780971577475148896876899546316053245462305342428346531756902482297434816579485418915683010743878106514099978352226859778089065166585331783902411601569795045009197673403885716832546351334142632052391249369380286198676784,6297946836391843.3478822123669281493575229449383652214477699562229725314043043677631246923018739544974052599573846620376554683311208688518840313565161179110020151461852392644136429700164471291581346328651344910526469248850509433943606262138724626738015023770318439115676044255083426640322446008408616451446839130854392020445390697846775508861484798710132194382232296885594845111764468747181396943602022809192968093495477582097040031828231154659439166942660700771276424037318027466675625648284140659963
5,7866175705916391.7210465598543787664633445100756670097767169351003808799076355479870053047632028771791828447237966255881341606123496793189489280804160347506306033887773258225672938333634298494207762420670283453578614574312216863472454780481842454569367182728938285191950587116455583780259184595201369148728519871212910777463573696318854823289239328257001450919675749872195336511291300385324799984603205456615057750817909436111785791412880263841369744315567654402662413164124518706574457553774032890125,352680.40506262816609777139134411258864529145536771886821103807807983377735583573767737927944632875057535061230193075097396885453584741566869801181337944656685803090651305623256010166962808047763726250979642843369583118895325975206395062563821326242866529513611855357018645476960975882379918380174137633818736960628912603285185526183648257322627744534859911243384095408319838282078990787637616314348506539468202662983492024812762441848220213809047559330684201957117582462957562339226750650661512416301,2230546.7322173676897733717699883203747338833923217764542084000152606832255595246481060418542820101334111426759663119389204888089084123610073596454669528579957069966655209427560485499122864254342069664950670427543007597418004312261925599466509025162879990131743036104772218962333507140912299492151308747861533849558726752296296492080817368866653580594328965599070320534379860499834390282675253981161800889283328462110803569524744391474776937644327711073270417594051562033742298700068351943975861065451,0.00041744046901906709764023806208732359230098768333536052475113336911012242360427323768224874095827123881896554434325611692776742068025540660418884912357619926750630956857681941567134903393212771781472992994419945397494462799617605478156777364905686945790446141253718309228624473061543103618781938684559760484659209025978536532680987932370790499821993192804163097455155217527344112691764645481700739598839373661795023950720497321720393227480903461074508169199365601515560530901696530583678162977817356639,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999983121694,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.0000000000000000000000018937223161092872998011949975956584026806712083774222066429198658223898968024972424783006858614712271440620653767358715094412207230366926850808703194819293569879695983637270653805280333765224861554654689764878496666904344863232272541819326705185975535481833086731331968390054193979748225949335843438046235550615386731677793396678184877610591977468163329906939843123382228996105916396369633092325259151758981623821842752880897608892847764777703442319432374572348948820567634953963386477101595582507971,7866175689760447.1544082518575282532913433765473278462034354453256714489483668703596439188744939004740159524453611074765479157088505966126395716460944997899245941718301853097929005350762110035837951901292580787237398619567436406972502746729946234737469082438344914958288450313129135442883293476662952622225907450838021726648307971687127664631927062256418223027100372861857681322163484222464286072693298498025889211833541035517862715001056004842714689068358825669018034420673210426641940829815930314127
6,9437228186248335.9091758673944946112278968820286368728004378367256233161901001847527498333571424475816292019973397162738207196560338201401735345623305680021020968231812446747442746270313816914884002943449528030882542297224197218985868288144807346210913840580886579746077642914519936634384144779717843842213595541432299056897016628975092044206445865835681073061743039454576118003522560128244034337181709984941988628956032221386749824914476314166073418590315363881082432216593251391334296176390231504439,500018.18898577012923939353647787447193687772937919193140576705981999950166811122698214522917603598683974052588279045868714319076065948806300857189960676621023754195232335112932614837542044879346506508368581206242667644037787703766774564126233548772543169411831119228119959628142890363735597959650106806574669943278194306067655149718504089270163744958288232967035199813597465382132040595616225542046362720734559826541552327221882066551168160169334775804024543876218474895420338139805285710604045709643,3162392.6974151021978291114859364171344743055781215712237362160902668028670475148996614694715472036679695183544679559709848185518063850820947792799301320824528811415391282433354916552177471385305891018255946983655508331789704222511215291717268591385938302088934180010672234337603594662130210546227527463295043524485862590730431106498876564418621390463975924560922549695479010527831189974872761707120298929357627586906397348097599445496988613060262603205040566326195176191835073974381352384167008479761,0.00028567732388786515837135079911820447004464445295514817023818830594010450891798292614180242425512665550828494832760273049874988766323129245490470082196886988344089359862292796119180770238011284077219100430890375577703473224569341366464873584077534913859507099417080872954227719933176362202584985688414946666032272690230097051464179603504796955897117554069908328788437156193334302796872437309249221482770470712421208832449575621981963142495444125920323735290584549580523855362791350555119731886284231264,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000550179,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.0000000000000000000000054788179146731538752037030748085639971320335554207992555642381211949475811301337278246881676707268448317853637890456194634551133108772438119588804478472939338538203280518060697752767096378652508054020469679683565875494691515205102348301054534964505550294151147662434421063688700891543544046578831830219631518084404370496705405195344920310421498600135836176334603136151970633590704299020187915088075562699075020969459686793766583001296280777037749204448795930479813106663351655311471126578531710390639,9437228158350225.0773218510978564786640101168545045382452822782931166816531410920075338171598713291801145461708859338166837851096425694942585580409333047826921461339512611702939812318705624906637477323203476038784952456726827192794674700849545507936642890945953147430032200872366642786915599265975311398637319002975419401963893958214925070167392402849733833112652389107606639981254027057955850260042947339027638603713748802582606885741384857131531552416527286051084607133287107424624251063960530445704
7,11010630687938947.62357363524107042324825263039407467577015960002297736797806934702818051885289847248057178991289763714989035009226742519928816605147115504958653822031474152955167830264282310453007564196237708498996786396774369258574849790043653699877032459903070346024040766985757553910838977397338954138786068542428900985965979785221315288894320622630681916946471190724944460088244234878452547347596870619519910989087292806453252341680046417393359654973222679789068891889546334003588445803004289625,672036.16391517311990846867462118221650307890787024050015086227801477647606554180745061482461332568273233398382583435501032313324304782009104594266745637373943566009070462528020148811891937987877207595879746718354887878832538794820998024825477679185421340858737220300934717239328762889691157486538662014732437657876964461289697262683340647113456261256287120124559404948399559589851466348919655293900050442441015779401065975553452543835402738774310506878912696931496707758863317224541599940556577303851,4250329.8959484114018859270046080601208763641733767436765533694636198655388814029953163887433447124924268858500616124215904292358883807738437944743488449011948364706275915376964276293629143298917902492072453905047767571736388950346277892148015541614390639450466569796968485313218188636709490518482669036083754479417807742758110448044157238391470073637832904529022094158750054207314455984043608953452784089210619717579140803154563186808146741658804635510030358384725287106939359745223377360763074092349,0.00020721044846937759954338164360996218266151921326876621804532966387376106858126583405310594254862366380380775884292506889681129469615381393511742572875844765194824698318354790435510069429112106971071704088856002909412620519100249543488767031979972996538788122656584607983736410690165180899801807436864448217190350117819949307692563782692510093485201855411883386042207159489161938036786075889340968638311633114641572451649557803706345987804327131725174825569415622146581158797065987852743203241692446214,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998899961,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.000000000000000000000013472122700042983535693063776169710588763982322299222672629487544608203699136076966712306036199563256765819132794288139420873160982196266974158806187242834645585249642236868563667165469929197549411179998960111796412680202104596611266964002569587737595186881062962096107376850519509922301819603907129514756622353070090785230047790659847881644528001751951091002484813233191338957516644770464401831614964093788394848569136169296368130226061018319845933592690650854540384107729098490936115836813843249393,11010630643631369.020329911460134834308360747183955478040730078718699175720003134660480891524920051017261598155248945620935622469748595748528567173395936530706117697501738046277166098792524918924757399902187763152868594747347623528115568472550220954123906173740962159507004612561298443968159678647149842542833158913078947679182223084130629226820874363365526511576734404148221739658327749151045376480182217771793823452240189696187811593083849459726418039006146936135497679566542976267837459035583802737
8,12586045868300086.828992204512619657698950814450856772206946243976832442154473607918946231300717333410179041238956333242058895855541567573058969035494582544446131721297090068762459252784339180345051267929668569164072955117918225496688114673493409415618845996281246094308564009687847693436088484083766690747396470599556380627148253427439190445257316428021454464116781912088061314783512756083172933153153531812704263206245608760332192651904731279913715614214057357864229129765069338938788928685574779699,868500.25195094538763141225332976198190264808437272136883618930716980430502326398851677637521837764113997325199364381133790996595167547674248574212588881101806226207614559170308357912642672043151452791418431419262959817934354017272807298670733195144667606690905335203318327499454965741944693609737961740961673798278736605910005347785818168954268590467042347741149723997813417191842845269060369129415801756501246341260327197999384263445960413174121537294570412026671701793062924039177447047507778286894,5492877.8891901609547758242161423824453526996613714032238367232453199559772958508003030475930394915506561232911835628248371131937223031651457300636930974769758556992488609281501059430113372855868600407738068012482175951646632106158684725448315322103394802253936136612210240454181573168760622507082706177932038026421723313109463454309491361165655869407631764707813298578036298315179260750422397141162164639221919558645808642465175293439496021811577619586355618608874360829566437248042245912368025374085,0.00015684854663388555187717980668598754315144027028275213091333610411380269119698739705639255967141669978762967984545507648618629202070959124007505129641387453039859490406837002869538761087407728346527211433642179575521195682137541395070494017091126251995973686908819467708102558890529680289953601447549896438121159009855689080014205009214131890657610486607244568404280829719234982544265851436730948776688985225399763102442135739447545921316898429459632956582516788564284056092847242865459867217951025697,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001636409,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.000000000000000000000029399833244038515430642450891312720422562248600795166762023886879545831690772759271828012390747331022327259229422692920830962598197565167576504253603436937743979882054289862906668540102244199321286444376113513371181144463112582492406864280058886042141350932148847886869608522038528827803572988689016844958579763702932185306301982520016314339814968972422724676613924643383284599822884744602421511471478787883942310179488368457498974997937871919936946360171000005878063637035052234260680110303733018311,12586045802122738.571396343301323450700722741924410214827981569922098827774717593303531380235421101775778317863636521576359193565394812814595404934618918808838761313062640126984651219516758979513494437834429891373557808733825886938062356407669146087082793529648458272586455003421855837291727395934514849943266467742592661575640967390341556078711626069541577143018893968863899811296983005107671333330361577262072841955967603257835055925453626603920909827510484481781192407720464383349533910837071717672
9,14163221132222010.526503683226403916035527381444514827069378991778106012300310601216311690382013740850742000454119172435552636699075745879829114397040949138085909259697550671900343399849227797428013636751901858599129712803204606649605465758676123367364615936276338083751951721986220812424656706789993267505750517545949461690866202288922810551756149929651932700457389988151125938038663030430513061104771725443327543388097280944131276332798933490097023902205192541890889076165513820801223728097458306729,1089210.2399428935028797816447159263746426718384025812509483320159602815596909763456173386965305434883596707430371730250626699464460352334822280581972275169937689963616932029525927947910097783789427726683015835604209516386852906827850531767736895771693767275800387382329537360475922523915916885957049186293257962661922794222601422565409334246454717118263318861168576815315241081392037080080881250805930346138463306869903263301661480181276231471250489729134753591186430129077444253010726797473749679803,6888770.4179960925384874638510045458859298643978407410573001989914597141280961547658618264691215866010452131939733254237718177296170102355377286586949911006260777104076120972121343484848128065406383695725473571764362113145198706657051837991712537480316975847059367959869578984550630523317069141344135526930568310916989022343483591338195580950207384449527642922448897141306282841416297021729956591166617983642337075890043851329821705824544533575240977781541060646023779558038141155377328509873472871839,0.00012266802207521081276767771772413052991599484389185869157583273343498851236372483010629590628850664645951216412301640926405559989974914584433247823878979274236482992368013164140013318928374164542031494485510724771521689623059613399261338673818230738621630052504035038719918720383597411662461854475438156597007880597695331561273676900198468285462813678141100495348751915689382275154335927957404855503480887312861685804108589115045282557061702461375410038852963186967943497124927217740412390357810092698,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998679977,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.000000000000000000000058556330354967707879674928467256638164795155025601898841996925997027723391273020362813499907352625684087945934804275453758532505488009062581765261390710523156866036360913158649199324355572795068882576680831693470193026469519681141169942378080433124468868645104904620494249496693900751686667761236894110664223246672279922370234943675041955984253636952906342777186877284037705704512079297659686409773685949376944693428963784499529795636371478986748277059229928554676339882139690405113881930841588117334,14163221037918569.409202805223131716001216593930509266932513434423408687889145495294531383277586630229512369348581178901125646282353237435075316989404567275824016861368771917810594912404078237092509589797392402555371307585070971473822990884808994592162292823509819179898565666655705311002692626241772940017783974019131555219889511185399697976117353680825872310299330475943877044046887066913556855291520719793919213121317106504454069858865684824160396712444647983458723929775740390598335493272267999391
