,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,87646600661351.023354757031873603430773713226362369981799762308634939761015270259333414309418032818271041455222172078984813684863710255472171906915148560558150089349684622406779573427427471111382406932803151616841641020286200927798151755072755881096874014403709601971283213371184388785628241352923053748711512670102583120781081499327937544287113975720572458557046669953108125008217634895387209815833106322243424921524009321419996193052386497043564398111108229463728793599298085977935321113036613355475,132.82389787228164555612334786884250866798543904432961935725239384896040377659337091107382697180581131789974961256496712553963592439333625416760747283593891698594491866140404485446885290621905150047306296178267928440085553377341155810928244014452445801880946400910002039040824839423968512173762662887986606496045203865575196497781530931576670545318835732808337019695350570296911331700861850274751330244034569285013194195587053215958392736074665077208681986906144902409715705555568013516392671156617845,840.05208995600516033477454580814608722601962893195911995588807764803445736955675037913445307089030618268123859920322137448830918882483887286381129707250797859630959102397300790516171111485425874830910760805969382331483341026048901449954924938654581718469568119692903574625839176301500265239350094175888880023643557286095039246167847035200964351601285738440675067432078233523579157987802823970798570205200114685156833381929345728879603848153374727043960596932406635981810960562879880069823077580393916,10.200082968616745213608869497808855438961520817078318924439189181034377539632229119926810572174661322693996766825496111177261854154498746454848125783999791677498559366227442246939836845292199704900531548631916155286980011846571690030688068250934096508307400787961780657739929432925523324274800280417883170602168035313570031294550962150105225165036731905110583899595578644903883381213441568474017787931868898586942427499971769548928420320331498622861696969998575400245883056722804573375899630892156182,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000760075501148381,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.000000000000000000000000000000000033346399191801073410050347871577734654620330626664887046594796741215038146727407685712239066653972274588141570203081128455150187794101193804936632734513709021252237392883646514107975982965196097518996437675261795096216488029184594517157251298748643210532162097760290911513937005111098366265465904609764029125917105419151127118732607094702423144214962066647114244180598742089404854805110936606168860959615082641887621067982525783544151375319648713845529800686641154137562495637920822881818649821923607,87646600661328.674943592026673129592329282328137133967208476993273349275892740829119354281874614880008455612258591678923536727405990831902148310679513267116572952491612026548792178741214058251102518732634394320214063950075274476434660877188527788544735370638266713774392175848472113622759766414509245169719340107098167393768809759366632917076397263758196453093919025642438834361852759241222127436975793149628505797845505475656508603397764522855791174198502328552074055908433412323753343781093943880796
1,1642410429923926.5990565134729412201463696907736489984116708886077483651354077065720161291904578315807934265875024248826902688357949414930791864791010825051472126994352559465771727177396472774106202645155204027290114121953048967244905034141249673958024148719166750473852604383783329755608049169621976410174255575877304766678024128636093609667495417243477865258536104246483477057569862217881416110424038445159523483436095958888837456131786052797738181754977883412743935247302782830997919954660088119372,33366.143174233081787248754905221567128478302293858479123629954012876334861059001779322478097962735403685370593630476898340405407825230592789783022860335468685619925218347779775486258551827498492494231360173419276780587605286589153527544593945986543815485540060170875214636504296831122225100018582662940583637774374024649163149418788611136831460720187828751218372955678253363434185757780716242537204669073724614281706429486882098371905120758093836770211408330498582940585707874728054198069297329452246,211026.01833171386196633933758532630653767090313990813782491898344931284125889570705092358716155538108328266755205368179650295713533765182069787968368364169439955079596904395893843982494388299124536699953600142445931116763133646144630566054477635981079215838763527115524600664837313575315665797115238059456079755195599462869384167479594288638727096377845262567361638452824307493950020113983218263995627429536856778692332201351960055914790462352179316236700238148390814791155135004037867336114690652692,0.020780070779379913315534723098113003554600249300192572218688183031460776022043111670410917164399484386842410310293622809699007216627546596412743219327458494088262429489801541971719864479408086467207770633045620508805371987647388441051958647517815365314280186894583241164775804573397139679184237890987318491758095154736694572354557182478975642887734499307735630582611056003143777111237078614532839143709504651911548173391053968837850392972186993600711533888206010582556033010228697560910251259265752663,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997867604558,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.00000000000000000000000000073892737462330516231248992428064241427916192792354914873503119600956362485682275942475106670415361751917003865458644234233993675942211560382976910736634157990003394099294184811379353584876920053796827654540753820365006878182113489753719028673379895888684409777224175419865797574236757395886711228100320870196404517971471063981782408532595627878534479107347939901945905946385555089170356791729394165287428469382967172281130980351666786831450533924680539807322500777971847528712672019686048248715365034,1642410429776869.3270381130221554138168276073290921230018241027672056301324686826737499804989282788486923560148692655357556352608709653423014757610463788457090069721953368296899420204412472390324749219060364131764377485066649505410498990824661653515432882102146309176178262678272937420960877812501094567359588923235835233927791383583208358533536712444281763005009254806759328990336564900041288960248489743752414196328549853772809362071488999955849062525286598745138378965436450087824355226347257138874
2,3205975153518453.8871492401680365213835040820359488995946366512449992849505668920176999173135362746175025397409846013843595037036960879060936435589732837063078010626659206358120131812511728442699288700560344415920119783955089420585987453287786368389828407468327080312623975707697441241991975235203454788101421968013668075896426953164099026511733044416140603422834319057500183665469518083149211954250052235448798143668643467441823428368770735345727432619723448365225940857641204293893407073492693821972,118404.57914821254485920597053315264874245271297103065732870247599132523619108859579732443680726795404527125586877648932995895565032988576591506874802691672459297129845500142449423650630745498735186943368884977122294669203673934877788468202780313762538633258098231366935482054923499008009618900772679837143459968959091436730403159973230655200110090027791545774326529029254684718492281205569423611233541020740966028357604548753291347747066088058873099388277792376926442847951735224671282914177448835829,748856.31100406247888901516157127372847541186490903481733492435060088779652996514227414177097563791802793127194788039032556724499987744542232579442821819783197089969132310632557768163828029009912880337518804654218813025387756249338680715650496591068602065898830063964739898254503798750058291078705770866486060058482521522438763650896265462654157460983881676323469401064724830658884144345339787018597019669382051300053651461216122545396695715851782603848665634457296284414884091737786713539528564430136,0.0050792042829781992229916664166124960735570798664227377320619930661649890938047490832162973196165498991208323319400692450987449001467941103414266101320498231396658572756353197455186404270800295125151498405246485608202919576710042904149270451964851354068036666904695808654004642170560596769675191587740226541443673704939269285386682183312422785985645652733189582487449350528102915264148192861672822919509961876676478633982884065946758830878143329190776694426515015774821565961438701774024137394328688601,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150134284,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.000000000000000000000000035455502977150162644001912279906588112618005328216660939323995513830625983964664564968522873393569592230272299984412171559157142615273496167977500384689097669197245394554803617581680229285499501582062980764603465331295101559307339262746105067116747501592267044908720514383290775142863599017206752123771966767250666668616100233392899270883221309447796430517143913466183477508226904146714507538500885510937967592429622108864995650557333809493639017117003396912724324962708793527699027858344988196616288,3205975152424694.2839552456967556574700998840850586703104854865868835206768418728824113975899165606843709762822698216271563854599564027114776793498842760091235694415357463046257952980756950872058262210376642786110105770675228950005497680408542645596163762021891396474578648069222417901934193050054465030375855856475197404759321731706813398195460703209212366619822143455893147639291537847003244149942109350713054432771839715447918530559497177429032077954644112009732010746821702265258401673935060377016
3,4773333322544446.7112626533634998152795387103025305100161953676565161279012701285524636732448941193769640323798467619903408711200262622895082079942643029581641273499715592196630688653605009306649802986892479961519929534929157872706030776739271499143540628166820679275987559552652907234235539620967990624931793120332833798534651901446839508712470239892225683681598611338684151473327017163240775426021783943026250650834946450834320865135402334868523603688053229498754985914548942425968004808768742340783,251805.860387679392476772440709543980316961915203067524382287716644969924402125924616258083195350504591317483520603180319557577359489946645348794939244009364474319024198883457294644718060099649757500007374168400468013863418677034619791454853806554287803437955231094231444638610771800329854266255070696316864642977066321320628325688343778887382167601187293151195490877520223696815590965907744533497784455556578952406245966237025759764192156026204995805777336785255798534198451256819469311204439011891,1592560.0940068726886005555127321031663734383478481047389776189914565632701209148918081084837291907329662044892548775196078669651066490130287679934907711298083045607929793322988571662831056171113531038366265642611776529852061776824988016356017118726631684868825364340434060978187791249247397918853681455147548719820751870245214802516954125169035304322239841078826376929353094794770366751473818305782052032692311308623836037275726982915381277006253709182579058843920857439981857799976132359578148811088,0.002198095590337793653659056112794948946734944984333883553756935769971710369480929885683635665094090047667870357207895062457676324440098591126189571809261578174423269868134874542130445442977686145697471372671625677314920309803317004052667479406274888553474425336813417411908404170550593046278674311640461945222899680967742224470057936960531641838068263196976961074347081399612134171736144163835364987307976520100245854845528596728600908106000316591785119673163106584080871986164929812986323755371740062,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999958876579,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.00000000000000000000000035546884299970143828861874919829801159271519804139819167340697637555058292325307746829720385523756041884818478950124226312875176728300897204170663413329208406147131792047762327732184074243658317509548378707909397434399574433594503026549370633402746061666678752322609269267711686189993698076042716935468457577110960872209491545179957026957461327799303065526359115525482705461702058507377272587453843334919553041321261633605228325388490106720268925595897763507923148620256560737887967739529604536292834,4773333318934450.8050986660420456235940119722455718443250802670165981969109417566359675372373871926787171274175377098295985913079288354804223338386539336989544761152941073902400416322286132276212651976784703560763054172860694611406929912556869922903450466619604872287308349196220448574023897113313226854049016707640239682866448118516227342012287785753471457824136203577852736246984001205080505208287934734872817205658712974956419532450493214028812594942212950809181032974302071323666153451739366878852
4,6343207786672963.4359134601637744794633921586675021714958430514930619082467177209907619148051077250863902323207533407300132103392379465625848519066007159415639825335897443680395565460095715584255158253809724018639853348063733613320419934698300180844389934527034286388340097994132268323222092274897698039182813592473874683567528049007263532765590138960778976090935533934578788899842727974245967001184458753746792266520167755339129121640443979303786391090672698590802916978934249506185149643583783498877,431837.94336327074477814905395977146395994962675656629558256031921718093626883717389372440946777366378093370057156696749474456334616971801978056951904479588781968327717044578449734056050846004072011206754212846524375210328651940951565798578529828688542535357209765495785447202374303789191973607193009133276513987013677221925926389754151241037529953188417095387394171965151199550793232217724206631606909736283126391244964196906951341469627848847061266814513426604296835747723810436875625088911042246302,2731182.962221457432480002855172926440405316208658433924127702073745101116398283581565136305071492016591387131484568999430019200225118493754486874084625517605022872485205811750470196690807349987131665637281428132942521900355751049933239034354509356680253626062256271546574511132136411677108585504954450639908515728842155618168961189865679001221242071417913363462202435841223553003676791482177056707966500268104204820907134217919126513341767218075641400269229053167252589807011781065526362102509677374,0.001208795508662572331411487128897709135958602581322381919730722437019714879051498279344198598963230205575953668281502088883224005324995412881534819692637522023678340167074557645629016984012202668795167506213225522324314472263508027612485038453252295008517240284367871703895677521916208248408685392567369397453288329583478709975764818517936261100296723029254634238208741034589917972706193507534762241649704197115741884353071388631124039883678073407808517161687815694408472196732964920128623641458859186,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999972904618,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.0000000000000000000000018462300819386179790514842804649715157362717209100190027248871046918674059736714711125327622797731691595730210351669171497090516855902348004155681979902270163814124379186426112358801982798424885722921193692629530357090602542889750705285798615913619900793065888421525712965675198310836642593953437613100317379415336583344147494438736959694669907417922570514896763949814174376195486431368465508423265039447177582058075648600680998736824828010206317535031384349164818461260589340135613593868548592373521,6343207778201308.9143140038955008917566743950580485199610543261777759819844090947276274981831846611098169588699066394400624985905466578427074020797881048053514528600910146494273198836685794726790053946330137934771837551792512681116385087732996334038296577418123608956365990935020554707584196315040548117874958400866286437093674490357544035832319748869985553316241337973286528121943134622001625658492109234442915494138105611110712889881386408169545813362381653344377383635439148255357206464202186265921
5,7914976180164497.6210664115759443586149351071145295896496857613968493047169671026545065858697937979260921200961709052535070364060263158588290022927509136858657789179066889239973514820276963220868654183936151733439121824813312599532474225749659355646957670520921296615325535191609769687524940005984780177524819435226437625022474167927965513011797975962384154673551685190076083840422357507983945211292725836759652549729778994506725125057277820624799755348701428019909218846967019715737446923877653962427,657337.18536051628226595131616462286876879326029487762814817905103709307970831253780961913393766293536856308705578958933779873628221841938472850229464330219458706981723455050626074944158999267657284987556931484946729758761892591243098388876037874259186926307666585597530851414932193495874470893445951078087474043935594477713299379831627236026727144628738968764242606640492867831542741818056033284903374651661546480990610899582445188070090718356552502681115710232900891415883022645023197288607900545502,4157365.3929270418589757249757089245058434014373785344446408002679733217396392146641329251485258425014789277799055094268970347153444985019773521627315049748341761956830728462140973664707872273253435696671089606493376377044291865022972397742219498230521335145961599348473728391183170279037580051395069004747318732528691535648047437515522955663238815691139316202094270866604509074500389535562745578902945024069859735287607658618531005730221834153170534609683678963940704399534835587481728480633801380661,0.00075902755559750331121702202758907015249993799251061707570511699910083634887242569613707026997700791880253741802899774124824229184063074728958112107156623342457885233953487842577473595460207080452270675344729824301432544134300419304421315673840465836759833232624729260940798394381609805301809620989114956600399340374384012601435140695457667136090048079894925797257623763180092043575642195014423660218818312774069138776078404912493181952695329905249204905316310354104630992080500745413981731250636929658,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019903069,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.0000000000000000000000066604255085565429343639729936976874168731982901515025088989557968398703372351365328594843297624795505925031462240937524707821620626288006067183361206109497034238080963847766923325253941929680727795550535481475382040396678139153905478774915410562782824607834060936147835635583961612744898670115622208807314260705672073559788042392204320948887826143495445620358677282954978142120114984239806735849882962846541166299609281019474775054594093882109997020260244695733588027999550577529143338374706820739064,7914976163705997.3200256565065898705559450040474324903322615188718808288173468413126545941764045014034275900338727718287806574702815262528128110382609538390664856449537260289246973438012242151030136201246555412637392106627827182953122421363330052013200381732346111746234451119583139108300940970318421485782167845021883828442730362258277038206137009187938670561444019223286980060248568407772270762876804160272566664696508052353741077823835630040491215055596731913396810380938758505050934418976256126438
6,9488266690036918.9119730763392323913386640241136543386066599876136251459881155692794885248807363755438090402316419411182059792965123517600946588474551559044256896977250508519952945050925806625865835844753464043652783758452514665562369706698556301328342546173294805403365306869780196808141370533775198552209623669222558417065417952332530238579096071950211905341582858545543468615110921158651889713474431894989905487024557533814193221713159153129896289523221212543232761144019802599467910263716231436239,927431.93853874642684879033905953327409432554744196503430343224237846876253783176333333722886895929614414858571190147264077049838330940882599698970187907916237843226698545472496146722599013362852931729631381483165941129991377091778313167842231363902526121349065936532164817247176807028421894886850670651706908545232141701356592845561613983805749151284733299702850786506818488600499668774563856035121685909593107871738685764983369497585165310379290128213666912405656263793779624414798271242861915670988,5865594.6011354581849669056498166311935881744423997270600724744324634665793873719835921263898291002586349507433149908603061598500331641824146803971290686089757799484696806347832595282018886694497579283947146397129158800059143670831277999685870398894558349810831927171061708033260700342849256124625650236494635011075913312874981813789087251445817085421995115315097801360480293812465480161890295989791784495459826054215737457768743451714272114557056377756572381000746326310318358367523782528458406567424,0.00051856393151370780695991312966275801780358701939147039334778620754357739529357696249139882463211304151218757079063565312917763240876521371945837052717308420100813787647949473746569023098644785536467523755024976893871179644283905345538432455889697254206164227517849949624853776552486179116244973891422113265287586795539514580529541158453580827722618791746874643972011568741325036798310813507345138130197243822406837628212320861272398505455306095957663891634444030619274244065905221448968929359495814782,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997928009,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.000000000000000000000019053037013375194889685078609315377201460251649973527624800316803740704587754767460459389887240477732334010640736473290116438642990023711756159794005840334778758855317911116942603039672956526144022576664490399866997128740541328328243856092580535790600105405115175090537168806773977600367800522241303408493417500870678085298548811863903326087305832177175247662879584543003182305236623360250991021841790661152673416417824096930531366651352654749362829310703389162401658124015974950058268884722024185109,9488266661683719.4737950938420458873540303942281899677103689660564317527602829270248551482360721228102395082721934584806669447787029725260691895327639692016662322197628640505171610232674909171248397212751539081643229881264137187185614840587677108099431910773967797831050678541876050657540884308546347993932349093401032529964150226542265955523793379953381223018026630324873675644672406267454088528838196218521872236907406825031014375468094479094080602339139071396445189947768921726870967345558925956141
7,11062831252049209.281971770536544095440260136938898845463651019334103888797193366752427937309910694318778324336018486420425940252379878356142448370732226889506096283024789013732021676110346442101631003473793019652058360183186503343588171634324895387376184004989190463367607023136917935845086273440660613198057255696879904648796709079796143314607198226890639211138667808786686793230584529974072579655060554555753838983783823250408836262313049903845980328063879232376291969482174335633037250830937381573,1241428.3508364480768586055868469385518819884925884788919856112401112758595933162778738273369083349406361973451566574120225578276149627232212694588637413445161286034261298979583327243760359133494402674605955368393951042955526575133318640600203384924866762647609402362203582160456271170184266746158366072809964933861476227479392601643325339392684120693557521421601845790218682760057231386076841608508427752875853457558018783789375314751592173638165672949178871787775075316957732782429498487856940115753,7851482.2810995354399036953279738490179165822676686452742876438093356850392182046057576749838667610468370968822510765721624036375384644697356739467866415463226221438279592981628605294130945786847556147292247563403734975939282876200329667009833678898347035108950120457941278496786768779544803869431798027334929081709222318695389452930618383306306935569582105206236230726867319186946198279875292121277761947022569397991513051315012728023662097065206224706260805281540868198627975610694620725925343240321,0.00037559888848452767223940489846326732296137404288342430167296030022366651694080780447826224987270516972612200334791240483706919535753139511511076454670625440453096625341401148914716635267059962092974805909449990646150912139708804387633611950370316103755884259343353798439460658784055186665625664954321060523357826272531239785741487053719431522714215230948511423282829770611951425984517376436359817031605645105265265177280491375268430628599069203950049509211503143661129525340034382645863015745467470821,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002976648,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.000000000000000000000046409003529426048600414030380074943133567746752988710017969724379971464847355448959798957889276921222778949332240170957929334794344611356917512149133782344712952778538417657629966342877976516112125452525735985079119266884447439304348802629721671501176597168343221856960116196516036092928613441575763665771159445097763028695491805197563687668640575595135471987710070913092752545276834501766739338646539372899426906904069462788864705394553037513765080914650997457942249149729303737610602885341417335812,11062831207108462.192311297986453922711846857140625632993095176549285066468121674191844014081749990642381900355118088354512373019115482737369320665334717403318523873787572399437628105035826934135130630850374795558675462515883396456146352298402163489924541338199068209436232271017025486002174015164229875950453422911272742878002785687710998175010060418708846565334392228842144504962323596263822614718850660828160758082172123793759347104824793743044714954560152045413219933822533681162269982745918721058
8,12638492276019956.08600048056938144216482277985758935573408525680036875993822899018357650050853983237532607549330954198129199945202073303878227433805684933345183321415125727554969100016661745106087145579894504003977329673623794954205275503314219516015699581525743589184942685313829845584492952500535544146328003897593898303479125021163722187123800624143779901406003974268559136630542904830096325432218202663214675738478625347028708187144450914086055093668618277462579175048344027455111707399701758735,1598751.9663204169141236538332960507549873076124892240939855554169277950277158348919462976688962688924146205007744169635217072706994420456987853387609637431348197246985693553246806912433154824475275021753564496119219674331913784483248919329018886262201218345919759373311756000968398527136145286609361088802398105962533196389093892181582809762350052981828358525443745559836281106625451377181912746314237660676524035063772189928700091039791898836654142918283533902922114813756858833572933420098652997171,10111395.254490624610898666457476222556499764764823420320606581028721618227461134521259707748571214560469449749478841685485411232379318429051904073337012976992033427376554232390383471125413279644214121116269364851544673843353939705295003017517104597810552109463430636309051296807729672676411303601845357625418875540302229442333887389616923826232389244949700277869513190559049157816171506728598025312959901274821560420481644484759111255632322724461799122651314869614978178758427572137118711737926794444,0.00028396696047433863987291696873019443857650457184275162757623962128933327466131981367407137806895759110318043028269802959731209714048406487604429761082584272840088168649560448035913079170905526889162468502323415657296051156915101203352112286985568061037551819281277570477834340389992826297173854361116495486211416929651934098176031498787155371627239303185321990606848371303124329549075331762610591327045609000603721872577648141884389045679707019792785212443107103819098589234417941564001633689072927367,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001314455,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.00000000000000000000010045673695062331123197676372684007201197934037730094801254506646783125419471203710944412069825376758143328919858626088305185001473141754158146289175944558681847392806721214028054169419265678288223820644113292006013076319671799253975654055560824421535155540185697462147429203972510723240402824271253682478424400157259490689698933337449175272282463537364599268336871380826275757347926634598236791752096982403092062368310870378078777499058629364656704698150405468509355815447861483003439757686109512591,12638492209011867.949081859367567283513724380313997719004944041197186124043248522420274294682541569887267626395571228612733714580277906613157151592543977023250509178303283943308633299229716163979558066225011848369899539817565974579437753969425912099341885790477456384956668159937039977708100593220006517761749557425269698926492945620731134538886712300566315873241977901150382309599910660609160882702071458881005273574190122400078587252912993594131579557136909785134219935632785555807618247838961367462
9,14215116210623280.744177829154614853137852544734394498975544349460765329465453753014111936763777933164142141610758027300429523750703596821574392080862421648748436086197203783858675618700514345977452174574520839446729043229393128423422852384581203614833232179750656876920721233155809244843385312880397809345034656877815160304371097823719900205441991023418347016155854651818022470615017625081873620121293436802425127014719059709604348703954185461174692353685019572106592324262735796061591161461425431937,1998913.8675698261241034876279593854323858197014429538468999219421988529261449565530300956826751520866026383926262844340869885982451537253096616127949156404560394939304425679132731943760865683902379042054815352487551393872790627804457550300838408738241736846598979258550360022192110236465766228057863821442947628848267482040186083022513617483999415275675548416276363518830965019832947671222039281124861879741484530290253053889855291459567557825532867563283454409094735034978032264173007717414895745244,12642241.336033626238998704122076359929380218070160792369791512481456475896560972253152850702795982875178425226675172292203893074698972699361794321656474236987175860164973964171646616359821549510152763429846670466182108831912484767170403127149504559215088770775021341745456572584417870465912725255329511171864375800714094883056483222753600200866212580918261703597739427510685008590966226264250817527368763446043575202890985686575878482313122107003118570496126317945945935361300881934040873640263886291,0.00022185039881410754477396088445407971387098141035797146214540873207738326654154639283673667397671662267348889375003970628867226795645165553055471789051539059497668207436801218254745496079099870810373929969143087186466102960499309707371757310037296609119195741401794377646072551985207069104471430819335767163204780312680890640936987401985705635002525488728586108120097078048323623795471686652723361578180102982867462156664427744454278756401122683430204454260145623962255912979644642118214103144519398977,0.95299999999999999999999999999999999999999999999999794731670264919374376406799322766191706992879607932259996523200602081384372188388454105734126642346382141113281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000414144,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796875,0.00000000000000000000019866224551027892811284862093182506222250811165813925216601724820223461738211207171717179813107055816158987266632671142332636041658250929209959913160587107550360332430986047925910036570400378241438914380203745461872504732735242771804115922985402092118921650137131421743253075831371209739528849801473587702619641699592694150746368969245305566805237438922206867013513706535526977156356398043281313601603751598362899501346117029168025022464045066574601256760655733608309340223093808658387727337390051458,14215116115279434.214203676374069089984891752611321409523379905658881743064844179914155542057112676930629552601101514880093119962623808332186388397944990408994845046984348374461891167863149779126537868509284661147087395017908983260709755163147245625772064724341246634913722245940415751050252485115324841716835947758837789226083907813353950912564269813310337363659183633441073764747472053707004906158215232002959691105493224585345657858727673574068070480616016889464491133644509217494968761670929664333
