,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,87646600661351.023354757038414959451664446299195850907435669958874324097827477657799497765602227944052762319974525253668896972531730443416831754344109555269995568918431272107169315066310938271726997090210480309528213269374028627777454801699462146019627782263049502748847345929305340076509035275316969108029866108164118270221787710946342187574872778616136411345999337515147472406764523221519506923781322288924503027794220887280333946650188530494738852707030898540025969335333134886493496883102166646872,137.0661222932876335308015586029111553733767770163638406994760971911241930100440656495424904002344387320756102937768196591545548750522496815574127282151819651128764757109850312275819434664081701814218553509766331300168589840910257758674049759502301647169847679396710318296941302651668940210207732587140164123394770902309739182353958215301420571524751973267070086382653926240523836651503794329791512589866338152290503750308638108378278514873934926212752542575937712759668686499239355494786652946806836,894.87990200706556180447657122972341576193423727687938445915101055843741513456060262603689707014550474576414893992679852981826893308818749237733763531206048113563972843820730095694934209861271279865165688091036974760533192081458846190324773458299082233046397330957952345914158289933609871289465272534918794578712151353153672964952407755279194191685935380742437603071653487641419593387980311310908841826309529112341858999441866504236069880057477624563600125276224263805801246004279754011362226674268331,9.7731038056761417542721065280099842432914061515643068624916784504229577702711660882371349487757953860188765606716607395436273717921285543457447540675678602620540614680132241093727233383879298855674031877851945862044147339116406486028492467895990845063713791273004350909071693525947070810389200195562701387831487032693846209112126476490302274780229352227653805238908111215246380314862076837105815554475464605204254637194048156580127438002676698499357028910615107932664783380220192594365156452630401995,0.96529999999999999277980506820466796968476309457305020593530501279370623072312701088342675802254929746855894807753378512416798754409523028663850526877103466865920339872111888828700180477402594011402312562708234654438156243309990236517210375534645709493592358887907761390110022555132078077898233291850835810783159788709763402202464468364591833810230149805539823044131529572691839591517669495673835153810470891212517952057154092160122164751262738115508900526130677315747379972273867119148906879024262404,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000043145688216408073895117629683586554,0.000000000000000000000000000000000039377585884666679957950242589754678010680735167893599871724937513589788882234372457962418569275146778561302896553969783460601590130985336205722846822420784018811338831919281358414292642611505247860742591268500781130337921088925301880411074844148294106593186637443091108574999556883499059954270391499790385010549100545527907501628189335882934533290963245495003783144827203925137108329019663564294483721093861064242937265378576906352016379404139985775494668122923841264074295558022918589620232223697424,87646600661334.269558101751192290323546489178159988974326142578530630935028663091561464305906955341035133013388631061762448134675989751975012359039716961059238548700771893933229518441583525739735499864250925723655589544469946696674536863003238369186951747431478216330194577306411622324747604929787059832327739651760867505321578453197565034758227852006480057009093840803034444273990538323177121548849568195619054979999966963838269387364431753986508741011171976501274491191377362440732399946488685141335
1,1642410429923926.5990682991768519931641876300021611316509035081683618809066606142246812218992473116129069839522964298648174940062215223765799174494280933217160349652142294901544741790679091954425484112855825326502378646232306857918356127967278479844417987108883476169097975035231705449444780766304640264677890300492777233508196564196492631005009571773516263354988582945038511398162405107904696275081972705562244605461539665022591708261307483335145768332143900374919798546190791454730304720120226680863,35684.540824426798312229376886859011522257009691742261048208784671536265027179851709088044347371805340280343942300023594020724385590945513305669398595314750757350163908288620285839332833098037964092551763337737976403255375214698954584782833499542257760678028267606446837515950002212973509046028274467392594094942361507570162631529751978486657607392798005977512690605755451975187787292872151849421279453019663143606058595872744564315398499435167383790339164082351406248131011803201538620306761484487975,229609.13528911655862057794029746873794058809837112578788071020926013200143270302801580604524695320301646728311222041899789377064229170950004054120473668967384613208676175718035606003868491067116325602527943572825455293493232947036770926803545644545626754337696567815494864733055351174906800080385540103596827666469106180672456754269747114778203899981353009078993741311355099112904197198184318690962551233891587987789017844121659815222914580479643031535573315020480414092128231520880128490674973082541,0.021448350567697275239190288045071925412484186191323534879933999550227037858488059294401251265147142332469760462397013932024321389262694682681357903420872528850786413450505918101367449974856086166731220490949254695874784836862305102787243520100800942110759706412895541122747984402681324057439508678552560804267682450775619644549239364940008953170509030730278605182480268119193136727565292177697596557534631927362993924638204570666375838063093765207287470245470675910235281455218740966550452472502815906,0.9653000000000000162967100442316367826260760270139918984121598249781242670177111034459246196435489299164670896308156127853092536141935421084011649578854545101525174506059729949443372153463135308023935828061487055483693711335955069485749385063525224946639953597248668669881642654965246262245017641745408866329382572293526816458073045889211057559462309008577597436448082608923951861895136242534170744901832837578250065000724744794658430124740391908087749943407329511683940293046786015341810623640654328,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009943083807703950295470152996851,0.00000000000000000000000000089613726739272621814789002241667129234041568356573029642518870702654241079328723811648260797162183777085991742247387069730838044112707579674512824804895433430472311195187943098362405746639687619768886264609564343883177830665700168820659139780913321975501292470186186299019919588538052089250080788926294806811843714376149320770125529908522191203320671331927895897663559453746466001495870142609598274335936420203076760902502798953985763888275927259709193182632466663006914527767281775488720194160032652,1642410429813524.4236932813758777669718362729217217195169582536666195309217300673812929570596167340878352867874405629713860249322656386782908390339228104068611173820822835703705207876487504657096743210686549905591582267957970217885777189440528276128830103727410155170174547282962902764727918842531891436200459581572380469948821821658788106300884260884224745905424548761647818616449400580803370042606215706888097864060757964695635083973010392010409415204389756858067363460080625715782294073353558588824
2,3205975153518453.8874650702990196593627929301378638184440939393075343873529723576164415012997926424373221649219905846518756473195212684989858635437724875021011526539589639638969107601685726135805772746891856584951410996333458708114161767917352923424713505229146631728490778001567180660402542473622033802968616691244802053594239350863448553169053208893129803755802823750663873509788134122061134082924766509567766254690211880275248301686477784758351755475908080970000487512327322991994776059062126808817,127758.14678347903341933250522588389638512818628574599519268254724353658987608469597955844397577899017105139413779619020653706702234287995986441031635638911088333623004290800420601408812830966892578035870103482994999158677868401676395438931732263877634051194247704790723041714199444391932316977774180447758194862501856321599640480924296472206647821875654296413964494876834259756150031886569549632404265491443183118347444114602285865378086297836382498727003191182687144549996759798039758302227515235173,818678.89785606104883751469244353071389612173718808746592438007250030998804378240591929122641251380113107147221244715665579152662961491807244841652329717688161248679558742086242381498618492748567036873474491541057374439632738192681959749278202024322995945488077043138991886494520977115414320083381549998165528909141530003198301283933837951481841881163856136092641210353252864499576959314899821509438727803578486245173758165042422336684368267498149331641560850044400022725881242788270393492741370033072,0.0053335716624837326939788031014576793496101857183985757079955467448168415343516255145950253940987568856121640184465467054373854905043440405601223078434597830449221197494085936503387503207284812220535861784579599130429041214399982833006410954388362812840685506731073415941449661566359368209724205086045007324867913049810288831823147538381155734394513600102818211967799784543725548607353124880231447707527807201458533852496968474197346893106078456094106502331528895089242339779813165394951686974407731052,0.96529999999999999222776063589983260258781565615199065822990740630300483303485126523128118287089434586223620137418316877105376832473897197100457602389577055928695531580171279491858329240583474258342064809572776980510103802841966700527490683099634531522365871595592620829994017914138757150666583072472069558819656062613374064194834847892815393289304968194103826781023021999097148865737361015639607751203277313770178623242315918356222569670904777830996226867024261456158115525951064092628200094332096519,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996950517284144892270005099424943,0.000000000000000000000000043270355645674173485942607237483899416430787290558858422445613665687117337249446235740418849489754166126741459556855284674341306606628518953183035257056766690819214960818247831892317495557887009732177007353086748660736851310786728184223645998319938487981655761876089843603385288783643940613596389979686866699763798759631096302684631818827104382362908259258311382600243026075505949898003594689549691527494149395437009344644694072984328513657570235011965272275048006488514536556600100288257954134632337,3205975152696992.6118362443352905041788335209342011104423887502448247761087946205307923497284070402031919508612094023656364212544468635978443190498398408341397097906741603090450957616384241108414729170127532337613810938124496991024271279957213072117799444115115108871283312573224104569056738341073267916559989758246485070322843316432017988597718208339889084660555446321134628422883458174732734575780685619021512797558519099478660157866712758776278292967383228515996885878953649441627481352311480604325
3,4773333322544446.7134979817180812915872256334284521081467771000612591300424607324363578079336900361684680460819668995093880504213700527526061689565682836998643707260708590695100172606260890546127700662264288150980659549697371808582070215727384920926408232667058644764909122863266456972745221957578163372706124869132217363798081208382763435235960644875390616106032019918251602866868751950128992714611211539359642703690945756776391382245444827830431212148778067053447747297451713380458294898469609970333,273173.22997321290538456537184130392429973968598497096442556102421060618739064780992398756091858118794681746145294183196936745188111842086379150466291130422345218075976493028909211521783867478718742483340544711481362710558155025255119575920858428970402569665900964150460991828175097483172992366542938545374313563378714425261084086671145549420341543322713009178451175028969969205783033766580142158693829610741626456318892198461209862044274232569919878611096946560911741115585886232869581728731100352007,1745937.6183004254686791294840345363653386402671242741329021641608780059829368760907339325002636275385078026838286539977999960314323285774822916683665254879357317946017129365257278083719788359126307165051001885579614173222226121426721952114018653487267626908494493504584663175960534306332821133123210065966396923952198880883110675473647126887803276198194958625687321336090089806310146224287550140156576656330362528855031478916652120537980084221131324819347857718286953424674939739916959214814191951581,0.0023320403029280127707575586993728992964971566571022294109559276594558887398688929897617177527452911537167545055410633409748771065312226731713815038178524925092621132667421131291434093336130163072684549619774658969408144543780697877288768839971762775018227456537341014029749183261638156172312147753733737956662800830493513564828374855309581681442204317954864369788390856508639828947635444518146789854106158945178959189976914647788168569773518717487278000797340775673444613178487728802768337554313100941,0.96529999999999999565611351094781473820440847588604886016882501583319132784344931336427365492946972217929898387257905011131263043832196797803253508674093332657488365115724361475335154276099900139995960364981062942947073921803755547968131661670901466097759150909458954421582178598169743488957172426282833204882885141540344448901640377563265489503828955224710665233031046762584384747486882406883658418225589464555355448179692290615358807649169546061688472716547063823195120611462775170808213038443098568,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000297205081747734443390076794476,0.0000000000000000000000004354665134221086486433061718290867732733879944974080775639378941351513189869700045013112248500796626802666713805189857136914612051041339376878590775247103143527575042231931255325764170246898907403870732825856511674796926233576882474162313890263726726716057588142121673211928257253161781059793196534473659503878585039113778133313001753621336745057601187249626590813937011835963000460536066618047775403507480206970189088764619004692433868187600922783708687461767357972997302553461914988395818869380534,4773333319832490.5212330861839342618364235486793064853170350635605781001350491372788557576089309649117072511398943887110751185356038859166183980067209094683782923514207287212616104292524329139317788836572307457438136646754402889960775350645163686746936024996737583861311523396534956702064302720584598157071970083609955440828879932060814268152805386135054386749584023642509386884831228975223507328123367670848216542952469426374730708540586308047211977709470789390124928789371956525785409246557381787542
4,6343207786672963.444960138359322382412917295182373272917907194404675866532824547451409420256261724255627525454654660642578856523613938271031467075627968938675535986245127859965215027026723726222330310945562229961946020403446268969684013747357665107798654913901912925079393824539403832840183362268864777232333088377579451070382185536959508374817542485482917690783430587620280723717610758209513984961153191610088182908363608478465445423172665545437790786233634675461306915495133920609666493752291915296,470331.79205856810962982921521640846509319952162152022361966446315620039077514681621705068849959883050947478183990433628305400873538341870237679714296326892568545882953929977003520215664064500136425123393786890411454807600865168641229426635225262242409556361867727326046377395004584401295567459765833718617375526732829851895812527259115225981986269379731452120632274775501955765979725817160729953901473815630155440606195584972246910948983476784006599065406127871964506719490654161454573491474234728313,3000190.8647019832941306202968535534284898905848872579653570480580211739256759050089356611846825428932234103884659960007293346138382898492936831272436027797452164532834608751256425432641027726415136778713028767011405722353168637490611408911685170985095505272829816440111833378697425400609255952444065940202321030150243970097607789572052240684989839089212564634012813370225894456169547753996349227193887032776486097192938588835890973372461696583747313402030570684902305003093058264738046032788414446672,0.0012919388569993492203827607562347948697475531946140044594453855469591994445903336215322113386256330137222101174578227879151568636495607765623503294088479205134707316556780603306864506697977456064713672903543549974373754343723205460379852212528599020098886449534917546876119155049851175586137161949367780866216559689134437930766191578535448851569869114037799553173000402611787396375294324765529464028316024987154058232447373777797504466196539068476815795158246477484625278163270569699633583642750007118,0.96530000000000002225561175983639972189261656964590802131420517706557096004879697491799641973637766890419221031389867830033575293631989258993092043108296839081517819579202396191794781371104381778416583305769382947474791020617048357866612026431952393943649485910138415982908066417270215509210688792774569087362575315946683358965708564979348907088560225325614403411752887530752690785764885530687031886580833471607410655058875336181690865109142307486430006659325664444441503833714807821301841771038783182,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004062618572071463494872767554,0.000000000000000000000002267904028168710566318716256244804847352137351653074328171185389855462457087141362095343275056201904133532394666325932610348020480982346662875979548434782300507772668056951643388784892747184993789527379555117226569278356551254405009203411803461680850205782110581532009348968261362355435246409840810623369541749570648617280049368869400701973904877482093537741598482454248337479449124853426854565748228969156045330418421589082659917503560752202304998903011321701926084825356036597397269112567987279426,6343207780307545.9936193191900356440098311437715019146149508791888904656344822397325133828015060294740601202082464307179669003391236671801489406520638437216014899418385663592783055660472575510220613644258911116975427220441960461690686582664495364452085038651157178040134352766824938388320247506689835386762536084031306448411399540677077978126490767007552231277933269597208226294543893442494689829789041554409422088983232038790121694140428415867867418066997717441282755719663614101344389500531969237387
5,7914976180164497.6479315568419616862276346782209666322755306534961987098788661878609440558122821894836349233175800941492943988659568591777716540602873748266379110813709022707730599633322972434773064103050570294796634054455709172666739056815546215570185132467171171257054041048873549348516727404362136566900723511639150735118289767649508220975983362023885236215174550367075873100280203630840719695960346857380669958570382370146602918164730240519798299547682021456156625784231633062752512604712684706338,718162.34979898139164189523122977380498833793182207967443189579702190927100858730234058680572585159587429268893223141776507319384405628531405491028188566651799447157050014233377912222432900052656564038656631051876061171924277818729641235735484494433307581135119001806106567125570833609666499734936407927497142321686249349423598050400375406929392261884571920035898159032952776274834874271914224530160026621509186869196101638615985164626622638552182422336130108025500416092577818296032535349628697690761,4573902.6609660817348538223958031566930070460620896726128520269910073532497510502622184185040891171566390568233837986555223410110193493513963944267520651104390452930624783604549269912760413573971235492537993781656732156706085391023514933771796280500779576298107102256296896255185762582319704246467948220830716382298326685699127706494151891868060110652617327527700061358264825146656462040607940735532988259735064143485920931376307487021846488743902781615958884975625997570246403112604645480267846499268,0.00081591089534213238667343406183044982912406261130899718511667293301681466613375961480995730619080735413130241916582455669326653703746628621841644922740063523362611203314769851631578198822150867473251218450267943807301050582516465381945367380098249517829273706931820458461160468871760043016917586734317373748548713080249526616580187092213922718287618589643034320277605282394184355665197081063343678425989091328148223186114994030208600598159925361021001968320290980841973689551634193223157259060952146486,0.96530000000000000214655695654060733857323320003945455127998557690545260967075050073554713767051443115951126258422929878319226401254175228921309926926621218241076109376883333426763363218898852914623576457079437980812291044877153392677521010387484206899520332200517132240040872245517140236475624197318855221892143246584592444428436563748315722383627558861490654829862092372083407201858153207116801102870090537250796491563061026026053409698245894800914908877238064966512958742877676648774464706277507354,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999605511622046264515753511663076,0.0000000000000000000000081991649603993050424111119915017689862766587444639411061600328006446871622642089685001904689448555883603076589167440579529474692970032599441312351682616766247058816766182179203328665041338163981958484913053479522302799822040823847844537809657397457946442686060921934652861649020726776572582969036789306717685526303535308975135251861997190321315976284284248310003673577647257058455430403701712300533581489498735469026099287085801830000475848602316870531603652241905348622207324444989585511160163563639,7914976167796041.4343979334962943727502803675235815436792042233882135437022813647359659639580862791619693189224608033665216471845145459364000184952850683774876536168777461319664052231205341190069429173568317278944328478869651197067873410789708923760541223518799350069302287063235033144765637389673277685416706747040201156053454866744871128761308308974015282092075965540996648628869890562512473563457238198977367639062647521733453294045337234278553850375112254976118587112168142268311337164580249449473
6,9488266690036918.9774856388088252465579668115136513548650990361052318195721550689183784579191200747397487655054232423868106234190006659579211225688527822272392109326335596440744990597337453361053818215914096676948562955555126446846319984539097479469690963122057504525137961631185529882715535945153369536383511586804962704352912428188707917120471192495575341498202373096058895319036811365209050388473472539928778193743409310792953639043579988276855527277739863993584803019620686521460741692910252889389,1015863.5927792867798519534738275751038710851107541592785748188733049887015163146923006519224318232731945827731849494958358030328382629858868027045678250875286982637023956790342720272613312646966367449730514778820565760197034026318968253606134410310014975269019061054394139627467726339571821930847659240498342824434766076380914410862749707834192560755201444567868870915674230481571472625289805240410563594117369420111932096381094988449774702849349965897585511183385875189635406656090714549643582477911,6461419.6766167834010642278714064835117574932029990439544849339069092186170843119916913531966336120985848378944990306848999831869782522826834044562869737509605309827758671173025410059644793999667845124096426131532029709316632722081654313898094661737698661231557625474509287683859509826719759480253369682192410230000512835891170254120572540249294118739811284479571493062498574221190185896618101376257267487726659362435064302188665910290950876918088797355116915745232731753313493428070733234373329594933,0.00056006058718458078267544160692926187505668773485572959150852401312612219181665728751759338150455183408469035102439863165020365247287241671970678756541249610842485284477792438130065224133867482435739595238548331545998659598172263793381317774688388194992920040685125585377148261593862125348012094233143147221476976408031538921767359067110427844816735443972120032259562250229047836956380669225433806909690890295944420925176145273810184643771197662210944981249206079815232482633379934091287017638989170848,0.965300000000000025488865485613399399659405813146634685723048342895823408148690174278108664645896590736170343463913972395837284039329036651658017225423242474679526853346200047487654361460278112560094574024700493387573352701139109164376583367970628105166617840723065429363441640855317560101659803729192262450460422872595028411163973584130708882585949417952205030737505756815397648363546578240541878149694997048755988007227572401741298937791119281046485593022260869448212860572586891792380218109575646,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999916621081471916101296764826978,0.000000000000000000000023496133793659105081493571679836059095459102075320741593347855911396700440561037516296938261068514399604936100832664182019578401484804782457119837743400977345578310833998562036057687062731704643395513256395783985562705711234809654375772012521037919444564348513153593689282871530731240603949489740693671813432531351133976821699733268869615576419443455329023300909990509594473152973571303265484497730156270487332163439344572676430160175025200159248543856666777301109155069412228814272872879051245636301,9488266668726924.0285008799824967853079983041099685230662161903044089009069259718127377078573572806056494593712467274575706106985747408151973712946075405555013382908969587385246933827778267651747931090248260033247676608069138824577929199579396090251671822924654145562750527314064088541017207636156390992706500611125425694359033301179270174214776102114595973568655354622343418007342087459232924546197969231958175601464934264253816152862583133827924161957170903303058711005070189029851150113080537319001
7,11062831252049209.421343945752811459029107232970784119504929807246461115784757081560146282685149093655967748718555077401102570569056158054919782357116029264362474799650850697700899764995508695271214150975656309381273892601466902840354739394069263455643447677095375484306349730982458993675705951000737476162595579342451518413295406277429114031527292899975458272816203638470438789070907109417356213701018807817914682815795437862537257037383609717834921639469833062667788988700036942482544426202908311439,1362798.561953064010447641764850116925486705857993987174927368767319262081560156290087722829514333797221795099913222739833347288468557783551570546092243173628067711967868849900287113944680259571130282828778771874985249797116224625423431953500733781715346916184139812355403527142482346175203907905128157301624452333897134335894763333512661530257282689199685452123937698740996684123521431499381363387959529390987449488659539348174949612404101705614964927421037545082576853319329955316338063373381064695,8658236.3841464388447543606500781550363037982353252020596667585586564560759696648049614769007971623889230818354216033527521304635486050482108452294773440705622163703615392332940282974587386536483495685125663121382788854875644471194010214316487187433670158957060406580082421241262497645754290730955426653255608617033500406419925850871301102509283958864863219832123938889497803646156451357013347212861304394491121766494945463672714035612203257365855686731492379088760675902466678056195044943190398387103,0.00040728019822197372673389487024040699856620723730151075383653266915729569483288634620313786443694365002414696290840250258285211287829727184549073344958005882735227271710216267247775205952533494703440424521475456531724695308107706990275762697257876647140549274937953641923399520180035571019025846908483635787244744408521547692056622532138329516131967675024620037511444656265553599678346686199910535092723808838601233231575912392418629675001291726061881065854703024797613592582179990771832935005852758047,0.96529999999999998741966126998419957200385179917081415446983721790372188706893867152860094894886156853655836151926891554813208221908858893184454575137372297419438425998989983411960071893012004325447783868588268079881830548894178009929998175020470642445664706619762896533665510716508372921570834296590672518941704620877739553470537885652617665930350073503064233291828002379768000979081639965941997655335028781747531870290419569508342983897132880723393313360301057871317354653448920910495801670478228335,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999960096829933118851054415066016,0.000000000000000000000057317167304914145361829371417637978304203609604137502214049084228525416916930403161188592748733715007841154763036682405546255866886575352474019159931488715807413165058436181084291058196268444958355184966288808217334701656295240970780029622633908284982067838101474508763823876927591356737820180090893656262937288021372481852969640645149040197700668733318544841374968158712225496194626984786312409113040844974372413832715841018333906424691957606328550928370193753634593286097206995359940157090670048898,11062831218268394.372650209557780278929934538177482205658764256972317687935679952213704656800158224959137623145761953272812530194054652244325066595136402183842271572251602737354267124774370520526268153014818408872111091387103124216324246450472295472924852340195713069650776734954944201965598882994811956467939628241719360295616007936035261120585972273501994281878151629585183685126898075980300990788403458196706734528735081625133400855258345764048639916708241934891108471366926950580026873221115925029
8,12638492276019956.354233943490623035779061881601547147510514620858956775231294478393341338480344906692392864252538456463351795106704071268120661751079172200679294126911971645902174514953997996989882615603056224441559713068485433578201016522530533727266979919843139468715204506956454569865539559418092184456684832078520321059488821640685343320092344666234528117271725347015292737476912327989569196894145628369421860334699885459223038693180631048508516483425408586009846221333708738995559678005222519275,1758440.5728282804376163488262738496491265946091418569851409914811393943766967161676569561687573566681506429372346443617500336938563484657478850707301797977636634901659071928248589518078955882569628150066623942140353932220403796876383978328029523757590851278334523555921674117679152568173834942987677541906763345657081703376972607593075874662837702103392180206283894679335567839009694767792618639311708392951832449726564845422196539289462844925074143316082525957849255932313118145065756262861405289258,11160618.835949938990354502935964990155394887833032482023011984485364400814894209834570298925853515779221755844603740936690327636564919140482805229616882854245175309021319656401578909962820830458465086911349499633652660464349822769812112457658508144519530142797478870500428723405399051636639401665823028831955480783011811753166647614354706424980759494965207018159646463681769290554646167699726748638931306421694546249936987172973716065043480321298291862182736783133182776901650506508791785254349673585,0.0003089899742714932956712781846348745121446699623928339141335559452575366257451481573386412898226959826526488403679002511110763460631869460637770400039883755039450982155749837036917583642416384431736367203239910776970950907460443365073753939297857737184240627481765314233871279642741958812259386828753809170919858627480094393259575461347962604457051924039844878494342912720326420213584289544679626009158111522722427345183849351628668637261340497173208765820376406535856063015939318420621324746473603637,0.96529999999999997972119164416285860252183825215235577934451670130168998786052899792654488646029647462854482343850402190581034829263014924167417514972661297635049413935973133500353890356083468727100573640913506021553373105327208129835326724850209443217799451884289771135191823804639702689072677793854496934184799855828222092553048298812259791643691985622418766022657291234316450763933627648217514237069817283107011805614556918617328845830823431890216509155850410659155468620882305600377103333890184978,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042099933136813492196289778753,0.00000000000000000000012423033517106096393535062514681333487498220371463097584851272703826917418600446317355527122072145419626727350544028473013064068539052098771176892418034366772544552178443702004778990182193854984737419818071414692318338864946040090734722975896160040368534155698457805360267918874165960564937249139033857515569324482216708407736519801041308386234684787670074409814741626744696290206113727909837331726006200870976039894589427505546880971395147936182415983430170674415859667943080323670289836540230958716,12638492225646699.701126020754929766033660492269396458553676346905573560251424708594848626989550768008698858999928265886498623797776375799388041179299107101301906552992483397255523048225343890754708215087597427138190179906203221072163795107111756611747411883850190489779942991670918799030049896026426781281667069127436600922763174384951665083959678078693353644973128633741404264885900235831212407051590349352318749141950246758097898732291595403525958083104638297596849004572576641632301714421192261455
9,14215116210623281.22230658005686705910009170510819726309043545115075744737137816046137356460861751153219828210422468480938089448257482537788342992811268037337021482051754593748023089037296360936114091226565290618089965644830446415505632482122194795321970007309368509857501129971627882296504309690860736812373196255744815840423356033772805680470671531225661840776833856991882151549247438079197441071720259810262850350551314884292203337958689572647076398779588831665691582627198928099202717825688885837,2202341.8840731359658439300363937992789700154555822405676927404221121214501561469713269677124001505560117055001599710908686096059034392916764455619157790149534770320153150752213391238381375630219974733252332274592290423737572818600257740478822101620142215652904496793568567492750511063005426319080457326874176989520179929471956816782085335000231146108322798270636159821081802095028792867987684905074541903877935148201413654038513445535181158297885548978182481797515668252574818178147056810631923109811,13965386.341959700528310646928140064061088420342939564311265526903361568272315580813229452762803791069530267332442454904980609129111086216316026668704543367671129323055438048170192094154182582585583660734832708591326650528739053515285067773446592677364061708751210966381916959933953264115780874427844580814383220911232877694837004788328975903957285613853393314426368243123171434020277690950866486233528924159482718196453449091241222773295182813560549651092630296238053193399623319361695367384504256484,0.00024214144698091801828219071603659221617821724864519093024191784734820247813120191003506002827375735805466018527696356690407648030738892349917508322816787809977279155142458983063590295791300436999312477012207734979748996065545740844518341039555695051004483365262182912579838367219079585017449681154051988341153238473216336090350227933389872575008997079566366360994881030180481951239373696855548492673511279368411034573297673321141268891885387543983008122813723678088421441539325947527361879040965924661,0.96530000000000000796766075642389243957579011001870380651664802622973709146169420346040157637444676250042627992850280364405701165441688759995197019787520854706842820700245128831046047776186898437181925175122644133783648821002578836941748335729215359735521346691912083480041173767094237930140878417345993451642848317882351108727037043751577881359063258030145006596669398369300652832951635602074904309703287626082890291671369282499588211339269944384522363160716359728651596881009554337431752833077779828,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999965374327384454605428384516156,0.00000000000000000000024596053457639572990512355832352636611444572613917799699813040648992380404554366295676474958290541414368284243097175800547180291472463032020298038336362676972645577653975161274484072805749806400202161167138226296929124544560956577634488884038648669236833413837636609653766959112862205238193949467038952985951167507869368961778699104231188914203247912429752666513519032179920271614697198718499219577392113965425924837912142572563252818115480452169035627285033812762572507662867217232746290486208511236,14215116138942277.058530566939986391177455439341392938362610904330510258252743045919598064496662144594709013108199888127057043623427362523471159667505482628242095561557833565360330095369052425047477862714203548295634226370991874972906601994518425936644358814784481727769983306727220649166819512908551126982652002652307903838368805786174341101507537841089688706525150482450315572621882132033629298514883051701160987047133911826464978365421041596999138422317235175566736683595620207519191046352902917071
