,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,85199418735316.535700348098477514018429241177533786720668990764181285139287585834829993427665206040202931764703891056321310551508501787230140229378240203784263666073537125511641539306723175884808801265813159641455454229989036649854174836916205688912981360046248162371836743100084137447482992830943368187904555803526024826840969042937555883480987822568756298325248255783621694795094451170468506316317339983621259109973294875252703344577655853861915500519226489045816722684735194451164363000164148709443,124.8301478810630572670164057768664648934196429781239956050327987360229701885744110109523112589177196330860833564711295117847480011704687020459676119269381321179321105694272611718619940400817626719729979217329408061918769599130684370147683210161276118708060436751567787320002951658264801672367219231354293931965993620607225469614291622769227629696880915053543316004459707605006938338085720133141078170817191998699626809720637625931736791174046087653094291875770871078602097793756623024409305890039191,802.98084737314876439149349926320600079205534952942675009688370818947265924509490954776804284433807051129577165697138197869477538895603140613382457012502178559878562280280037867311102706352311916526202526165601019671284966860052636553861974279945735250454234998021335221931733467200167041806056456753840411309581130302703806609726422592397342195706376725778775740222926612802892700021620850195381672270041374376687288308003598164080520201074279955735908639439425376038659957117181030078245779914188078,8.7694618660522919511145129553662213411707302382202118231553572052961482845317073710077415054900163663081917923645109822971858100121207408255182706971111481826228005894094143231731727881186578211551396224341091269291780010090013858699905192004953103519473310433770319532578421227663241576162332229472153085637520350817103754413494106340355520759800312002025453355592285029363091149529235769891637688810329895301589505368777034430958915829777915526054018822874034838824174972601430638677560786719983784,0.96529999999999999070328608352935407647352936675672108493867030532012756758996114557485211775195762054203457014900278872908020072400410659514369062202711112501153373749274932427648483863137275595105521587296700037731651008024565312763329693245486401577784026501512176054236727990982767206753456871176147110608102482451959578507982432392921692385007241387834557547509360547704193977157725730550203572155189496480995092421100872176939093396170661462833187855797932635346502522350822790676409766484631736,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999887614884028246560812021619721760906,0.000000000000000000000000000000000035444805342108832428424272592343613543055747052814298113218145104698157997483991892242318502214918417228212720036471600514664396720946282856120350565258544437605212409605023173305840015549048975361158058097438966282700520305718106339660793055981851613004605046563347900322678562936296406376841929055711163765755145506162178110870784870762236782370124146442241341883091121656350213542171918023407874663248318393063729453614373029438383137628304155117803127391381048001975696964340610317943990060151995,85199418735300.67460276951869701186242993519351044799928303734839817909636502025650890310260957301292960422648305551452710646914452445510387124016788793996084636976259827804443662668642712565019255386274263676773646915930509354021272790761436267095793586983755034278290552360686941155030148605652402538491257645444994064695645413146554594975849459107252323673132770299394940495906283488611586213228940441056161007459883387366960991615714712978945332356503864863643087594550720406815225451520058847611
1,1620601864695438.9311930815295262627034893386836955887292238007515664855130924638294482176219250714344966578392538132808359071714870122480270464270161518410019936790601725517310264544067927134798471841821447640412578831417724510541873475004128504440617482635783825484061775861877196619288809626353675766919453415513454681070508319120616595730517222253030589624895071103276969194415429072661175384842736321771133024719583711841702946134257467216182694785371457870107807065122344056852042281657586040956,34577.928072662815035984575982541506325438874531856542449822308320985501077011712013019245696544054862129594050616572685036015538785074898707344289258801333536315071516057968623932829391467915986775236498259294414070535564574412350766037854569547438963553617665588187599548734159349776703007228983293682645414267192834298247529067382999505173008533548090769031798361623402067704191867283886312111797423621777323374809224529203430876448503647474475637803534452317395963452048544715962388510128441294572,220335.58582830226197950528637171458978987178748781017815283862289030709337633902691566058303658776067259133464685980776511128492313550658594758948841319007467625070065768162306200205976642044259882762898145225563976195543693182868548707579435715936243254514840750544779116067299688153823408594967569964466739610385458472918668983745968549362862353376845037037892436830386928260028958808164260121890760790554579829142524313707478358447303948561302252972281309390388928634181814001883788766076343315144,0.020582085644953789677327203879614868841164337244288262595561352958525661347296268583583495277213526178069201919312768192160500926277266517332528678655426069876659559404159313445089590585193173776601930368062986429675667993565794577169240286786318860679677330304083240955215751317487413980533625794454724683712227234369702926299103573919137469950709577960586514279515972299011782654506472843868242552071357503068697610708635886293120315156501609452487333645006774369436470462535877930413627622627598122,0.96529999999999997566241369941665508753038138805071517468249713118552016797910709917772464103450320084826733687857401210371296136882781000066628281817383507815569125321671567581795032377423554701309196874939998797641995669530776795126674618532825674936468473687663271397484488297252961713266628725377483135169357806385043956624261504931227573215998568977528694270361315057873310384322522382893569825175415442436068916450137585978661918384193187288861986626106340332843740332043238416705025277836066817,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999984690911509092207432866021077874,0.00000000000000000000000000087221440769365896532378429767010520477686983759922075984896975033326942478193573793137714922016554756795148114642541001596681302805142336829672188189554437336790363991182854671375191862053706705537345777314572612982122693437479628139465022509116854193143372591214641326272017158178654587720938446726915770071277447716043855108435085481991280000775608575620248052496417934574579839198876051260718558534656452012001860355845780975787104725700973466864872438609180302239035318495841597106770159491032047,1620601864586573.0379033941948595220520084769286012335593915134918178147042042079431578283759902752688799216499228372115430666114200081453317774123811806942776320214248839838757088009137011873616449215304408772375012362508334291167329567721007361115745436203809981146978616290572623154303872580964478441482044263758227718714328917695536671857264657653260014122870844993260695246094661313881022124905033593180101984499989464630476214300329665307400475520545384154728325067469860816428606956505191450129
2,3173307441863149.541475254732925910423399186852059764767588589808066642913909343561397049359560430912484951035164099671732641683164229099838150116581491916988970830935095304447652380226482197316117301587636350455293612794776152103809524385070119540982402746802317285865490385400660352383131865205753764319731251554649492544873652328979564334529474450440721892023861776104717462154379244426427296878738344836133855317348158496931679535299078167698017641756987527603861263244623946791661699891305058374,125376.0758388286923760363620055541523611873706766804362027459259962827732539658039221719651684619860674213652517807651107328378087133374064167826353008213537334565034767425762226087931389165036255815747546876242319796439644691697555674879722179581769542371657377287965709797426385036854664130472363691432897835461606074876586533594985952675504682971030993215372998488140144717258118067689794921401446223450116595217558783012481100654323562980520714510153839828525268839937719307969901499949431698592,797005.32025653691245185421086184039676036070310286266344544198996305914228730879261890368087289154287876223345673494411032274803689231098278903804220344197583054879038317646455344166803277472628866255476867900029542145120314631043322221107194191882992929022708735017693074264157985368006683162422607749351632476471110153579783174124265728351214616968548724207195817535691379912733290559077700696087698057985809889260735019852401464529657018194691599305003147695158060396920250272935953031682190692204,0.0051923715172104288040737426464211138760788932468242582460760697145733913714702212401660572541238150243415061108150272945217530662613146414814753917578484964052587220361919022117898325335360189090692949623421567587741140355452591052723397068720818531567075289391522219337803722465954244375516444637096518842309511776650416722280057153504088021509699581997280632965610414457809616075103753274468781927428673836170300366292098736327461560890363151251200401674962164154464396934100691456629037569881461451,0.9652999999999999922390992889343336707750365997558445123069302604878477967098079263728704336222299381178134721862639261277677659031384127055012315427193174648489372025249972321264716637980331541233853781607806480482999999319254580691874205244444623934253023476539837564205534976895150906203502929056454686742018414243511774167048093662605197034982462503644209107544803709412861792372181709233317608665874342736426398985967566756116314034816999123669311929530291214887641879342150038954859200175404808,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999994763175319766638464980325490403,0.000000000000000000000000042807869120704235610056374356499716083165732038358422270124762106942094872974956999926593601799394199443698099375061151300211220808175038561105057057410400116260960808229574131188108281031581326748500547094122805292450331274822808953102516164376730736779632640702685892238141567318922783421625184036002696923007876984642377361408059942139989995956930791908247811332506269724101356841696782569279004112305858401863210201031912148384118409323136047100799189385174134065470202383707401901353239658388051,3173307441046242.8549790406590004454992090404560245218712253048277598868998771011565073065809868418603595137092289562197513816214618086639011104039818243496793885313933508245178507877946471169680644268012355274088464809439935997419028392700982956086620070423134439159838256122344764516054023412279669282528947905513170063384998986114140885225467065180355817017957645577730153988664814369547635245290187496186930101910248053757720299424708000922355917083825613032545677206161603193245677826820008347994
3,4733255806990724.6940949106739995753560868613302321189985596297882152808686240668811281915190113574966367245449223294615758522163579669383132474332829252558222321577125700927649622640310007133153715300093920002539382149772682098947699520053889515422794191459075495335648451691858721735329964678733249393259234149962022075693832196874692184408030194035673197198471699755692356585155923576169527674343207652295013327764276773607602479377477422963003702610263038858955180547020272763572806989178832823365,270038.54965963021100332400896920839910660942303417329774350667239141593498517806925845554194612425149706246664209266096774128182739313777641050361994992540446062204792483169384371301905192569404172396834248894432603380257723019979964872824462676075514041083269718147304339245667198308385853276208931078680676513442834587354338055124502431841148877123059282748350252872471170937901060597050676820061995828400488757512162325298250011037663946970543025886058698575408692663594056907008243731572970523563,1714074.0387314173572754996280809332843668652756428115404777641436371927602508497597586892595936931764533830026335775582042792040426996980405959773300884604751869214181958594722296303719182021546695964513381299577798614072915080825194148381045913519090166989916827659634089210759347992439785337855707504146216704453134366476956887554369701214189139921825931253783322029384961872484623394869575416437495271274579379765481188051304547323986414557561423306648692532551825905226305460224812886270958438826,0.0022894802761712638943295652701626983804035541753014177758317319598510247587849521341411921197308008863504424085056206847399051546866347636255312223213326830525498136383668988889440009061827846973889156671189613643725298583620992357028392223639030632090039587184586364440523102697602626824448969646086225867910485592931607986144298734768335023223429033495178516543513888595302735543853130254091000168367240268746440343192080962338254611253049771160123136589615422605386341843345725111204605901546284884,0.96529999999999999227080601169079736858495910279959514987586504589416751714591986449764838560674290987176148619351570776057773746894636878835541756486076819359694032944414557068777070350552003529672983645367762848768241716111297934378803102693024934395211112809489705582822587794195156752124286193687565963545966565679948426115953052401869612486450456976294576337859522412560188520813950439672989928574436742473204407645156302349793423679700396048445300689527544993352143352318972864240287782259021342,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150824825495480578454792573676,0.00000000000000000000000043489574383316745508233287575664972308349044802155212540164491498438705831303100303323427895019724971415421750670987445334056396503351306699941349219930388241899070796174463284874097005714525983327386392110806723689084770092823931078910862503952690180601325409818495540132893272169725354364926591119706150682836017248454000029818172264648818855044005788540848727988012409104747720927200324664025789174493376776216991583432879589502213973788964760567136909825122273616721540959394996634199549124251182,4733255804280607.2666648657574770412954280656489062677369795146675422986503597709166021700469380975710481423121956383454494596758273294503059299039892768469122056775617359775298508508937031403377470059841087299039155393488857530138083548700304522584590515944324204390252368767426271059694042105151322932855781030717759116237166845493446483165497095071147860857276333323789067706061000311144150893094749687799917885672449380754673304421705099753712755939609277871523330269566012542583277895227930200953
4,6297946844683444.4217991259277271509544869631228419433233129132126615011175068670889336550517229581779874667960171501827193968464524532292098458719747448050920513456213969763247761910270390240118712027088464482126727348931748000270573566086572932515876559648608391641388333228890077154706744345921529510907185353781596467130031966159604487539417457068784495280825246702277832843309835658465981422436996410150117739708831087085883948072091191808588093010325014839452736797270061548300407459311144139034,467301.19212174089452400259326859288413873105772400733274571463521307734531109841290444587908057950825653201073294771750111859789443794422218767150121301044951227936311635936642397712779545156261959215704395299086278440648058929394179689435790950627812047803179201329252523537897069062724521892672519160378468890434723356171816297609538073822890313769343291149978854190251075787609629807811641434678762168107850578445504205176795753839263497728004788120585513521571807072918621087907767153519558246872,2962983.8611714566614890570838912883141871682044576499669087631713361333138350210638594625075532339428514606171898254836802983312429534988904564307689579311436158057869351569344951006285034823118120349890217440909864866663059265372102220761873190398429455839777495426064879672141105786988186500064506618720786715585081149109754421534045978325146385336111991429733956233232162107139677339726192400755727130591328053238073930366101085445710940458470084320267128451726742167154671370602433258158992127503,0.0012759168184753521266292879200523940086516871462069939013070788664075156059512157564043428635012319442780634953016269186789296107616754707631401284965036469761158356992695272636633855539663700988606062464875799710827663659064073442919808556915388581900339910189675467185014040071937310071992737998181271807220449407311541166806618114244994197229686055480869887668720376106512873389298310543495837957332577659782438369495323156855648908332892591987116812788225490863668647662708060913002130426719157334,0.96529999999999999717157824131469846431426349197622874279168375012007897982249723632185471648969990769281570084134660032446531943426671541098097838939301481922330446412351204665853497795698838230227404440414776875449378452087335516835999435564806929732698013096583105750400715164757603850452559688292061430479718641745285921420110723882426195087728994477515689201195468714594027960075020900332914408623125031808231641578866000228099591270624636713331286890394624123306124328073117316749741682232597158,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997414044864260308163203332682,0.0000000000000000000000022799605100462642643617391922435632976498514081354481138267387077367783009490952966530474008941864971220008540468579702729824122531701184146797064444206351591854761493859448197402481724051065457228679340240919338969423920571108300534626990613267454774489034390865667740094469551974785373483358956480053749848062453356766294737661788681481701566715309379468858794053436401083761571233935940041079447735677422433842791094190209203437504980568211200724313621012086929580556412649002233397307414895064814,6297946838300556.3507546936192283117372727469076761136925452296937331623457114512519848098684109062575168042089420130170404382603547073663128099368648785661458284034682235399234658991547422635957916572227481383845395495022241315584861369607644085730183265079150499039571644697515200302026566885564538110827365623967405904026535158255094999189988279078222184981351467436359141520785689096939768934133975361316389970050751333456819691197923106074025859091905338526273789563245001851022821586836820098193
5,7866175705916391.8477195793402978934904828282730958523506249939721304010901893197853136817073048523329587892436204637352802807518000557935890330525704409613712140819688105927337017298972955485884228694487270776809800056838841461719818667244947765682611689829845687390154345103768877013493912504241906770299718074223996917296694641335055204132697172601229783792067081726243168120756309559634082153132177207136790009737040735064517761735676957957747720602261524564954587809940581495481733084035217375974,716309.28157526036301653600411663115447166162878368747218651972711278386640484177616578130865534485044958656358798498685226371475417214829885488456387039419714982065652574866468081245773743948537656544245101607814944201512927487965761887155343598909471942677437077024038262651923080194498148701459903734299353835278283394238388050053365912506036292040074433387323901475207244797328507119978782067091014932706807271880876044864172410041608601160256871338388461892434469000914634777837639352216658440149,4537936.4925823496361871601135534769873940118946219694138675126866103733289781579349441063326666662253949795938325942196951046597767500982261622518865414680616796225762784676634272049590699310883651487065140846299437696165131119703772555801145866103635405166138049992618443685444669481188310081389114488204526368801924185118725053182539929591679316080638371126543228658613152043257462164827961595707240641353953990295133409619567058419358215772924126214264182984309047477749797474058046994354665521625,0.00080949510759517614171151434027743035738659355507068811713515221914316775012783573526041828755034535011172207070579950228954697852998421224367109638673685879161967862521228513721814199546756878929588376467343472454609410522445237395185049227162261614440063849527071528186768676182900791109155926733108792763111723925428407828079106611138613260185151795891400387171673257572631925987768771548385317504094883096469741835608614307294976836629286914543091748947986967090070044447879242222760516863671222166,0.96530000000000000275029411952978519923521130630119105500660266966311547358329096330750343762293887629191810351589848744554899921253183036794213850199677605592549143017549557174350133486064213089675636355965502629456497301103627452232846228471378697214250765105353080631073552563834577221767097997882594799503901709775478401380457547381964768121444821055916319622199606542642398892701678311425106697463297953246138340548497370341535290146534630057869377331342023140899607475587081740421636444033376473,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999952151212213512462310860884049,0.0000000000000000000000082846980420030233065245148303224024003088057711789097630686072682927892212774047669990061100823925808611652082109673232839250704822848096168486282774721451559224736247420600865440204797069366081111451822558356983151585119815623628181951229215872436923304687824198474187618628810838615104471698178307035776661929239835584698293191268338339993418523592775249757802080948460826252271630601653331834297524135227451790144657377259441157044776416628029167877460137836717237743911000433268353570123288389013,7866175693481421.9655872627767943459319020536497407010879370490271284029026134809617359408162400155751137988717754128492322562643277416400157922747114966819642744874055200372498727891456336726542607415814537540098291321441583161407748463940976327376773463177609802888107947526166471176332315444508885567209570994282738652108686881639038343235185515592978881904385369686572360255491523070496247450385914166471560086887494671892896689112885300853501606395370447274624143961446119599089394379021723094963
6,9437228186248336.2110739216120683541104945688724512191822101634386029788728354813388795084998417252566433029492030986248467604298832680686888589761769354760904641357324037849135729265710606800745067340903585964585434124535497302512462695303158330563473768075272476327413261266112245615619807371353910161177745119733506766477645167946654926266234519794426862092263190354871563997288378703357231576640271832371836548746599785947814322013465042604446116226242295703209457799621994678070173513239415687982,1016419.7438278995750631349511270543586710585324241446732441806386553626719511628824269459852558251724862713295803532154528697590922032522834611646092215855785257810406215951883633441172891165965959092553974581511562303708032500485748300355015712371982142845909436394586643973633356573313685866777039671468076608942291735317594664242646735645517326380060868900540311328295858412810238324173365121400901717041012529945457997280056427494847406444828652930010390710786438390994123765307143524071755778981,6434562.2173861390386007585505946947050016634207641312090552029696255646140669555622165101821572497561717748000495541615996863674446959675213332020840127404482091860373371061304612060135250683762369202474178153895274768998566967570295260732230634125213911503401625434710288835520602987933382362616720629556875579653187352761147565955690874625499572570230303199016728636935708264858095838010869598727295817395027897480952342355146218322770401583771699048553797884824344603739758454426021915225817799488,0.00055773264609116514033728814618052095350438432011051119341849367190495512804200112525226650820656224334084499962781258769744589363176261634790952270476372291999354295359717176410017323284869479575668250050817475184985668539476275823936182723292895463133941224352789790827336398718166662580925219211147739248947241351269586382583662619443851271363262569581794311175422959452478153488891030684476328531271191481615474813822814933698011748363128903828351827530901146411277570039126106507377666463047022578,0.96530000000000002588384263267862451497208532154180974012088495607770940240870009989005311198383516651918639130121013145060358284349145186398028249631201644936337375888299895540428337960491031035535626200237344422420281985613187656675781147027269367170848719044364747405913545515455016826539791257106160436094529545352314076019213236037721368388306209397960342508782019359327251263388391614826167592308327430706448290686627561141961676039558686198234197435305479027633021044142945764369978943486676691,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039406791000382662498089330329,0.00000000000000000000002383899689776216957227481740593585413831493711276549939227465424037225194565522727666459350941958344541146331932712500802269837063425978262441121867967914393702289483579497548851775766588627776207864137802503825473222513094875730765409007091114809539486437217764105687162722042607751813425811435696442984613115359923642064658910529343672799516806542948867822215578727006437483454712944136838780515525980446058990253369141269482508149079011646095510428850599747897809964951572315879219687203878395593,9437228164778234.9140148036492812473775300943862802191816258884661395825904007721386494686973314789410333758371129080996126068213959338651949104204585849839292641426187273802830498403693194457775789912523907941966716652794439748175688998429383771501546703610877262581289172365208422760173260952615508498995175494426196059027112184071911922863324875466213705217320741406962195557773502939480480700482455040443107688982895122850943838747257800037001355312738064866497148615959397949139212237647625050947
7,11010630687938948.253379251916116052230882443373059306850843601623756437975681317358526929385776124989405426669171903219901165244277528183427146329938203302765420490301873384917003804984911927668680680721996501665365327539966170836400219841695535943755382943855020018535660441214140136142899375706984991011491041239286051718145402971975659371244094349139081526343701037025530445133086606332767830966998902299786428003004054704977967402991088206152233725490474136775885203045731750701222995953516133326,1367118.9457416964932002787599845457266342797369674339074020368578068619782473845616477899103071233893068152073814879589283606324727550450747026764668021436030802592074698512475359266387078650917425054019403279884507399573480018934647671121079593756484142347805961050061201717203161675019643000661468617279221351698793103094130643074557067732541821858565236477862718059775378722379557080192499911102865538390617091014740925535366346362259529067413347888731334735092304292153523778439001579105564302401,8649366.0292121320888486698509919538377820079564636171976107922065559416482136243450281880339664284369308656665516933519010987448889483021735741718253581521264203498885800163237567159413327577773073485317969466028590949065247927652599624155125654648862831867265600570780690872320478033008426544222863481876673825229956363000938855776442331826756870472795302823685031718597550970487840199998647299949094951714223963420668055466097765116666710311080561604651879537706093457805820489038819370465105298792,0.00040686294004656068923798349917295019380486187128450626182231508500502983898021633288050469578864793819201416718371091200619367903649148623120469086977113180873292819567898261013341446566803293139549959225860810497008189062097264468849203191190958467772498574483525766892841216798622610329234363329217398945330722013820619167360293048259130509641011254495026311481425284906428554005267841535630065679589375706184017130018773559716964952301951240634473725644282743567049344917518233664630887865812461685,0.96530000000000001857471085354451385164772503281318503459279949962751390807600646280511197217346536654617522114025715465731271284033974862650761237493103734601627078227513413746516438007538423717950747735468937621092190315292417652540439642305440058260874715599058495072738308623234345721922330544084484854304795597963449403319113521198920623429639584298018967983843404859853428276800633719644058054696365905749593882567685199867034450954752880690288267968496295289143389014952001246473981210633312551,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999842802562464966789036000647909,0.000000000000000000000058354285196740034757334580205860810355881791522127840934948414657956113298615290961570187595798987332083940525802858983106482716997792176304773045622908947536411437448260186403959580174569977149698866224545862269325671637473872927817986927954516811353997952775229389045037813123796103143973620120612224695297133743076108297707520813278541825609689371203442692343239959139808859731961565552884208524396560784024437483928405581564738649950812502211694851446795296225487029624111431948167314729510304021,11010630653843742.45579308489993168392469471682981494469133787709386819615191697723399202398710279226495247443357167024197808327365032887846911436780609960036950569772776203466165915575542609747668425794760073990457661966813465510808429717893024666464592964994980823887272387913158297307409926682650328570302667380367488869926355433565046574587335162432241256509608470051361109658343259310336562575727620151431178249868580275051567523581487040211555926081569705244819690008210784927777639610148580487
8,12586045868300088.020538691582114832738670737628277195064406971683470713745170976699332896712686952517807527363005263531320277386841371370569916422643630176926626135387184723974319340973422918551162403257402851640276200614642865003867081247974734762974262136964862911179743687771473172497490750872834300134378165509009607234862563920707572946184356655311831130788845528890667700251655757295131183573452684021990684021067343303495153954616518249182277650267534940871091347073930026741193261785872684394,1767980.4773132230738278114462756994702368936579126921669471889096241499124659363322565591824584411224316807169183715803685177902253895165237488696506812455942744481949386633913392382593793162463820460555848744151159372235978769514983231706651479817910445369163389557991017643950096169019928907088264856180817726010729320810414483923081889382661048251908604744037379316841788366798105918515254206740548942868567126573147564398247525858745007007163910669740992000955857369680425428013371432513068726045,11179442.914203726167251021338222536853366005637413565419432019413946737817895294893109918871489312779531803278692819015099296221587923890843599877642136305131907842698467861496932834968849833728613249566636529789173547461915914665341589861564378563810775960286655038397975170432130932961278587641893992699167810764890033748717177268244672276071446733779271605949386501454782588010310154119858981388577193014340335013357601124126503409075188265001001309526575360862283332517921646583077931067355511953,0.00030951113277899349446715023658781890810635505371620110654958733738524671628970244041243724792140702210485446736741102517254967034577156501986276324116478667843962987001181576836874303656116423780573040565550856202077725144106427063630621501707586138128650005984053120251678473745451397803564553054847403595913837871733348754756325824643138319865887082400834213627457606217888678973817733968317199123504006711822398920357512795375505867709326285694426185163606964813491396872198433668589791417914513017,0.96529999999999998963347144720527689822688270785371034172945769149213801241216951506678239382142733078167109385023064171996528394673175572678262288581565858549534527093739279408710946726454244744756240118590406667927025353442314932611262380365028166584441171793125361572659570213727934721671046724173080372028989507777702035606056186903264292968241651689471687631584460855723932136956233396055575159239233718555219216371168798042464345969473498935995461541242354009833137465848868031204534074933173684,0.000000002103105170000000000000000000000000000000000000000006553481483153558411190937927117822245423703171414807337307562972309702980229589087419740612780461042063961940584704279899597167968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002114689057409432462947116748,0.00000000000000000000012685351629272617685476343300808161665979572406501820345303126228553725268549504057920116507921314944850588265111716116367397886082071033918733090791213851870295806464605923182461809776473796207858264886872797032183832512183620300529322145188899649595861769204483069123044121968261325050560477541486869227109558446174796684475530964272867266405127527442004597856767981229811322188078009506627882006757638062210207042419097560192562545777408481270686953830622666349250508149898898804764563940510860185,12586045817380225.333940509509243741580258686857455258599443844900886002798609559272749864858261205542408934886035746961762488987796362473327663723107485790984996341213122600847848300652189640537765710319940420682701005124321063682553190552420121556413003775122553951565046123875784568995653104443001145945730561905781602330343833598348007996493679907219288708938383787681030987909541751590547215902584296858828147342724567694986097932540255336255815174157223469454076971704202952823733316296296646195
9,14163221132222012.618378049337620197736613558769554387296629746072620431870276583084527072380427443997802116829769178666409196102921667316334876124818233282743638430530234779084689677579135957483890714661350368266235654824048700368861856941956436656342082338878830997890742989496342170260067782241505375792617563063540940139053983182850719389590683475047277913551788921821430762159852015677461897717525955266779904729842911749593220808289364190859568110235508054773716427055676925545076284108963282158,2218640.5937739969992520983469712201685624336858832309132990283156046191492951577468365003305442096743366007003517023517685804022917132627924024173856446843531248811860313396945802271925661120263070925545829534112760309088820549566134419866630344466103418908765023527798195243224356884341731092511449178401161950116163682688655736866572895534309896519027007570044483667592466994836758043594066936358364856621415134714572707845557325450680844944413535137551408361319630216914650092275107255497352478423,14022312.099103297822010663906837096059430542326183999285367762925715854615679309328287000793834358011149175698042562193816921800310954715091071624836525754337231085550143543774007370306367647103087041478951516730353359207029139133284802244089740302042236994803968807640029016545823312826489311743308103630216079254660945626999977081051825444618463882290806469514495321210262530851262324213032101678405117636171109579609210261154842143280787741158226347456389437292750898549089463525425739053692338568,0.00024312846480253173239862031571507844716141897137446324655018516765618554019845914936875897620042401834074600724827792435421791714243292648263061228306005548766861056146777817882551503499914167193968279937140970858913040355408540984537609153880282752233435680252150176458992907491020128537426319671502583871020674399877192752862283817370078224023619805194803541069923849234029724017294960763179018823404171698119702190418296812879736966074917688900732441188324675845633838045349982806370585175484315585,0.96530000000000001886258505941622360774330018712352177165985110269207098038031888954105639835990435925914200585181049705030791255735011890265008589537895507643275498233462039835568812703969426397085996212929924854838447883126274892114946643876404469026406069538727499374927240589545466756551161942957662458505839098805556115069976780975713205857961577119983998669079388248184483953439841748707879398864985193484435117869354185838625202860739674336058486266225194355979942328977145706112867350582399818,0.000000002103105170000000000000000000000000000000000000000006553481483153558411190937927117822245423703171414807337307562972309702980229589087419740612780461042063961940584704279899597167968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999992965806660793529868870999565,0.00000000000000000000025180701331416325886121496323457772651167879831683995534108563824663412116830831308292039959314274115347415051608810569191664939962660167601745057017001969981088252739538072464105918783857283436191348371479638589345821598272073078829600104945289670615879214149102130843993960532685194072103586046381121812238491689546162044389278586981204883717505544499372128702581480023934443800027554539161702177754427936403382532494937332237368114603099597294261212562346766547754123103910362306224514021309612934,14163221059666081.924548993109909622059139290662616497880089601303867755013007386319899695852079240313448739525981895918236491055426143281607079283545036000843646494084188438954915271608526016275210963040986495757569485746546167663382399534460050740824942143550700504842731056321392893194654503335958482554931390586803601021806059686480436288172115277348587240545499811883655762889219859815388859828747908995602308631030416552168817456212894032036035308447147437653101596784075244210764773379398054964
