,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,66101987153679.328581389476090812014263927224670675556301064850615921315760821989050244324342932942199641654319433037748094023392995888589204211098409481742894330199625798473308820574847470876420889903033317075336100204175447464072433107216461413960397488663338759626427313042185852962019717628101020817821959981349775620665573777934696383169221460968340941778975789026217383969651809754514115426097308486146356908280577242135590923503235436454778732828103215108451131572851370862747961835402317343243,44.188454261028999590136835476413372663854856330311238324772509080218166007962334051601177863015917738524205493653130013927532127708175423347526665527365898223316779003145256698641032382735561916563110456412037030541623852262792837460412801489944747067962348765318498589540699261190073894009718272240196002090650456596122952858513613807113312582238052158559632595058396349923554213217428835648992419547371281938264969679989655177669766323502952274155533609046515967487152191019023502571331658608525142,309.11519625296042247744757508203581582452555924264845245204186721526308059288913644178915457666999530683730467934533749324333752818679991720387045647482210514603595001204793442825251588251681767755729536496079549414620594001504741962506442797585335852202698234764392262706197365031408039577509581308725797676228678270606117481502400997380188689747260412797537754457760204816078750602778479061737942298958979972727076127499315352127784600944331096852907696317015115986112767305272193713293521364379452,9.2249918399306860190966905646714416132214072658979164416019132986934154732873654021306808603634855370804021738407761524550039095155541618816602367102576377176372356597274823130029259464942828052678854973334376765418791175408744938691309009528661857021686359878746107469798990101126211996460154125166885003935263809096850559873084201502456160230465583852358034550203048596904042503243941294725703689659539895566562387188772000810045919863987282655718393003362865922608852448097393912992227526723581328,0.9776000000000000187502962671551729637746837706019484385413511370698350935711328392454027500025736049166654606893703743208479177365537663992510736043137283788563289451964155805309634606075220279787513252639823920602368607629789015181393939083604442534313601351244782267483501568772835493150636655251852631881569623130618834244090137125470058620100215783201565427338225518551827288913649170231672569996670309538130176129755911276024083308772825768321181795366367035143979246737427932466317321703176838,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999418188161889383686623645967555504617,0.0000000000000000000000000000000000023415192114287466480665197728965404612202316423469841855570573637339364013787511600421568589779440555685319622771911957967862215620258924871649826478855897840388117056644425591648490332826551102446428623979826641109131551878437615149505968293526179261631799113066522500316868841098610691147321010092194867409580816374498516173999350621120323221311642452546301553687591481738780293531242038567690061196940597458116035419935801498333444995396322285234492717157991852808310878495970030422727777217109849,66101987153674.684984487660645803227698093557903408875510006773389691839845865298019705867920375095069304098892264601963924127550454678661161293444797567846035724894411073667043491284347831650022013512091244206271497466469150239462948301737399444335912087763823431785576603227746667336633741984672410966103255164387858711563353179292521634025396505355844188140272332416023753079870001928392862745932588963971213544044518026562233987417910698854411801419144744622827236149674573945947176105765456164288
1,3678106210498414.3558807894783268422657913481097284767806562731854648685463652010335435736198143177239828153466998182257159167533043580844816877097335548689497034984942539601957032407564306755779433253140451973945826352842625140808258306722890997268046441858492154662376089020949805262282414268536033410035773672576434266752855676571389723786407105241569239694222909209386629359697095438687317592908136435180541157085571240483613041330121323663567777334662495416283653307538682583476666183539648669743,101971.69814241908950369477412104082117378537167476862238977536728913768324128541014301858290740515307125210671057664842485354416577925193906850088574455014774087165972999517187441882467923607702322157998546181249872256896193726154407596991459242687729938301661675518842119099787192072125594923160577594461302679515092179226175539355341891453596776137575177421717722211773776962745011184252354085448849705125023342388951588527726256154709914396822077823452603659180342546311012139740325454119842079112,668742.39280520755448819326061811546669774336900034266930392095872947197773110145328064967209849663360726503432966129673734001804670237231118948135999371237933996835939150836879101457118994643340889675610498348307899079485326061006037547078320665153252609381673491681059242261400320559487416756253203303783283678126723367612129567151463618660107138824620622372198794609014939435893153355576055350041491039783058430199363356713062787557920474771919157958424981142856145494955283164239444094544714582391,0.0024217414858664456237267078196374415504747305844150063171902853351952643648774723822958451583249134893630347698797253741973036724465103661137134911287453492469519579079951110281556438151687013577511593958983890855034648141932954675833514335600499807813853389767421747799055545009331454029992304754748850822664852870887024858032993490257862867436596963053142243038265801431402466093902860488453108002270518046669744170377118400036808004041266749987883025358191157820403076415715847875232207513998400982,0.97760000000000002782816442107217288418787491232960927143798387995080498377362911734994648152880821583498594677152754462033429331019561535277890466787905198615987847300991107981281361174929562192506112420103976061287053055863333141633851388695095195504258422301983927171405597929920438751816473940253420594378886346453969587228998699905579219239843963914333209002602529588938545193359651586680958568933614908452843740753359603417181604840289533031526307419713362121130957393584134463474717363793119724,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000816680555838799717773532972523,0.000000000000000000000000036260128920385989293613843758028310389338359936646793458076488504132276824790590801792225666175521195741265605264011822554855858644785804415380812155757007700571804999823606253175175416297975781317439904166473602298349079731940232304887596354985076685235410509593201071660926873883031685668314728447588874196209561024156853051168675768939018614979523188828549007690779161558476106425844144603611137976367342457446410682796010193869797892744917319831987945145794063922787945982071645115044569486609345,3678106209696480.3883341702432532224837174279792670429256478481078996197210007656301235294466818421145167009261454862605431849959684816323982403802554333606270735462521361219610519069653626050955689057829022597030159697293437414032180459547256559156978788257249253411711563271280874640659165467774001754825434871668271183057644368948139335235027369890606338228849064959495105633962004281113218232266097292279108774854899152380648073342974217834505419167377314819265438970735424638019196874545687333769
2,7338199869585997.6306672191291617456557245021671829102252538758452148066965544959543295796513001187243155952028168721022640801342688047040714004152175618603342844838824042287304426998443377558416180303408898637766025557605371159427201821390668010675212363924445906180538968042238384429059124453310242689635727827952789735978418744449835747974670377501167777476772749934906057394589287380222937961575636546742926998986781970239832209928360888938181518067365956555827805056697015148580606292119620764153,387867.17231603556752450170702933290641779522562063335741428757304882008655769963412921168625668899696959058878003145942334608402237399948498313549287342909276474348862145555911934210062872117263275273311340609281428459919691595235915363586024053400606890670446993828018904662095003107014601201111497850422619670443595386485258436968172089119770129052559392373985517906922716379193824697130790502173192665296252229619828079921764521178086797160944517331884619479290744909596475995541594223970021706053,2511200.5998664965102388183083574244047632063434226813896858214798833706927348111550494022084572019775262626757387959925365540218049648500371992799660436644083335158194316172023386274437142129127964124766204332169879157036226235049215209969230059668069292976011929744898215286202426312621387492186541911734143381337239532520780190353135568709892766145127354615895883040210524502847270434589099557928050372390558910541025193393817117841591363680583527628905315338365375914366648572934071216791807780477,0.00059008945304265302614315448563816852512891677598968767865158784881180131456802314302339601122790271153418581005208511713936895227863878948333005100559048103610224138364992829657047409764412950504609073981074759733071357884315326927194473574420981447146585887827032441552388505317583699279881374153964053609195755670005038816320682288148191301701620670005085721458337450870153617287123221194522884719328995980892365758176291378054106735756517137738527040415277151358295646688348276097772120399373236021,0.9775999999999999783885202684514326943996266691579490246217722110884209605903502041303824285522783841262318637656994640462244780111359139245766476766444793185897939498160143777967714997409137344666561785328880319240900384331956099456660484115627689072835521606321779141558487240123575518779193094247249278322783271129974265524326610449542311220833915462550294406312888971695056040658161331440277207626248041445500550894928347069465022488616749464752812824170768269905005590835135365549049334148473189,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998632111683410762189762320139145,0.0000000000000000000000020622605954067909559846835717504312153145979339425379300574709925700566408947160597049289082398635758251370713052928938253349535470357612743116107355802252619004456773830440012314038706138459337010528109076765075810040056456811632361843473550571171512159345562319038438994268400006309143517318001013382014890117112263852750052085663333090073169242002061459908780024796767015894771894462390309466102491838370270239501612884731985666165993936101657834606338706427966333753597491618754299014960204761381,7338199863214091.4875253988604393946971023223731842895299333841689749177485738104211071911499229340391302340448227839741760822457026287628996699368351200299535878067175654900786418339129562482368427771194585145138337246186625474631292645895908167200532706496884393869574260724587231766213569367586241451673329712177758608532360279032046393336155772379807258242445483893989891787355018114649048026856763889043519149157554627038299700530886044687291625795445817080742093942405984997760219183747929816104
3,11018300760672008.828580406187056761319002105764387373145166989719033431371426524242916924089868014714457285028454168540678288529401859900623291579214715488423190238230244554372057453285812826434531860558809191121227935667500233798410603158161537980481103017116119579286584480705536352415561679419620856142695181185949635461329954250517791752170334880696808512345678946499280195181357659644050150701531121436915594725727641355371671183253485442137275548601740211432630676851401701644563144482289503923,851951.15508285963517406935808165500217511807525162620034157463260163017241535775503440853985623121446939485891892654059181138627090635994171256332985288386650424566101761470290814334685419167156191836777733241577614289252157082730039726341600226009731655001797224025623047594467659269392204846033560313021596915005751355755906527293700902845092624133692530636786288845021400842332016084746811707919500370161462464674575637081429755006973652485640607370003052660998026403792467006158790161830794186998,5472654.4640877813270214789968051376957944865648699563616490648279454302059954129692852100526799627805261805114183027927598296988079141741578004911014309588080595563993563791239164584778803778172479030885112114044784370840882849014077178469412059302049620667772082953965915850070052882802728273633188715438961769799021870887744817036449777872985785006460974804249390923997589798532468633514589010944097367886331278423026048950768702840737796649449300383169467394176010100316443513293912265139660612671,0.0002572365748398738781736377052542047380241208767620230183264571538692419599994156791286096408082979405854370277692655221867802711119707853850716773882966984775450047624896668484507373465536283762550458696530990967646049032171978978180187323661794120259472959890883272702472212416497560616003580416081828771707753498252206448719508867745589134800387167886936807485695869063492725156301951543435644190514802176127660642251668709904615194920705004342981297773277079573953975665447605875983198253087472108,0.97760000000000002693027470834584262149660039694722537806587894030326295387849026547638349527509737858664606113180529541551718274030534545070309271214291799241467561378241229446021773329308806581578296269774344476265947994045065652571962022514619756662462320390458246240486346060194448598662474337526148311173462518851102664870341503097419780119143060719334272590372087548741219859096438901216360096151568840180361356606673293245403541252277228510236428564506936101076223160584823574459893558773765087,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029304984731537633159256880468,0.000000000000000000000022260679773788545683178688157444248934582828262211558759785587092909436470053844998727873083223246543959829292889541452075492375989907166295829295206416923831661914219449393130149232194753985692228859073316071052993108895046867863107583331666837910296459917774137070830088793947551124279634697500161167533088163735846222822648837920691804953351458095275196129141058535558470279167805995695666464682036331435667734360751910110206894882411839501651802823936912618935532582092016130815419659982253607061,11018300739094916.590080422603640344745626690903685439279847990469405603528396923710939589361616393425955988690542167213866031516682019675820318342685361146350802454402162741672008466738021696843529697296414772602674970007371642351674844207245806357690170978087842280420436556721969594033909806479398938196776156806193828466970740364055252506820480639007060961367638501198723597337906066143688669488471265053594721881927466989453606104919593533312301615882109092737662336231712811107623096596060042254
4,14711704411592579.084390606993774762419421636425311301746393312883689517631346627703823019806236030085827152231288087788546595620616370034225344930818340026714212135117876605655772664754042788275536236066341317919768109119490632616581760160503943536474328036655507501154599932403889547960459112144999425928556687776535774334881183731694969821028214367424610377463768270626421221891006137734207884145639896591299586715934607232305865251544880489033099760306373573474314665590724628893793358818174249913,1491392.7577829389924688718336440782751247162319013578217012764536965872575275715220851704936585690606474793661694430828142561614081380454167489152418838014892596242847682569322624055766489160010470571875309788893593553985615139537823720222245626270388216808797179341264540199875141853087261380769469387368145468062716165896645854226196908798754747988952967994284805200705652890480530522430461900547461868320398384689684693015553130196788567681588897888123048937954954744433385167094161281055454957076,9525402.6606646281569716848183207943452362115300239004727447408438258622209864919535090647895371206379508932569122701951917577068348893907101439989221075847589050589283267228386146785695998198515179514739786269619707391904885272359287481254623162918772542788484020084567910996136845501021863778236913518581007871755350523436257704765952875966094098334437192812901933506039769162735003163596921706426618680605860093939160158670761645675390457399733735417367203136385779288537599785464419402407699463172,0.00014256114791021660328544106855903443833088621390886923253794370144511517111727853141358604633349598808027390126664358569041341725373265546238995847834849287076689408105705653574114627536750189540162729006248414895389856795125217151897913514954882453875480911981878653303220814363748773256702319998730235521124924676704844002900000570278453716113487261084076496447075421182283969523364390860133943634275495730344194199789311273879679244294419646678892239416535662139376525262713522329607381678903306014,0.97759999999999997058984224188010683307025837457969969863208786142977521401789632845294428875097478048730752646985481258377646202184767645075167680189141713180264426869782321534535470214482499095963868327426937709245026510045163043067732034247789262256124944421089225115133606288148212715450634606537981821731193046171689191252735730267279095285008877901570876261208321906285615176522160250045898824287219577037923644116410579005366791809866938139977766558705277543805144062523895444440645213521681843,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128770790657199216218591019688,0.00000000000000000000012093949489902873569950611439042488071375368147009333958775970576012060024376048341800484211084525464216278552896974372431050903390001262937285426651692388031475902250164801636940343765688574330321331832781157302891912548859947157068834467719924825167217991465482978886910313204989984149924441351248032987479508460998737308450050329818825754523522903751156558158161514002086026357657384695026092959390341079389670320194410240389157647651322341391713305513167941561320752232062687797954235440529059772,14711704360217978.637643680665573235533185545084079446023107540419781831276604040513479048476149210939701453276538848460108706323686085470020349539602533126938850460758452061473430104052682177784050582941163199938979709061471411462233274037346614543867101454173008327790370402447504470784275865636139905889999502883168670491117995365356435608584560707331597958666608451817963341260054587962028295552691582150096567974518945501067271647422446282281308446048018689433167718729695173967811532189619576997
5,18415154268703458.436497778873951137040818812398809535556534338147938946367300271946976596222861498692910633803440661259056124238386075994705448359163207832757328494661104556015177606508356273756105754481707483162257765531641333202955078053592427636824304224233803030695551061034383976105929012752040802132226501719922808407065328872616158328710776898939187732327576321793444610781993753915295855592419777608043868620482135573061909954914773517667583027092732408375932742360780593471416236823246413853,2304308.7364980277832142390317072177023009399599396327977203766282201538406726453588965405027110570840797157072087303493876653277972027110875795123627438223246740444649521935898305748856333003435754675001404174326307299503952672798170261978525919863286685348272969190327276140487209748009264453007276885856301990106095601408061066397236995094259554766149630230494594030746597144415920096010830179803990510245314047182724207855104056091442979421768569574233018775194148196206372518311663325219248137662,14650703.704144273044835415019884543348435738271754034602411105967132497384314809818390274321339661434465489979915717719019616894432262691568059064134952312145253946867803628270809579342684811415246460652111331379080181403904393318687209340467701930031530163518382404591326881978438429768552432801974992277541720645257364318067964915682532383375141895121910879358587245491768630109152733259280594368526022216774610660011415660388652521995532224436451794919861539914943272106412794957767043044331454049,0.000090153212221486783929726341312599439285198238835803562015886777225711700258538093182858911989579360949772553299764889297103899448436907081805623398949354248953642649101219231443240172939687183583008376947003413646930241134406576156222285353355455369792286523634129812250153168430164215893785962303149613383554858361718530307897326473620374335485057267710778920218900090049836936638071501080555856017994578073468724004850479435216705787594562551182947478608268452330112697548329547300975817773940666048,0.97759999999999996960131185855018568872514245454775522000481809514982172555808989937667306345977489634988776017355845844046626003816099360469966151272380223986914414028853531643269230596148596834928424390714373807236996595863477572476361089951509730232254994355564065896479342315229514354799646256356076746959921138831725869997475317130643104671536515021434014558624031446826030604900662308579461846127057205810050400779536497884513824878876745432064772528529541714443084511546778280876299789460679167,0.000000002098903167319143700000000000000000000000000000000015938569757879486773113124757700132674419009069558856957780348969128882255082408729986669483971728489279939822154119610786437988281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016650335631292207186607308868,0.00000000000000000000045037304782741941957449208647259081293285600799289175538193232629038405738888740798202153576859692560173062704891958746962457843411402970892341990408136202753927921701559134179698589552232968930381295388687922044174124278987860576660081320223477863706479181879741270356316801936682019304585354025121728647670344448554364637304166946009924241184625928857409615517599087526551759945523362402874364058438164643074015340535370262719460889707442626839493252375076088915999711683323661196635711174612328579,18415154167923450.606645486352173672447527301599090662263989866981623889478938006018009381388940264270766386064148301036946896442659649679488238671454847588203983983330164936348404794912054975008702157463396189522291140231052348504065506312931691406286554728257453112614515502291550679451919456877418136178640618822321981658575063827370016302348164990077507955428689606308618276315799359803051422461055759509861123567383908074361840486544999179125211304044078726449122720729261258056215633447380514096
6,22126704303757311.993485066005273657770730012112396256055416726331408425964808398979356082255422039508754711301737305978901155264000999900548741306624822938688150214396574406845576618797663331442327197089390747627694537206070483881832319489852041732741252101251452796976917506014520658005371676263313074271159115495420729181204954617487098097435611443486000109816628416835792939610212499270680787162104768230185796632741903271829388185853091710932983027772536034311430980915947206998925138835306108507,3289298.4862342337224340496054909644512770341241580411453257797668498311321188445794078640650046754695407813230749243292662013477253609035533166561482670793355393312030710315101836201938231991887152739871146119049525943843165438778395899063611932489033940070652267040635733999255984419884236648249629513052791574504793668659211715746864677673524535227934704391845081579898033757265524350397484563892929588462462097512802439674381844026156849524946685638377402353190241236313407364294984085355716095986,20834432.925520760759779671781571832473526384716665059589153583591513943136605830958693267662430338872706441299411481234307103940682733461489729836156541739526090841876022617162071642010274019929628058818876756305603735053816716376777914578204784965250571104824759039629567288849000845221234497646439805737095201081119239705924517202230094383735698052402412407767313371753204896268509284224024006762665456732618794562497950351036908521290755068857211535506815144706402399766221308694502241884041332585,0.000061983615877182743252626297159157067082600941492526587412220684783296286407139808365149835913839902619790443768727059791184449500522858142194031130423013542001704203325379442339209330114789095603126689419400496757150413627409970081131594126838826538810102806871380755114923363172345781710627934124165706762697521679534401426672119157955021985348646588332221715411771439045868447128834975460581389591327097631851553337245829646429285366333034483508171333345356889160124616355226069337011393523345535778,0.97759999999999999571235715968485152289318537236645657645748298246872959460751411895545993016545213235361429379971994115330597907408639972447171322753743661777659691438609957479715113936371849102535304944481631632972843078671929431656779602505474564002302842763817208893195973962038920777699578099151730947455651300574820414455013199169247890349665178600327583079928912123270906206039789720878738477773871885959040295070685805395724656062754137176044150490696419586869915655071942723870488205160643112,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999994455845076144335919552657817,0.0000000000000000000013200405168940924903505934733997008196109487786726974885661986357924094733095842336834159183396138124648600862400047440645224833858227473242118086289124763635586062120037021062794398992022381920589941747239260065012036150888195166663557677369656973389837562805964090219110837561718981065681952925206450490017964552348158419878569276180789644836718997694385044224650064537315191201999967751134469704698340619619393827807030519776719918549241832612130197525094840219578494902070928440443808588526262708,22126704128904262.837572103800180267538335843365676685657951929368715229776718469983956377530782941918710831471870005201883941415710275210153812504170813358692468411319883916368568851452294307130468478420129972791522882504071534901518134558006402658912912271797254727780519287097282797910216919861339247232406006174371840073183384836599530151524712810170084917699392300255254222032681444133875678962180509017841735105186733558782134262853559973602366529626542652038113613434371106325044371898545389607
7,25845054616117626.984489137805440087972243683566118764458271291667384825092032436789139944282235031737423033832330825550269817690503533408552166574554994646669657417581113852280627331569979952722334717019655521227365832287637724723403766198525406654070010320796502914969819586510041743584977619824044135113855661188566551375755951954230509611358449946990197211801305330722388492512984440415853081800652532311242902060320732566874088528355447677820721326848122166138783796021278906706490597739587922281,4445253.7500379200885493947287673435364422965487185327620994905856199027198774686545452908678550393216529707390284288412501685654612345472140132341167744704692234735011853388984776760634396312190419261043103319752031489708625943794953431380228013472185133980753782186949394134256152141495802062942715341614923572443919080533856610289212746823426216351700671358504831629536191057785415328929800335738566212758423992111698120181245514835288219848853503429573436148501300096574839207244494110243517088937,28065287.814253306423602252306012938657693018354143519444098984208531271822838912347041632136528145170074080621510386040607458768623445812616580425863951194492690962946633728206941211097233614922508852365557554336156401444492696080126138469248427919707845129036958282620774085247740457007881348687228900814467692602896845165449379293549516349406197535279479741164856194369106758915011936958572666773505308292440798930207669752331135841626256419140120008901284311351485568116301110704195367025023533445,0.000045150431939309297394029293038879669891038226965974288348480609441671022683525660764106850396106628335459770684372589035900647069700537930167896164705096375167525489118166313466973301707034571550326829867647713062072085795287887530737002952869783521685438401729309462390435405844126982589777199802365017344431918936543033088563910538660452575148993109149281646928721496366930513378756944424511817848336736112111387663626932413924747748359873840749916014067659774830979226404818075307724796692452219869,0.97759999999999997969537768950746770948791322915148599470131920782606380028730166795886920998977556359877786579819084392599415730113131553864916651717172835690982828520707952778997509276553770842283272823945934038472391161683219188146829931225173726469823981206883511265650885349557527494301729789498106649824850204951840201746181629660576906555667996328907879270099602900616655370594623937274985876053103538726936138575992450201648877930408751772118377403020210991008006030077376667234766597365404385,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999970335819415496784478542120966,0.0000000000000000000032789101513345839778211366775144201477470321810582019615424915379552542490647774022559632515620500019609061832478735972080974450866333520163656025533652779163373633176871946360095606234497911900895781025670620748140271420699624587077306222936392972418466050703388496496373128031854469063931691231875998738981273767374396796308798628977557464992405483564731065082765270498878871666040380029076559932358410455815171284893393353127175809193072544800853446937249974047510908519392190596530011196366819777,25845054337428449.61943934184176296036518711751029132209905367727785105349254978379907697793718725894179105317938883138189772273054332656679726647150780789403243226455051098662257592573371112272296116929344493862819314747097233184831919435584353486644877666540816977309603208792960332905939400314005907579530877937439144096271380219273436665006119946696258924537039088871843898180102722605571961278219644873512299654769869728568463744266976536349398258053963726428845042176036629188290759886641905187
8,29569273201685110.367409360292019584847314826986898313778334491202147683872262773597759406863340892036050463682373915674153923909525790164144677352747397456060077618637840524443563166178512517259679528589547018953427101438881159146720008030927555641195565936875960315875106549351068508260226463602747658042214795230368909625322782487308865987269695670597047365601875774136556021482798509509973761137456002338922663823077556649882048225052037622908441760639852278204239745770641703338397918722931457999,5771261.8375189389144245183555095986017886540267731693124194567694073183990664589343935431280867194116654255779114859900882020331949187467693783102950280921329958838440728088519186991734061374032981198421740193492334158777361794332445797296148515962341547870686056606673798791637302220392171986288259713329664049844782774125448821590845075460457118335513335835259024460952753708712849646719890868756010853591302300215946453896967346686920006021601615874756242240357814185191487984409338484913537235312,36333868.287152919085634838738835373186662588347402429682457136136751270748495781230697792565248172213269783049310897922826230383187938770227449808971809664105012278262390005010968944471934115098343533945883496063094878921211933794056273168248433176597575290485744161749222238247955295722109077433473919980442365701617087691927338055585734466133812536402413805159539321694383272420117321479591563765995371052821323169899382461568422429464352972768879363828643320269398402992947144962272132533008376689,0.000034310318478910316791922825719152712330668544294314682638592305311392051725241793136424214678175670053390793604077187094797658490355869319099252539936689454748580994189417597776365847865382199450649311636503371951225969474385186065474171466543379489798191875718499295339944028621994584956953921248768566052478787051673196119839999047155543942056364365421921416979087447822390196293862922586230423802038748329196164402280655796895632827178893113670425867965784060623809560273782494069907249966154090813,0.97760000000000002918233508307175911526263988900979580180214081276713678216331807699738629781383108683689988277750884493962143342037188165496560831750937857389388617755960071997536871043894161646727115523515469929030430248095555204000328589471346275003252281924505215048822351683297464156547190828447796784226193487741971748046769445897882485573324865994429307840451720024567321802090203360335434816985018152811047328725015609015554639849038962260419331145278379861600956641183760580396223432969417826,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006428215488717016143646625358,0.0000000000000000000072145144851129416199054741621082740397010656904973463480325313659125456253387615219225503154056604543786568912088296397804977305611371949110630131221375225477812283039790687604664353955135177582733956905367438798420161123754060868811931519949450424069649009024780451730764766126891946128387486925319501775720209346974687391844089287340454924736390669517034113839570781147971422701759425828220087097170459545853358300925765300502272554612442408676933601423831035373163835368086821626930635681908480542,29569272784271165.419192580227711770636876562647629076037483109019199843873494081049247245408660124949564848451533587898519654527901570671392058190318218684775286293934639096721689825661753249873853061992906515744036804427302241516963460976721211986387072744841046689273454414024306998396137186035710853297952495978829445263310832592619425064167491043816082620093916481813963800285881285351066366459840057572987317125601837452397684605324693665705334067211438027458456034485568532218166596599839294937
9,33298658063082311.094380721537551130376626862319121431017011217816930720712444961732419085462441261652250873010952252423823612429501889344894809388754488181962591030957319038372658482864684200828906859699244064939269476422677090371420046110004044252172508196727859367121270706216705344541826268402984925964109185005179508272509326260435110897397389393258877582165615412038679311520595544509490539222141161948562499984530263854964369091662648813739004446137853526356821489471439561970249666727028072584,7266549.729934403233214032068018694074117197542638403941902885996089219252235407391783116615815538406672146658734186033564208558021546539840988299792378037401432105479659729865289863419585552847220392307648180395714033831964994927822149311814931254468233704450248168883697343409464321586648208872825935731444309346130768726789929432661147931285674959685648976946739917371955963490501816955576663302907711247853768750986924253318849117983239996533330359824120242153421766818253607391856314795931935738,45632142.087715627658177926964006743482249016823505481785855980772901150686871386507704675386351643652528779647714725085541013749624913856591574757550293302553293347348461477261196327861980100623975219284655301369967225805043285653383720300749807038925952941611062460555376460615842060721468575699163940962820088982619982298424847643378418809626637921937952568149724589208792839418808550234322732210922670475443129009146526187978669459854413613437679865831960832075383241812453502071743677119031962893,0.000026929713370889955779691391118572521794798564332445106805453925777221714004131917932903602179176899136119064430032262425367875026945376190449836926567570692075273318196424712535397955151630291995058611659955139524531510873921738311664876682305135308441424717383195778598749468097080193287523882520278563928624016335486764693944339130221826965616145836053316329777866883711435240731977712753020944961611465863793298339213757470628299719390963343277180894614598518623240953380230628214225887366372068222,0.97760000000000001413705136629357852953841862164719185282440571788375377543861562918752354676203590487845729563523515268723572289852427708898774457038220137034796162582164978086938655318552540905163701432923264102947800206589770735438956159423323567174899709587188755977645066105899247742275338772396730730953801728556034148005168160324331448177469929388244795521584060920487456126745553669829245871583753646955457083691176383804323296395067614393436415977401850630785502979479752813627615348208010154,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002194746026024188632753806447,0.000000000000000000014468617732295754128350966320413806111214793293482995189000844663437838609953033570319884657284106022413849559716613414695130647955700082607473055764069114876599681025455631842163905008738899310100263183278382052536198269256798206454375379417238165689893821532721266462119285975666354849091945529311105647927587665978024196403493866269290536669027145597693749515880374844594321350555007771271589846753761170019055720122586743999693086879340550757452360575189124731134537535390978307136388873908825157,33298657466903335.146628734454774133143582314938241579974392846151259926255824400295729267684262456467510641317513095043500448624128918586918169229543907887040762635383192770851555948497801043528662178484384392938040805840251791565209279303177799824387716352496617859106077025316312772061016549216866263892002217587064607251512895149468141785119913482124622818048684415209003081437046736952152171950667410443272373741977527137961907782019728972314307010602993981542788000115398748960524865823065708152
