,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,62247440784349.813975904805527429287340406125866614210534866336859392396566082954000592348926273509620703372044796149639524462009311465798234637161268029844564163927316900016974922618746667415532263703835479171771404780151307307928632907970639808030102384782123818444016219365046652641860429812427838763380641224660771525040734113445490905258969095407945619514377847880983079700711825729469931705038384925510250418944630821597921573157060053210500084279605309888845562554504479956758515799521625282093,40.913243369313134077605914853656223581134198943933454916468128917763581117323800317030088828927824491530342308208565093329777464182177467814610098251727802646377911688449581149322811170181344056489057651764605265125800785463120660310088884367456741526210331899326996023936010188373643627834217725637504372960040821006352485066981348216515639212783232745235161721934530603896537055823451356388460853813193330655570817126990441438712276195742480798754702932015919681770101825053735191505437749282351536,258.75807102362199605326160639343720571123402684994166520620486617216540286468725664772981769923675535768334466260851117698664911242029003694852229796664997648800952449574473961115767831172646260618899405997110899783384308423446317417253856506695746015989441634565969182097666546355440088480155024660108124824934447743044662722095007930160384886512361939225659733281115915218100758286572659103957605992410537002326057729752830702312821161356581600813186001403322790991838479014241998517347245065565493,12.349395429266672946009479071373329993966857803334638904747919810488189576028794570059038704662689845147108893764990159707105912699041182086109023239030131932819029372620701319469059128988497512184432695819970578590751262636528350463727977417991914764943933004029444185571567998711912368545452757690843123252643694081435816711113318629415341365722772849623064054007251506945078437495597395253815479602537435137893434710631741111544490150589153552526099336718354453179091372559158749981547929061037537,0.97760000000000000000000000000000000000000000000000420800075956915282528366061388329307000664596803738867007127438765733162037013803669083245040383189916610717773437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003162080217342619,0.00000000209890316731914370000000000000000000000000000000001593856975787948677311312475770013267441900906955885695778034896912888225508240872998666948397172848927993982215411961078643798828125,0.000000000000000000000000000000000001599063673354076818204730591099985253407329471846958263543963396987779944908117501120989271648895010848716061098143362734980702376662351563704461186671676338188618390072782366248935179793360975413533304415150389711484520138214863346954370563834416286834442359525056469389388007990244778712391664416477337121771399104492272833800255953537916041670408406570030985631310173883918088143993745370196124135202195400126623645807420163878761867343031779131725409791049269708614243200413637610069234218265957,62247440784345.998435252806217561101634003059800591953264550764045483252434323400360960326742747612881378040929483252402979109192345950914892298365781279164764257209870706668022292487427349084774741329596870146298993160361137133130900755672167627214018086299307711200155913935179988767948248685712335505149547941839098964886622719621089264815176991336703755670908328252762183461642941991273311020020419434034609276877212552035988833835784177108944742305107535720266329594033329677500927152873780589311
1,3613562982405168.1551366186327248128165093528304037286121478427401786769799178804842565898905590894859475907909613262845019286594756621300337645389315957794415566044982909581903022337761714012888768257121848377745929804446558438708887026815606310809101858284236847503761240925926255272423718138554980121809196624684913585446075243094828874863523346686351960969424759349241648691574557653823919961070157723918874729429840460115979282496706524593425239782164513569517957438274820450006680678015100403038,98965.62245079486559704426092568740183275398186181988451668567449981790863773223175499042605645427051576243601526696546108861715896650563851743004984366274565640826632612267915017970027938062826988402484732036490509533584225742087023504199662314391371672741251046972641729002786606873223204482590997823712413093728238638771618304634856899301026386926582915043366532158239189961280346904614410553862750499916041280917859793090121411769424639069664326837234512316685020838131838869321553701424727068052,625913.55400161362865786780695126492275589499358695695356193159943406781772302000745933778208260447751733253947046005707630489927023044919317976820863363072553349098049541916476775111786572840081251496124286945309279177364273003255733031259933684358027887670298886024072148209605830045234259348732917432016506076808783163175291057920452508800909136879290140806201732488878887431266973145199869672857232610464043538654064886529816145926268130031375541197708670027757949752850661042077526490443932985592,0.0026303263562573576150233529335939484509589158856869411839751665432319656307875270330695067083077271666891173145366640031087439864183273767199896982130409002893191478515829894213279267610135559962606119561467456056720853709129489723327876560742362609165741860325420374346368230413495016494603796340608582288191794821316702293458874485170558870058178000250214944164182922647911543108558691424954682581117259259232997294348160533936499298056651591124943594944899637330550448328528683434973605034521340662,0.97760000000000000000000000000000000000000000000000420800075956915282528366061388329307000664596803738867007127438765733162037013803669083245040383189916610717773437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010774493,0.00000000209890316731914370000000000000000000000000000000001593856975787948677311312475770013267441900906955885695778034896912888225508240872998666948397172848927993982215411961078643798828125,0.000000000000000000000000031530794616953061311237598050925019136847478354873354475547776640393495071545768637058307320884773675719124467460087723233381773814540806757849964104541074298450263797715508688461105605377296417327251940251590990913352363841744856117147327117976882884993888925581509225552098043199175142802506494100094254439829569425160134341299660139287020846693550715706632242977899137130588272609249109967486569993098086711230692535222184812282785158336960425228002316726196715681724058723697682107913223704661068,3613562981658722.0304098193524805096416266043477603168556436311995791979478188810296913643405343785736494006799028511518001019376632710141663431655698352568132071155470148340854012838227539255739256452242868393181631207065612147383296734574616250190092699725538808042118004828313925707342785419631424780254935770775588997278098588489407991441464476556543446489303083012302180428158116777372560745225870344932143514300962714280934753361909411307899557582831083232405485821246651161256667624481099020581
2,7257058377179406.7253235764885513801084560627705176236238511537018713246458114220228133495550162742857759367905496720384099871419971356741194439412959837310802055778778249101906754114073646278904173388406126063428428097817992235835226705249297931332438260974431972740797550565350813701556914627834518825166935271710293115803159756984246886028318878937544947700406580694824827567116690503645653337865221148626905086433857889658230813935260690737030603515319878764298568832647652803617811674301757819529,378648.44272358371875760127788491879288302982003048606347473245132604881602236746851709125579449702392541588289620025454632239761570360829382532444542166153541513075728385616741677340766471757116670731912376566350562309621431193907671983252211416708716225220796030278787808418058874646252433827267403968701633498644759210250679590522737396575586711629847970357325590060921714285438567720564164084007894891305378697319793596254200321728994059711349328622553172306697011277030071535732492647574218823893,2394783.0229646693947327528055755430796660154720410739140310012235352049148269516669066908669478974565563133956828416507296307938651737647520792854808121832046086374576787598850302029194749032685978579731880978440241499800399008909806343218337865041576188700877310119857329207431836426949248326099487847490846977358293621866244221111710696203320843227967962525957501980567901206313393367445155962518835744226694750158074980022312257925294664657060024113936772783460070203110393727691818393283084944422,0.0006186734787730121159553199368941319178113247846000783609231274887756067587874621882477732010300619696330959091034017290809036102457622611255200726426215557392694723064714639552541653651032308296544075295799762766817985079402390147038084867218859315778772581716068940062705016049518473657256128433172154557410894405373839449678317502800895376379490776413757301042785575431151754984600119592531400242665946641695040078710340424017858391299041158486142872446067437018557373992674328106949712452755951526,0.97760000000000000000000000000000000000000000000000420800075956915282528366061388329307000664596803738867007127438765733162037013803669083245040383189916610717773437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002460154,0.00000000209890316731914370000000000000000000000000000000001593856975787948677311312475770013267441900906955885695778034896912888225508240872998666948397172848927993982215411961078643798828125,0.0000000000000000000000018616092177728845355312632434329338619099978267972823269201314395137035540344573051274656628856168686638808321344477196159935441844695792974005121060793311237949565081890214209743871544921472273073417361313203780515271507836954839675631869208775952102476747116194989034489667017010590645059940445915107663582904692449509057474406642449524934409888246964930523580163444079576036077594692648761197901177416510326237379025549089480305379000035586274297770653002467295535661282800337333843279897578232362,7257058371133333.1359181542779430375958804676341383225270432366572458232172495594141544037807736833052923774618684127925017678030179933799882464543773711162337652922145160380359202774882786672994359467494232849289007001926631899031079652824450134796608878399706319880392123255002785791136838797990874302360178574080831089944550568331933338129803103112917417045872928922707068226800562501340689174864256810626071226784369131127029356029919290766254406262868107337579632344167513134881613831402261959218
3,10937731020904505.73999598584679373646536969881714317008230730855707204127890772684013319450594967118595492046833013775508363691768625837627937152610740164255120663698829323601671170068150468393361746244361337941943317360080791383831251719321531884354581846595390337496590463750925145379707056701493740078377741041959318000134343717746878401322963194402919028867733600053081085925660232956585439118053396812602850752403725126383288360098629150651704989897001510368475761520776146422412358492744076715,834293.42308069864593866973455856142285411183522700605690112820140797204895044682798288171629327497047222458405717122194165778363675525462453688549842555442462045284203382728170690666590411811156172420396295718391571565683164220759983551755271836452925955413727049330349065662058610372375624516305284035512789591320506894394867415128104405651717539659745398075054899615225192284924838982441562664525713499806325090221145771414729828523430820046010191590785439171316602264711149167017493748486969480094,5276534.9076669940251650318922110015719025138526507547790067782545131797448004574505816372766447564239235332417633778153176979677578369572123543005634122236182584600391439556564456276848953144078411413363021440183418700522045047929230374919558087094602838546402880002741650872876866004252923117038095303594486164036389070064841321894481835596626931416689708330933377420695822345591635305258462794424409212834688598692155424212992796848861386345851762048782438366248315380787657461329326013891490418455,0.00026416644660372815517486110981262283170164550279018715611413111071317657150258517283805450944156544279792350132829491281278772644683150715291061609034432972359438918008875723285205617830762135524760525986107335021737574373446890665952578262112601732806927962455278507606037816952701063004661757948437237006479398413313550339742039994659397327643484899457464676028862066736982119994589531948800428289676208916999437694138474274780872608673373459147801538704398014086986435356611327814416455639489671191,0.97760000000000000000000000000000000000000000000000420800075956915282528366061388329307000664596803738867007127438765733162037013803669083245040383189916610717773437499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999359933,0.00000000209890316731914370000000000000000000000000000000001593856975787948677311312475770013267441900906955885695778034896912888225508240872998666948397172848927993982215411961078643798828125,0.000000000000000000000020529910467704593716369169468652983089653275557759873265377776509510156219983253506699493891028084862363889669963317378867400789823516060361694893195745099664038468973437449421829689726783522777053738246737865261702843762195272319082719169785651676524620106934444104694366428546032934849154254076815885044281971039269062603297382761226020981075741239558771329116836061618588818443081795377580547445878966049837658445300685282162106323664170404081040842550994724835617593626653726594590724738558512724,10937731000204365.317191325903391236416004219597324841101312849025697765756722463736936936277934544572291134681720845962467394441674162920658393112585541047570450429794630105613651078062911810093888338365253588643250961100084247306442433899842691896529964564109587482603236723475939312879260403556314074291077862946997945508223739089084270785747812642438238079516902811500073488855633368215629389532248000222445081857613658375336631951131396418252032098629683631369119534962541361321377054216138803603
4,14642808977387050.051271244239462330564233456371822975656330194293913920464296208315429171074165157621478167558397806827410174780649870453142272080705300346938074996625391500187940745388585370568868313033783093346933085361384950247492168003425237484359109526881386709741921117143953372198399672949660254949594908909786480210968803474811792070417927916429327928248352438131847246664257950259144048703564983900299816772493259793651508085117688990492783301670960877811380291099354716453858555263885047614,1463481.4601698155671701256345706309988441487521626321832113804138757257549795090554593357949807410528173593426468429195675245179381594381601327916019405879304267424821900416017101007841835881911555141801716544028658205726483556334791382850427675271659149555844271355361998206595111333959428953229944104186115361612485558609314219791567578968926533726249535490746304636163987608682952118455177505310121434063079129685533147681637452530023913142586086428986391577539483018368180320960312842618875802016,9255869.4551311880739763931439259595543901517937349200077897352260044997362090760757321150706352868267910531722368838903119216376817749643587418808234189767113211340779005893162039856108593249502106350798841064868821841463063564286095130534425478377102303160523235133478978965486109188391443928446947657013584195156930029528675048404769593698651812737778353552764458101436356678800342777598440093421832025912044525721928651478723554357694557205466300963095873363027912551091553291475762089425850630451,0.00014426382019438714060698237242031347000752628586268616047477540303714181997463990054614475989188439928815090275589908247768139703046188931418521061537385459662715937133232446526596744864876671296095582115101839029751648136620194464705098656246174297135893820770812221097627773003908542249666116005872620532316255303096246942801953643728474678820706283523030022246892969551392693530916990318402528393036655759359172989708085735552073001148859498954881246124738784046579922442694518323863672574557288941,0.97760000000000000000000000000000000000000000000000420800075956915282528366061388329307000664596803738867007127438765733162037013803669083245040383189916610717773437499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999227221,0.00000000209890316731914370000000000000000000000000000000001593856975787948677311312475770013267441900906955885695778034896912888225508240872998666948397172848927993982215411961078643798828125,0.00000000000000000000011321870446898959035847921719119223340251304899535151377126093701552612243319204924571252004286978222054513564244568582980628645614945067373084597436280145665644175672446679722304776663106658078171263967408645640110870230568677602108250779992030179027510289418182594564631394312978948372911750136083924887017864104360242189584300094687011083309699754393600709002497851084923058513526153846922832686161913231153437972407954246716305495252973407508274157660988726451238956938703441126500325561102876945,14642808927720412.545764742120740380122291133876068710079141514530638023095173749445015345523763364560069251451621424563889315515902248098397559305800631030368482669022099616083517055027326815429914375750671798748740928808256284812709531018855004714857512793196793262784884023870647351992538245113117150422381334458467592026724282469899241797731879233333058803534554253164233830251052914265664667893882132936324929460382912855974973813667216639920370455464048094612452847557480164775579029639200332662
5,18366155814880598.326450159273890508347967457413554435681256183635153353459314325569578271891979416078319883011212870142680608899667391581400498215510230475491340276797591966788202638718204918840501785709084214648061535434389917232258462085347838079874093330458240907611089357371140404430922269596137136701946739228117192083113521071931949106460562662354119832241096378029868920177582573113906951572812234379570106530573501982886051755709370634377385977413272669388369784406207800187532506608708131233,2264575.4721863106974636357618166758781845259124520369174712939700615124935259161606526283390317565123281183994662811093672144809049583865326876090730370012157926873363063285988773981282802655846697270587125305164129367220228887017877496240279776912972184561477897704218238436346160787241378573451214941271920754990765334127932178923024700740715986972165707738405649972019487581368125359038603617510826334898209751740525780743856589568988902673340600742987434520979882849285059894798583288810118283358,14322432.850919956597273699867121160044843447933487788508884258803763278355585845447615225226576106576016111488608737689552545359757717835057549641139933597616083430875602656897024969472091700016171370722898706313654995889996866495547325454876016694018556272773094831183931914735907015591891056941144856092520099429762761646494308309814922273409125282508536137155103829003142044931369398417102072479889691691579462949505489618507016246855300995760618477824332772746567231695803775966214335777021084219,0.000090194806655525772702036522181165273582946125663352943890810645959266271502236956780614924956835806203198839465644801543371646402938827564512819472800576809194298932231080756440657708601499025860657503621612905180268699554234752073593376901975002420760626955416484007068298871708358678325605044376619736001659376604858071441280804710049057750205212175919004634716206010639470022194182034617456973776068159781245944781411841799865351946239287120858125992631947967833883995564939913548386019480482739347,0.9776000000000000000000000000000000000000000000000042080007595691528252836606138832930700066459680373886700712743876573316203701380366908324504038318991661071777343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009373,0.00000000209890316731914370000000000000000000000000000000001593856975787948677311312475770013267441900906955885695778034896912888225508240872998666948397172848927993982215411961078643798828125,0.0000000000000000000004264862799843051849014741218470001454936105119600220981574379719125589020044567422793417034188124692170082053157740493409890249073028720515565256606375064997230756070228930172760175030815352388827434632067984069059595416573605464368058559053863173239266456536921937376626085558514023821652719779678183774538955048727152381541795975516237173981811777514479662434184623815924198203929806774104164213389918090971375321516884215733318912139301747822217842270076871840849829195733690615995147713581008513,18366155716876022.384195308872303709203666216566475716497797694081701934968895106069619543113390719747426227648451163788319558200867003912287991822420102656558337124647748317676385294480172903558927664812839302695439124843358756838866033549385271401771284528098685978484531816999055709143865930099223780756480991320303437289563486005487480720527531129408786364926226097010300577706909044109681391963546143511451288191795980432206539958631329544555372497867621285054315747712361013258545856778856125973
6,22104132431629828.682116138318240934343373461079294626491827694810850730401284053813743714888988738133653697793176624211753183774256904621643708677967742790785215045258600143995451972718181974838737578879147213907308137618080628935028613240649561195036893870714033093965427178767903663361241718833828216914098864146169323347914311092312887504419648199250628429970485890049888768523685060694480652577947380887497034112593009035181505397882361806086325480768767267557415022977900723173606455839337156914,3236341.8334584989495496558464827395094470689434418314234015303678198927072098285017922405214419600102408767637976582188913893736513144794504452712954139116664478936783553066791756176129412573081771776952133020697833474030622612795434941859829539272161810409910055318003367792024745890462376616621160317287072088386643694816893563411459244580439554211190301994675201211642229734616587531256322442056069784960459989241859581102438040340933747150506995737976973742999783947342177420903792546766149895599,20468422.961228067573130655344850678268808311382859940128923569629409391840180876683767743180571015041006014272258563276856898289472471072800163964248022623032779664273109276690438752574890333870660475709286224555643180410355431301492408453305298963088417790743636965717756228137711999771836541855585360542334880158837736390875469930786085034107473050820023747566968015405448073048577641660982465285889928022064767505037908046662692884819824648421191512820949312654701918767993331003932931695336796939,0.000061436756885047060077080703266042385286640491181643166617753086130006116666436002819525916013496548175740838761310864749410117601097589219946545653304808146976975885067516583891738658269890274371963312287445624631732706167670065517013860056396352465734517950622828491089355948886579014477828264665436160453014463851763837759716196726704853733016918446259975022946142092787244328512402250896806996082477720643946788506106786868802068842094655929406882138595052244721164720663598310206272750545464775624,0.9776000000000000000000000000000000000000000000000042080007595691528252836606138832930700066459680373886700712743876573316203701380366908324504038318991661071777343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031698,0.00000000209890316731914370000000000000000000000000000000001593856975787948677311312475770013267441900906955885695778034896912888225508240872998666948397172848927993982215411961078643798828125,0.0000000000000000000012616841846812492084939015314347319383439080073635813644435516321312314643479142399267428459919662080365520035949700786548176250485921373270999336624955955082307551331781213596316221963161799612765404779675377867999894905096343823639315368984597155187837686777236034545172902959777342050897850890752792087150108564200084204721426971606957827383115730081470910752256580651718711495587190878579029363364263256266425959936684755594589961570216232699608664175419965804919184968505525677429142009521447428,22104132260781012.929925999405593540979859212441334459421467285318455355611865797961023641376264886869521449800622808342573769732687235282067628736807753564478097186519213836608816678264374107387825333969616583787375366655976720190386447334199229097285057835045295944276535863497827677840456528229733192810775897329633056594723557270979617807312736249998902850097977853419622830554900539126847346229204544740644602699135525270577779458124733810091463004036162907465738067883459314189917935243125050306
7,25854322456083518.739538172985045663578183181381244425961775730902707759528248135885382329148155301451153624661242973719245181459480833333531893071148898227338700821566035119518069673478936033401407357755685738179648311886465930127024439757224040879332628118562410589385839146643109150487600918715013425050316981685486911824938750147838334764693433288751838715040827513674698516365658061690582427275974414729130351888302012508398078746016364468035653540911065714791421192621345293601244217009474651715,4377793.7153653641976037618312166203438519351884728148721293395001793475816396972863415764339197341213363905186923524620289486136111844633289230794325578135610851078800424399009658715459844337493656148802137736577408792571993684802451130843827182994835409126978687970217169958569472501912751456951950032677069745054675718105525580028364812098215550693078806891132057916008173999464742673617643168575444348738308559255954498528912348606575649993775257581276151317581302966046641476726748204663735840034,27687598.533850083836229382590053247089787608166633361780355964788981325624042300955702652444974484488745587434393861447210207051366879414245162183325383980473794859000909323647575570952075601392418403478558004261738467207930376791036576874789735377747910507162683375667594106501008797246290608847447989938833855373370860128200174020048521675348876599295084783832180474079527955689824084067078238245947245991064199070732183260435015970276910473717248727308822309728897686166131345085333815228754166955,0.000044400763685169149302315950925977040497113626177353271919226207864606538322287311346363345677410593708607072620157445678273152400645701060620987936297190341327485482192941429851170318773674943921053864321863208479078983701944612527532142509542994565226236708053322679962522871479455425738340764359835807784442276250749073534308198456090016949577647624161964745756763692422399103335485604086193961873008101292221599668946563549061920076788897668957349027015910579385019377267381919590093707678857346913,0.97760000000000000000000000000000000000000000000000420800075956915282528366061388329307000664596803738867007127438765733162037013803669083245040383189916610717773437499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999884298,0.00000000209890316731914370000000000000000000000000000000001593856975787948677311312475770013267441900906955885695778034896912888225508240872998666948397172848927993982215411961078643798828125,0.0000000000000000000031584342925992745304903308788463331412658887234792368206134736171403765719802584839369942840639251867604571776874044074176518700535111284854953630468559671504306696182517047884380801758966976446495965412825942604042638782548736907055866021946724387787995722700010401615721822472131387500949992646623431672221466267249569812620970350417825859665767952847363484764047253390006616032481494955198394222721018472994671844575231426481799881225616481791709971450407743308771133145423435999077835799602642155,25854322182688231.839164717370464262244089952946016806195674133463898743265249255001386499574780447844983167732086914220498094291700977403932345289845540468260713566088505193246132111733167362106907449399553812627462293598059231995233317345074644244704263420019761018630945443065853475109009013479161137615198446648734845166626140426178178200177391234651704355139606457661024268255300790430860575896562304370524679273403681770667698062491557187571121058105065730199806528697281712901741821710338695974
8,29615001921824851.448037184607976919372337288550697271482669809778441094368175178637914156517975828562036526226333008369428512964330770307220128847464690938675339914256833252086607477357971823885415804404908315361594180475491231164504055965332771735711045163723717475069901790120161557550525124508485752848824767131884685148192391795069989053841349652033813766076239057880897542245099516333403217231758945276874570739816702528769940340211346580218328243919519461260089976025714565557780512399490209488,5688110.7314777361966014539870821091467711232735956232856109389829516525633485434594515804778395822901920923772934513233394791900489773290802081881049127402442401700697039454395990920273693218564929001229891855967714865434468862048575957912013029681590561224878387823671287963527024039257055690937380971684095672857360427103389021353586596681251123967936627436669534125915155967872768643156848302482252568091275446932415210216770743674190700244771076061643803705118046196336044945434157329353312118757,35974770.989430454444609615541224138922752736474057027715650235235770372774728009049361366063340911703814998257148836760991998137303464816244887797675557100897368647722982260136102585281721284215463201569498230115816462909103620504931871058515453072751606109315249044379358501133849396034462443756573207401440787823325559825254141518546829608528296251159926730500381602706143301571776270660674390133468323799230956901433705947616782061929377209394092090564952296246065816987444099367117883967459015654,0.00003351110683414637242871879540533825870399014769096984124367284529209571380738735714633560000438584243894979890950103956796446022692867949783128694898614886552769515025740336874304553551423548043078761916158618061699402678088262055398006578170452407680548806872523818979799550196636362416738467698351965521057335953020060514446103462836705962407009666165354821119317541097650833841216477020122809679659009434091029459453277929697881562336450584075822736250379588158279024980415173851555765768013474415,0.9776000000000000000000000000000000000000000000000042080007595691528252836606138832930700066459680373886700712743876573316203701380366908324504038318991661071777343749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999988526,0.00000000209890316731914370000000000000000000000000000000001593856975787948677311312475770013267441900906955885695778034896912888225508240872998666948397172848927993982215411961078643798828125,0.000000000000000000006996076540902148517696002985632801055626415791963245009837437001232400797375710174091018060872676882445248930984478492332148960375603779065345510367682330142746848710806134434468359052406941837691230024254214293352676595642919873366796987390034021710416833307961203027744797393944155837942506317717610307965676672617440813149790861284246444736249471832614413953978133057185714436869270118213200886963058478044068456330239016000792201760251943850834756895882104236699492280488312220934357434610974531,29615001510933667.250545108119486605814810934651761768329045603221526735087457121124523779885390124747206200697591277215502984758501415484610302685615920475492850929241416462890730524098509478666655101403205210265620757054148839127521166592690437532839240215148148383020320220322747817012076120820882552444079390945106517317773368595705690844031243754067348883305209068248212659675007488491756826528072840915294010393096284159460613651176228412858491304920222777807054836227343393490026938751643916871
9,33384877783184266.611005579313697045392987759572679121093517678227285906251005996057507515702690478892364397633233924965848581629258658112676825379868791400517816073698122431131179141138169889464984501737715014112067685368457895851474502172769628206886593278211657041894039415694884933359098905906247209379757838678045523308917357249711152995422108058981202025891408323444302616031727884567346508590664515186941161713540731317685129491574245888095063751150407270354790440797295935036169998687398638771,7166592.2033004602159258093378950673271749827700690844406481181495893713066027089463638675685970174127188150544188419601375425087228156261968208586723308189211655666456762859626795756974669495126390695132268655159581997133029189448575239942344938534261784132904518394901591027551038617358758443988796512546203228630314147777750407486085915032074268151899791049701099558622083171859096982472111528567150984987365751445870606963865436681661602747477600141982121986492059981253180330829377739149419596973,45325508.848064483176590950216490659598583578352974856105091719674888812601458144751680979373053760515522450432290249088054356736375655093144317102197203132136207230588717782576759152001067127342615418963332671026137688080063378273838485319963481419823510449282117037573576489242814732874937343834370983526570122254055358647863616363031977821134476070491765904733037078369197453304371540019894015653488183297723852558264043866483802261009895570793010335096114149784289360396779288964576790555947116949,0.000026144559001132445420405287205324229096443799872197932546550149903717794479647995961388536486671897968759984412751856762947004996327070621933702718820549464312663816438598747943956882006194295451111809113471567358575749902380100609087549325151364256843117430400268770953339836531343542365491689718982585163206021340850011797431602281438471193509009341599686229007301652846100544318934343485456853271692581373990297631968509770752667986147516241396937214096404823851191931264680576695146666388465805348,0.97760000000000000000000000000000000000000000000000420800075956915282528366061388329307000664596803738867007127438765733162037013803669083245040383189916610717773437499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999968093,0.00000000209890316731914370000000000000000000000000000000001593856975787948677311312475770013267441900906955885695778034896912888225508240872998666948397172848927993982215411961078643798828125,0.000000000000000000014113018285364894538841800891659321881157090531044083129387716871709746049766133133759921767924735325055925095098780265222712524800370623799846449366777492372902835545330233585056493542458314273795325479574061125392722778123871430192294745460737851060658422605824286036033011194029150953858915792535758768948835274656594835608604191866633525826112457521279309285707734808208001292746867814626130927645297716293999811662195997163521232135401129811829783468405434649165081154262786702413240694845316733,33384877194556308.222566424729541581728331593160811911182294928465185968414040985411379983306970044055969957157818796972391369216034441841245794204092937982056573455217873159733374293825494106668120419244305127624516133153932030125432718645020365881798638763070144742968280491478640174779312325529630741776085740924811210210238252233324022447531539890528448788663576928163128845420617173103122261010891672605095523822143163770703685157579828671792821984107841239177457378558675173443413277529196341125
