,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,62247440784349.813975904804287610350070201062381833748111072796318323000760813363104363304996683019340624510550044726165508196260735585171482123857469036380354496250076543383814664064367216578178619223408343876455922548668453546030973406414037238057603907930744672724328635556633554929652455303823760431622177119836734374278289388748756122389023423013567872035172373233932040902334758545973286992496208747050374750145249638185357357576017352171836908410122410105635174181585666503638880132756254596068,34.154911137276532798951169976305691041609619193525261395772072963656725446241733385281378863131527525111258362362136689272208079109946860656591280050906768667452857520718112676783778032193848957366037158046077397855489928030886071959322439809552346933753079224099629936472133457786826325244489554804850571305615594917731347447932283537667926679497182907169772335270131984292966607508575284660356634349606400914914217187319184806380171406886216345594698585425146550666413469488514633509586010162052178,269.49984020651957569385890079410843426866805700987167508436392679125586524444083163227942813513750709674333064247403779711963971994960911617316832578404562561136485990849647922420902170045636795502206202088096096020795402220547728035989986874628097021473578570578796993804324532597734251641025099516463866098054812519429032992465013656549977065272325515033434861336694327905521644624761395272667627180950729682395292255776675751533879050294751953079285509067795419181543276276826271094173181292622726,8.0427421780107873912863078949572135587017580240766834339297012378245097054031138085775927750204691169859863545026146768615218241233626072704954789983997200785150297017867472182220389884274535945829062573328936977405974170042064827465149791553281365239475486331230417879849336952589706557971684366268265309136380802071878668708073658773608762052434684644705815983639611476119186179419423400894086394259367325920972419014635791885468335943712468219512688019049931446414281236722791561190361142424224682,0.96529999999999999683163361476283811910712144975117831437811139672103538471637966462695456422582620070200842172821930454379303427907948294038825275610866881250357173472371806434976216850349301652136108834369958958792246783675358936059741260518920313306241491046663021568061831477302255899950466041019947413038296261197940077878797910391686498424240051775789723746063451835184631480451424558848051411643098191834899141193218761209412492918225854111659203245985097943822201736092115583804151547885919186,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999800044404911216849451868039241934186,0.0000000000000000000000000000000000014415281577795738386437740330126952254512483193914997436476418554275588552268531070114441017176876359741027608974896484566493199041403240542060295634534269859524576887682282383990166534482166801654619799658610993968130905472022009765613190904084089541422043816892073397455453302519500082023249006201463519105867419212053730906188954070662186724937732420326529286186892853145261570462531913654795564260139029257625626059728321660955828223963157394703747936043735363067868232473044950187574603977727924,62247440784343.650738920557391039802736146146508456701064460394453972227583708040618148855366256158329593494048815222341320812845445903906655601858049816532830217904249820873699289348926524065265766456156229195632307050068618579114361064158534633361072142265483320642230751375084985377894442574460337852184613974015731449900796104148606798116490374852838134052131312694842704541986959704643974793762713126308035935971581074728431648631624465277736727571506058095372150563294551021829923770943742721392
1,3613562982405168.154660234271631804278370232995387342837443079604469232892037439488954430274743720659916025858964454627947178139147702039284248283674267595371805951513697263900918882503144995185366785118635100249201821004697479258707247570465410245408287330561760371270677402417662073376994959224319886270516210307518839708912442200550586362236999344522228367422881297796631303571575929669061823193875338788263577727998717306347114236100420914815643824097007253372156771762975796719609944455493771004,88066.505479274527501667339906323697677568096308831414194793443056607580806307677599702544913122138292751740666198977899082174329204359305121366248395374709781752943181396187990641321706396257230383565485450407592036157463267528213410086073260469071361431959426471174872616648860177563075263294620683844899049164993229446512008159589398564495659073695202549912988518937687461960466722781568502921545701641500437971584448880523268739343789514788605023275138723472886321058504205425629068932959742840038,597743.21831511219911004764280350165268766601617692538382350972354189708993347267154722913638960436342990391602053710991705056892785695630606185100828646801109393543808152525424165811324047687489457812926292006177551808018010691227479857170140022624629178014909757109648413193135283476261462619599347347453645956291825211722371157709377923326485087693455725587859690557536079010405806020591204501763721210316629944814620194850697138223829540936260845631132121417254877541039062446669488486852891286144,0.0021646295573050122114955745819153623828464389245743637100799596908952158375816299202080973712638186065341765856321318890884709355580795340194901520398162809769258030103456934485514927475940783220801663744135303579367471729157800660913675578407654857829822301140830783262568938079201221272661711393397021577058998123156832638411895636294854741612384682326435165402774420412605408787233230390896256775510261858526012055675672990045715047421122357130302442421470025375900398756947986235557611102904714376,0.96529999999999999647018113386414710731477926011686393808500376498649199396042843763339458732536863743851874122807209109547947371235147379816856677105256975489948837391459841373638349396605920872913007679987215545438650218276722482160220173493489500306832706563860303290451002598085970880251509001901040691158516336820001532319648138348723316573518900774852351815550290861304344879943241317862983779457518358860187141334584215105156295959923475762994108473557990545109006308763150466881090459522685795,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015821025833186546148847345016121,0.000000000000000000000000027356399067836655559323317559313910199662982637915528448934621286621362472259750060705500268711303582042315093057015875014473286891176663686623480526907612707183236255887684424154545619256472191118738612772043187574027376216915649754713289744703662881122350804885006974245870281196051861288480704100877330217819145269895990015786931710175376554540084412800911761333206886277396976693025056929407776348620003421832017494846001448010886049929030653926174039581902913717971910318450667365365873076146743,3613562981202871.0245598733492464549732187976325161502081407728633449308809352314735096039397725898050184844896042557389995451282121517893714204697234731621544578066158839184144514479886964228868733502209716128505322429055737754143469392010268589727771200865053709448925951276111371048520023598283177937596257813407946868616240969931634901192427358510238299360818318377580079632568753171405080674775295679298592219963541243405794003146706333708306127319810587678697832478304702327848494139562571067598
2,7257058377179406.7109789762671782918890137350857016840273061294722357081193569285560707268901952819603900280525173617016236348327530750253237974283540037333394322212953596160909940999045102141253883481009686661237663463042970032824082215597929758375504131326405852759418359196902193923368373403858708003100589365855944505252328396477236626322309327721967141467149339765217082985096176820185787330402154547715248416899172464797232307890928721284368475249357334355653778931099898972613084086552488555412,340517.68454895153430096669204185359547864393908826431963849279852230259046475756576906744083053873996477520602232879494036139661612433854314793094084516979787991658997822821110946137337756293521271053630019820887109186946684986939450202137977472267366388355358167519741856081435286048947414839359453590610163069907872819981733858172553276512625044939368389866690603664715701240608260046628717461406859245637662468953678437503519457166012079752054587266097549371053008890822898943361102102383502636133,2251778.7618402607700045748588591139491030745303239138414114302334766592973530724725057654023128578597738966008420271567571544765414787230001445831438033623581616262971977239470650209307040818376116852278703685181100345312247229464693951190795316632479007216870092306780951755467491475238170652493397248892203676630361315931921273598248680812398519663294501849315998512712974402815191263601289909521420345614354906136735995984730238734753165146326888758448988468983495736607472273658096706751576095547,0.00052912973102109907734457421385832291949227553202039977619502765792811088134841144872788863237869724360820679199438225792360788399656915629357708079936988365480166254850857815371336274230690833379533650769147555258084796287825013921486725417569615814051890224573602827186005454508687417931246095951713169695578976430658372144206555439082375584217612551947821202580192538003343817502784273533758880141965294905006820001315048771621855998718474130118716261499183021570110231317453634408200486913901002605,0.96530000000000000143537875818714723395738001714522368728342696275999165778196601396186971999853259264887886736836040660143427830393219952385488524825547185141935598041969954099136819180343855543025507939744587009817527392594431822032906240337341261510077611641169813764911961097860740469578830510550533797035491514300822331666844873388619469173293381715824149550587797170692985056464965392692578890577880336612871039603662984000349385917957418142667937249636702539845545378534760740475391658172212772,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999203950108338605122770110429093,0.0000000000000000000000016048078090302447588493180315534965966177867208267319111590094060610724628760035888716845596935210117959305625912803974076387771125816393259391634956358736501808790513670863884635559380561790663037542062904544445351318582926681920661247250081703630638165840486298214807130722813024471352894103535785394624059497998194542940611666237595019136130183555569603584278092874565381045168304701326676042689674294627002510142439872657873305616899849894930597977329673253040559546781553977783324986428157933006,7257058367444622.5670471911859879409002468884875614314019110969653925904108753307357353489351255883266699157683093252503934508787925956710351322661111426417670060967225821201472221464312280754909835728106266317569519921970523322844121661084798844732046686382235325339880136156177833660316034276874640612174739422650748729359292591563032326514749778425282693317875880174045874563849634821157790967679100094673960970690446997701531078650394461786484810005427749104785143641073158419066680348637021830179
3,10937731020904505.633434442910983595964738799895782021424680444719338903451873587653939628661489264906157572585482227608396526097360501922292212625243766345152774618254244037989442828760701175131949207556241936779761661343427578035064859674352569473023660939283030732201082811757785331795900960719189683762216956522790972986169224988123993456348959438448633564358083465037076811646782182877873742943032670638259053625313906608008042369822365278719764834920323730734588060293135252742245611696189578058,754919.29694744432319024551285646461315760585137903007521418958772455501157862954187314950990306845716688198155481891776783012526828755297414378296222993014775501946589438572748108318680810494070123801498754414662683957069938065567603815420069515319665294884586901435982101778980495791120617027452125464655507978881002239821259567757633443410786012015372079225279990247532165048916786386299568481315287015093198400680950527183448792314830484078267460476221248218270689531821107912800038915863081333066,4915837.9295137618964143403563510134725317968744332759450264102488352453741811653786644743409635454391466652324707750754455896764182642662751772288038361570844885226440457326115876468398773422088371505848056747437821223715832522927184358500399321618753320688109646192324243051785457362731359708833684505387229753582227425150048312053792045215819614976225618590425650575552031378862105216451728360318224978587371368866558731497050554427784375853044216798627857032549628509413462192083067463083539040305,0.00023106397813969028545336279956512274318918862404628990381121480091337101648897754536971144281468108039118755480913203850384148425611220701702635227402908898858221356519782449869602657722920513708992795450192357063644215186304322500652165162258868474338822546316862891886742678065584377156076523654724739926030922278314129837758127376668947846091133401335845747054602762642225807130119783943788572337553426863035511196114269603221651188863431204310939417674054606022541267671801724040681314964157761049,0.96529999999999997538235614945754866076486941496116322185676674785607456691780937854374496366513290776253659488094776741935580638271216917303284909826366604139368445514202537152215664225144228131211132935872319207315824755068021298490293593348467722993354700964370142668853901194242340718861541595110611608904089138828262175953624140501024092251544968376547995939650677789426574485056271716098683472709435317710583996430821453535862243949038220388491726952323248664695274687927879400269132260445413416,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000623242055470299835318869444648,0.000000000000000000000017631592064985754252476225311600852205769820890923852266596962131003088366417741139338066651541548982340535793666737208227568344893549376407441358066106606751122243728602400817338050410124941415116864390429176335094867009719755969483863735309967001027695778703980091754413432031651937784183423898910432747043173491099187828038849601446639505634990168820310541110723714769868337645424434829879223732997702044803605836618862138281474383350305889613088405093974903513021573225488096219765605428803905333,10937730987581825.138261491333932150245674894842471145446921239667426229795805733421837222086742328515252758094821318490157701308102647839227533773003340768261410099838736277282320043691024448143733855636256942455946036013139885840859642604229158299809573441371809367876335775910834899455525386107172958653164136731346349417392513469644522320000099347794281378274507513972147309343141874610351886807322958993415914678448868203797782389604916374238318937520223302069169711716323437171663264200996907246
4,14642808977387049.607292043303476098866325825242457166394958647591755112278584981342818190760247215497208320674282531643813735918836629514507763908499819714599055594359086141674283783529572497544769151438442459624410968348633889108173579374481544482079104841135630058312317099062837009637696935523948308126307513469144651165763089010093305940519827603984437708962087011014332628724071995173455838126233847459138803465663571827631640637014800627870401853656589048985997615887323749822127608508006405227,1330051.2672730606540371511929615544940777974663345038762469293226918875967454706304807475306805667844905493235031657492937747009170744320363483429666931161215418138379093187016028410177554905449653775585495027692851033495132085428414774669398779483621530848459406373535166373576654363827985667020623198291757536322930666442808512856500952852820621718882593433953892219419460404497568792404390914795352869731704664688614557204187812924874223895210036540248488723744626102438185376529536344450202141305,8566283.0228367868741840473744198720936946666691839794280663423306178266579142927401231204125777857094371819753782656755346599782128696968277910787370027166560378271200364796641523758012453614427015869054039182856608385582272770742044798552773490024443286668966156662118038791860232741257241688145179845857526457365476807213111560427489913706394903670587239241435700539569342574671157006938424251655751893514722623980485588718058752830691292763911636285860852307697738377902137623646773647218593045636,0.0001282065634980939655777574801089957351242108242366909163014535054876854726997294725377785390996834138070371631934630846702783075771585666943627304379002578605571399666923706468906555863567415848793496879747787370838753029998622218827783550183372757101374214700246940380916521571381838929042339474495272017005232294351579143307522059277707251915819508132959568740281694359215859964022203534979716707056188624887226923225344629178089277673545868332971964905548558395742582489054960983835397919018893631,0.96530000000000000209598404671736766655590599451119857103714061630170226292505483931608283789440249809003423711718572767346431811064453662336760762972001523766426003246468242922341931427233471932612100393347195018309839493331629460455393232924042099012157850784643411725944068756699094839084119423047433505037609877646791437272406486792138522685751100805970180561417322412006839171383996748156292166081036165184793379166791289367841167136598660846114552675566014254702709124741162828788746919727638409,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999868478948199621824157834632171,0.00000000000000000000009697704045724320668746060778142406050697736926261715135675972664904908838226298015559082654725701888904998197937383468966595826203067128474425937666608574784944641985751907532400780284022559934522664591533898714942929404376536511971571560509948403686333282001205015008907551547777028842742491070729982390916010794795500538646546568710436836510169383607648393576308936684375552695523172069384842450388931352612310197464854355330789398970358651963611406930539861530865376129131430284453345946848664624,14642808897445251.734698107252727073229977283851302295946179667373915130146959137322729558949748878459647067749369959332637997560919021490382176861412849925079411349641421767781687301854580415637445073581240845761915688622899264575706017864477235132352110266902242728822383063928969196177004536655823612838638187304527178526359038329787087140139686631543837400143443398489899125585832621110053349085165760944325262025222661340770058110333744457721837945922351118258354965569001417282916345488143729352
5,18366155814880596.980769555951217846453159776925496611021956992194249895352772574815216262790070959072685234023420656252635248729428080691562656516781229695815514209993093630408925907092507336342701729818268811720999118460239225821138704200789594128006974305152522436095066501996238644991041320145878434366158987248898185664653353807117859640644043150090897594718833606578397617593822671276839715048829256385506186577855287243058006942978674206384588362562010374254240639873835970778728854824325717937,2065098.6903961802211100922606293594003246655392470372333550956378447828007121343405105969202912131915805080858674271501362656483546856911194257484830726519754788778870544931165798468338263592403915554420546883453874196500720706294217941068210016484732238586531828698382270133957895536415413833695493522258250664095061010739584460308078197706783801762032951125613570603180485129111969180046153031693037689184097593071888026606899299274472834945279214156616933124384436342000497632076222053526537203689,13187049.474733898607447018796092517615621240113912328894626472052608423911030733577023713180185371331935233494659069206901009131503120538433768125552389413547916740880004779387013451375077477031925603150088936611182425839158179017699727629167661963316310726731760180195160400130041539431022539266422060948585153326130898026941932553411422881490082581444759293367943731361522183492138727584929269489574135676271330078861560939816395154145835119123597069327449781614160392184619828528116326746198201053,0.000081146605233347117424329261091902256144714514342973496030310105781325455815231116546308516286425274428382610141195874100982030444744975026586328505810339567637542777712505781751286867246167659765899079134606039076910889341879561105745858343873878352403997035994221162924260239728827631229742106267457063965614526190654862720461890884331439149680472928011507122555891013331934102407874504953874242743917173631125979963962887055861501628565126207418366696368101453168605158763872390181811668658651205058,0.96529999999999999542048923320677057839792069616297182099512163211370714912435087257321790781401759417517673977612048528310329703506223555978168146937234361590668518523616160363154711402870158045872334597132190008340115306944478420043884989187629375648527650891852930079685195010006446567490177283917842369308094095431588852742718044981944451720274960981726274695284015223546511401494060890208994406260296305317755595801464094722864980846450406007344526433344723890060209637214670747454040957767325158,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057972342367608856597106335206,0.00000000000000000000036455502310307034215704572116966934295836497280894830339091341710218046227432536222848001116368049947940365206516458918087284137081344314508218176674790806376888204382410311771498761363277561830039218987658890114282145877054104748550801767686550462480161943358584918318675458949223921024329289013593564727662395127160033914612536073548139589091512467751203740668877589401183362094424933192537341805675908770939454222805011116296613988165048402537090064811224731604263213229454620549561314372515099858,18366155657151013.332297058903961051275210147446425149647316070771673777526012049124805929442535928990422576121455206811605675545216401411379243414461007181806484417354202854469530251333377570020864864325687710691377056430696709331987338606374379647393289346877645163916532215500903220631763562145728469474368094678839142427232402154307468365957693454454600966004064738381661508767484627045573381389153870269360713991654567009026331860373543327798891187738063784768037461783123945177826635358603795732
6,22104132431629825.348592336816717918290821248487740959020219079478915412622073542784822678483804355833147453454043051441384120443779757862103802351641600285600263138216254834828686790046576128621105304187342421939903442799635875132029343193387529880431608702771884118187994118188933502548869979490132321292611324312365889805503404133496635693701055473412326368115389905640808822124643255407899780808070857428445996958269204193362025258390117219284448672850702858244269225376555058576036025049496355048,2959453.9522821809794099691492118419661551948403620477483169680755513202221067916134260774622808418261861421508256869468605877560520768199662612025950747849117935698217425140685428888018794368380238079830237262407572779635261252393081473736406391444074501892007171129638480992557320249186292068667155848434688729603997200467426320265116242219807535234386813589405098024796013048393635702426508891075211045825318326135580352232315910488911499491655386738340805479847145381105022171013506828694720053951,18765991.484074525285616376500432928784474635296145625683162340059358335320339639200547867274002222694749102056838473587779862068570910302168035907503207647359529606745462323272177719702484280191314977246551309144726329955632534360928846623840865855181534124359679332665798030851834745583538307313371760244096420785177895106404003384982754780517025746143672901688182452244002777763885884494707068302013458320240647081080565720818885603238567323848096807837777764470579486377876488202886366636129101905,0.00005582988564466941247130031285848026284800189057478600111975886862688889090153270434977293029109232499585910148410149408898183263940088645380638110195199424689816682296364145205016233892800008623987277727552315081597790789716122558708545208357399008071607112440863772609683571427573991552513179156057206217495599028734495079466592694176598438189785760903348047002190648517212051260822752482347407517603181436573638667863316365364287686903439519227759284795702382729836374994038562327584106513061541548,0.96529999999999998899712781332639209256024305229582323421300510226976544636133988242033884403568117916023932121255972515612978906553556690983220938447951365482957091715197879392561709292083005363588714275077294485060820528040629354686964876046136204539243966951448198273352864124731509331061462603021000532738055028219872601394849667781657990287340712494438127622888635380289833818735756000309837922148365209180978615943886120672328703753753938256157614076494558686297751295447330119640623161124278309,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999954567053447623472467924970831,0.0000000000000000000010766658278892277258126953310921340850728116703399453299562138014218503516210197724845332594450713540325678504228453645813791317764132569698038259226811967137621363465159429083482488481135295601496805157324636636976312366236419935531091238386062011975419824283955618270162338435948878100422391602828863585694762840064568265748678548579231957830854007977839154459603547908765635763360937463868145913169047569716373251532653419463261623030293614570574435546491920843132614385724206585723765107919384746,22104132156684915.953411470019420422756628857428976415469689654762183641581349452937636856612482249049390403886430740179621456240683422413246894004366607349081337384604474314073620859979042131901733092932519946652997981555213740360160670698723282504057737693940973644439884794901343687909389822650054504246894842333117795369758422341007775871838216881273874909776014791963725573073753331794184475982386526723734492008884998510722469309954511719205989737182092550045712992300231344118639931874382960233
7,25854322456083511.556635549537620177196910145891599541228510757223732446578411360931781382403091298762286939102279731687304356788264107104129487442475410620078072499116069432388501695577723786967917537953132365861978405953270280268018517873711164918557962317726610853603701414965234539583490197404858766575000891675692430855661860206219626557516871092762866129612053496416330409445848938061053443839396533475787973819315988664051303144455048879204033034069789789499846258979215572864624104957191263027,4012635.3980443363266439692089139334418739268942559217995023141345826790326741696775537318919109872119357736955284802424614400184035609630463565039327537943975298929820673959009830131231293254780526009460575964197439379146067808352908386542693145366850925752475644542208603670560021145521121483495902424877588292194439323969172703448740936546838813172445029304577420597063768712252993878514620954419723944900556159295400042847284348451208977805024935092580139856496364383323990328530105340716853802998,25293365.938531006108871449908084156606311629248253813120670732176549553606472319357974244140149645790988025278020141437475077486474051242462653632814512633785025551583739782911715050212492986438125541515560553225756740803030054041491234410179358631366455353417020036766446181397222852775744142736603251129614973165614862726359797286441485509046632965275311473961977014846604400176326124052375683772232297050673923552590363014621793768125216464439489814371801664131969338281956805935434793149681678481,0.000040691063098369813125549880117624621084445921298100761286393433226494380555372751859078631095795437288936340351058907604061325233559004346930734336750455151283412512986427732473818349124570441969150884018313324026634577058800817406065841348998323467310661081264004199512053956883432348139711907922909557002434352100240952569365633024034675865221723567305750870049424402211928406139029969978556600462216504781195010386964275093282619387990640813869339135576999170760494852662621906097870454191217057021,0.96530000000000003200153094388917134995188284175712224278343902460615888854755299084317347023152790768213874659220647973446067158737913489374358520036057920995312025957420701663841859876309684115344202281828830590188094256720255432150244195947650054273173601650731666226302758691144511544849086874073202177022207660261839820293946521193673948615078946852792528609186577273770101558044300422167263146528611790222241051392458806444152489129882390278348546944155070313049703965904908854904159990777137259,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032950331632661800075712375113,0.0000000000000000000026914610411129697398961121835330276904082374865801295015356727391688019353363588829470419660689457551538075672159799409452942833981450393988478995391758248765745606178344109984892687283492843496787153458093654723228042098728972341303815648593633809245632051361262771215173227468950039071667869927969386201281278615025030673482267898784764292752744291302715504233477117214839275277905930612021524412478073386303578888703402820321105764953584081184997656772298964637971989400018441560297603656150436102,25854322016139058.29473478861466001954341447355481546074338946749776646515431305798352194108929026189754414900663122828383206304376409812112417920113250414200958430099435494741897438624757578838333863919003664981041970941161730407202512399022642634118476178178142389068896071218086696554653324098441911767140319719919865975101205322986018014969201869510759960050346895909709934886076997434932192751058316241928616665469905422507735159159584984022756576928473340440749035239164446956724982840621210627
8,29615001921824837.47431880806504222038484564359458450405291252055037228858325477963787440856158634021108548828958115099236538369914927123998621145445331266576549655281925036588483194350886568073285839684874938186739911500484002564683154445759290026223961406703071229826522709818396783370300880722435868090649147141732301831432479745688511771390673381512449298849654381357468855941270259758285508543838053712756050536583761302580810579808572825321174608560430917502711805261116918488090436132386245809,5224245.8412300191007037516177609906030538069034031479966671163743236715483129723865959394363046621342333320092428643889081098068800973270158297179167062931729991435948120244556522213912576641175485608916146157871328621830572285484248630168152218863438664935296124355562758510510017468358654096923396316683199544069915043343083184816264191962997384995036120941450105951717985956750266812032280742835212621345545501779223181853232852838983314813958220528592481247287989404117128790028113942391683827253,32761053.241570561310188330598552562701033906431452408250190710534734899385291717836693160386241022249932154571661302059457340484724874489681476099886542482003304129796371095828847727549960493956008957220583191601457893448887840797864038959708087342927047341061237663189632183418062938233385326469688172331514118499785748482622626028736191085631438415161462765193634656607719215729046703995146081877148574792585837609468065533720737219221121545273425186142328850621815648368468076477876837910646806565,0.0000309364849770281917280368250532328458782968623488253037160458528428724187211864253743570999091264780192695459309994907749337855991985964270259693386467668937672226919190405906259379244183124351718852003724143898600196458394293374288282566084145722607261968744126276464020554031644245153899255776066735005885086104303607568567512510435559322616709258801634591898693787077125518760442902270113754158834081913822971630517316400564730806443046413106671096390009618987182305650262475619512402074162551542,0.96529999999999999432231236971293839606391189872761214773563203429508791211874386604223220171171447820453039511751845728347447912739423013555210387235296640308893032504684224965567799813483011161301913695277186198979238930148492534603178103641668689767456430729822705775262028056386358786740846736747843207390834894748733902999902867791090581267987172067454329390968110911902492926362802778049353359376471073028349975012570351769677934000111572475111412066727637433123257226668476840645237197049614326,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013290714659294602912431447353,0.0000000000000000000059544265571114328692049775876130463278617106634499140285278442007777861869081782232270474045822685493921442071087111887525779683259755355423492242299014278579696320865815373122338897049066506147489734395483161183797275891137926571828129153776531310907772371873402907400502664288012830054722176200049283662355701487882623234820440108921189507337453601081613188267476911456773452712521396682513792468306393981785230345941108165125974599877690434773729389688471617543642931989325960854065956927354445838,29615001260657810.820609375779410043064986439726727232628821192198373276351813641950579202024996301280546361935001929367744677645994165006142797760195987433077534703458613641169968117256828111334537254398193371662232485905203151052796338330113835558693015058161973039852393889034345248044641720400808019329401405751411183655012111088099895156119442038440896457494847867447633964483474841010206666621628820183364040022783532874003973635989924257305149763525090896722763306098558269689488680275761015271
9,33384877783184241.469452079008065794240665385759468802631583147327322621661197376498445536192314728882060904208074550048901909317062793084971314509710357032262313128887708005945437728702084866415615602893129632272740506446331772774125157563975605911884412013174049810115507331333965987238387704936013518495012112836341430302842273750445358113145883419585101947391730394708120096451899315394470407465874547421761494712444167380960269386237898756853338026523807064088496401579641249075698527561955786814,6593948.545540655601656362962029565169177918533113755116021644352402158919041172058608306020987839519217554289329717919310223790341064729300867627870693662087085947345235262937820146639373534826605428622414588947458883975838282621344766906864038859944590499891579654689345097607929356559907441149651631192139077095853285266508147447764914789936004229596928342281225010205764471404942687799124925828400557235859363684699583700722488264143847326971880113915292145844431858604624970797681900619009366318,41162103.393006936974554304680092594434436937787752701441091650364626741973084809883255496744357269691386307021484785659787248033028228449308785982446828170365269923122415219712586296246032737365583935097085691789089948057971324475050412441061366304325589903380220080475509140911839084681770832408332314033751326456663230942297669521171624258227844409114471694573371817704591762639738887851575983798236352437289573228593986398581505390749833728973510835216724416658847891868410608407664252858266567671,0.000024291729368870213711019544424893421767720407413951273511534495558001587924903288749466024043134033386285182075057798546241361054163338734950258820335533969391005908955704801679682824399235670741828544487305596870845319897671757447606550213669328958559513430321464936981274775934405971165041526063228327047535145071960541163895398892468067631706069167939368079050942723414184568794561789139132219580370583573403856495249166143154400141814687776243054901958165972287791203517744867179384212708623461542,0.9652999999999999730234253675742860258492355513540731165851520506919489831338830611529233576178605517986074468644414519609044633776311503552263746726416333418450286971497440980621396878359542397631768177500701432325187136706452526395745536380801382030849283312977375555116526435763017296407617314640014581748463602417549971275483439224312794857494523309488573382561871000582078267134649808164613764080544279176162078561948220029601085374805499229948767389311227987592889475366250333281190290365685402,0.0000000020989031673191437000000000000000000000000000000000159385697578794867731131247577001326744190090695588569577803489691288822550824087299866694839717284892799398221541196107864379882812499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999993445633215111586388297947504,0.000000000000000000011998801826626192768536241563899786566390104483622695984653853436538375329773212161685189525608027028627012208580369299267822386642353911958357148029971846148189028899572926748743667394229428609058452770284805707499297296537177272389282193659887191546648968696657979459733811567746085373860337848304748114101561951587901772030945155235094412288652394541200550457901893324354014723890049462608308512410379654073947788107866417356268863628988708676915068150829564971455837303621361979023847866870003619,33384876836061873.406691355047303043296389125228425063138298183164614790889951941092323782471678556351477434284635935272194099887803682368704218538685497663731209349122266927326585348278376215829895788387854928049226808918520355508443837532904694796276925192858878152951778155633266771525302636593813300926139119817694564577439129506329850699169645167843224384226603065677731732341904469468048010010035912027818583998397980103264284877976694162602493150220281978302759683204672515205682184051317424392
