,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,66100108631815.508131913576398456265520419428134031210998185488075187034537264968948740467582881454167053505219970256612213048852367651465315497762354727903623218610946251612666276461322677473378359905962466391110860412559936180179244232278242174648060433748415522673864907479516846870600200331056081144595650538013926789311092123990690944866699748162534506747519473668121128423381191276555417091441279213927958943041116800606278450748569762130672423401116507391132662582044380211810076493511189583982,38.57908582813219351651627807777770386022689729870255364946454099176877876019662593604674060482670693234090580236822004543327295053408554724829129682693523878705758606043402041739414676935979969841671370164006976327587404691442797197306788806077875078014616924442361728865358627428960292354699372028706649250357755496926560366282714005594308110686205645105366033635928233655301039351486575287737063874172757421552301130459302257636731688488348438410109341160749915810949108460561341272070678076045019,248.35089523903358710246565466488754524402510639436559869135012619941366843733963022895377336599824069097208712855550626391801805400595340194431018480485769745861987089957712721318647378416661977396746200327978811883286794753683746985332043096794992956715233853514001920101147395082153896093759564665077151245475363937735300514750743872481979919493064936898929736059515820135463371559934002638450672597389089104756890109773114837831708361546000772902081343114592762896397215845113219724831194872086736,7.4115896267510723200527573794484103680772188469623500097488731003110568838441363273381312421045110251545412331880870281385418045695133559126615700666692962177770203265958929834932697279911807993421478356831252733487438850486634360145543188305402804237668259153468387166950790648793397232592290380100829858503273545693654048548795341062520710959071433483949567299854579102868082266113970991974872218805393412309155727740974691492263593364190179409394617069762422435844661629621164056251718803538456792,0.96530000000000000667003137702375842216616669993361571716769628898721194393945831106382496292613912565113689868277103715407507353077437580941167975503784458396991566568775255232973568908332766271804090085968002043267122809518607542345716220461033314067601617087094067420607360956920471205572856001149409720928553715701171116775223253710701099881141872076924188770718733950741027776114690791782838450375777813659614564729888668102074045314254389848935406501000307445817638359057676953681833172567114594,0.000000002103105170000000000000000000000000000000000000000006553481483153558411190937927117822245423703171414807337307562972309702980229589087419740612780461042063961940584704279899597167968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999956849233964804254728043755536478238,0.0000000000000000000000000000000000020596714633369907100559974031842339243253100868195187639795537137348484464217056563628334814587176357417492016440793951231774419935753518429629347713252098871414861757102067406430855968622404282919102737728953906355769802082016911536779032288824320008556963096761005098863504211925555488667907437943023065191585481610017611578322946208643410340688496948704460981578431697692405635301969283486753175283319741231791124709218065831127876858228136656330829933822750142696029009245066997883104624985286464,66100108631808.099431042755060875726912735470634640867190052424576064007077489792013645775764616213016743886551295673685987183311787494301225282292789917416374883596039984522565849053511703038099520285168030348670732418938889321712869331838907665210636366479566103458680738142530931121790356202945812179794793338297757880909887945554834923933236865701508774202536111285168326895420978348958553788318861008836597612105473055354921216382353449852630043901096186572538661996857499272068832812874904739584
1,84078254736784.911816001876495475500085421134465537429230709223377232397365757004798901554136373014980832099912339711561227368069483432654623175710786870288462660946808875325663782944679886944160455979715423747731995051112990760869849975090279834146957194042278156690527373701817864910707187650317216169848947733599595619590473327042451878936706938694848139269947230141745361196210652105328253532327906259816664665626130300210453183665608711508473778287961707309291931168738866003210659336094538250721,61.365628490243327819484233872677115862032186928686167174932978687575168760759136092269088446483822081571563981295058018637336607646123207145058158830769949865796358178038446245807214768869242667422370379337875704181959672483285378114998919721910675546306139960362457106695568562495594302172391772540230323403131696044688373492201732726012268153353524453674602740401549851999822481322673686329772446036974744060358429057875887218438847961171921586377469411963764887884857933769195105438159120426184632,394.75540500311413674644308901305353727327005569209595636157009364955268234725192990394542524934405194335870210154468792945944227621791999571816146297598947574321010386218279647328634719754574515039002497413415044704820922147542024349239319792153024439900230722150548208889162269913950368668511685347127254971883582517111071056541421289830722021199567319093639818049587859559015352486858167532235992657406558516832016320134635280719681204422894810204310119411952360062943327232124197106872020361190895,4.543396264253636758782374905464535130854017636885691232846772064436682420565392268061975771189279232128863003110283889832122488258059859966831411843027371526647493153617576799355899196858911629439596124933987096227227222506535090079916761329647405899605245847659596111165066631310299809747600530234002223692626935324715024656613756481760408202604486810374324004978728047280467303447288301179440084070205053563873248181221876845630467432449320115782906586375448152753633774282317169474658202994029791,0.96529999999999999040767708365096271061768833510858157858029202536684722380297320709444898242250487411373158722703348168359541063667884657098072522033171995004289503823650187933916579105079158811813313319590243737831397984269442803299928631186313843490087210294916524493450967372085292914538138912986430640011128052788264874229631549213231150077461692908223196945749705067400417509555104545725392714141684058691117952500879319594473272912801626282447447605585373191065552559652626197569904887929828307,0.000000002103105170000000000000000000000000000000000000000006553481483153558411190937927117822245423703171414807337307562972309702980229589087419740612780461042063961940584704279899597167968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999985764339461886872099884300121401858,0.0000000000000000000000000000000000083464184872199355631963854025618510664969221291168970890256919152640839044943767226342003945323035259417768725994857644286998244536835596637011029841974407499893607840315653657645547188754353073434062365813932252291485139184146972550292381718746928032086902759996871473449354274691039615305378973803240629876976787754698105544516312732763515764966551692406912674451787645632204007279802011876143344743230973741283572247787399528839023506973054552535547765708155103428041090153078032186914501567710592,84078254736769.668473278132949763026824071076968206805284750789501360252814738060570833233541062949261827432779734859698391778332620909727101815295513009006996944644805081703863772186601874289870469993060758115585925375074458973784380170802427302203432668758706666207917037521843908343830711191767227313469384061583722336155028720369062466833079944981412390482212946455748956535374123878673016778551956056792144098766181062958759573844588437658850845737952988521844078461413655437642155464558342582703
2,106944952009924.96348073152153632795169326571253676480677669441069958718624620343459023061352662382535472541257737921254478744747674118602295369601959196135206472855897325233815792976939264526963865549101245351967954625599432030048529499055529481649387039872731982614370299578918980864262535094160614025359259451560879234031997289039000335283483025297365067578644455033720620341193225881342267684049271749099123691588665007403591166588761583836483171199504967401771295276732423423607335910133731776288,97.623897106795604923492643132101389195593390500289060810927995704635096786194136653162841069899383906962443347562066247052074650651073875531976874518201758075312504385924574912363780533541689340413412649368339970797872135198349593163153516343729750631030518038821566160992953588331995676736609181776315076469266113832583529507668256619376182628110512030410656099830597653351404280155578960875614732361727282508037788883948584295374868626234183231435925389349006730250494314588388262107423731557467145,627.54575670599168924664065242402352621765968916112299836987028361577220661963285494472425652429736258044249398013471621685491585534868600499853761901289232405129660226915835425928222657706749214950378783316224756633325202733235329061911870655007813283025206423921843051799580711970035251829071405370272033317930886165484619246100241031689752566536839318511520782419032580334562611761357961079561636781126070461662295976059284342512898540566314232288346785588872055755444266376050375027526564861783265,2.7855106637194200465015933628345381516636414947280461471260635303954306519287813269372584934498331165699551821823663310929259920264351124909257803939935660379502430957157988244218627648199722406134160700577827685267329250083411305254058314397260422382666788112349321317868795316746697834325441935214219175575501355439307086518938272561513843941658937980429815806725764733190915569363669410589147648961720976382486319612826155785333163833199489204085247696029231152014588454506863388529461293074037388,0.96530000000000004353406778323308664652839948209258944361353931829722918478552776818840232118066822150720893856244068777788333876282320111131613995920881732678343163472917282444749957990407434259833187568027203686607957523473386100849334333288477269624070743353636712385835657772990728630731448249933101358258455667536246737516224934041040553335286913663997977366109124678506820382645806079300221721097813518856388347935832143455282796622869566749223131896287132089092237096036942596468607764972962303,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006973215307874105140212390918863968,0.000000000000000000000000000000000033832157526394884134373373166788358472944884706552713893004769285543575743590051068891743994408320280960746860057482241845083870432977431488905636576584038230599337747086304574933354148935061601682525845191865685654273504736498259033020582179837879876782222975946743729087611885010446316105066459947618160621582057415829143036478428599678697348948422784004593947571878309618976352183277495727548384233823470701481609716760466956414260986945285946410883762869398261296894890039999745608746782347080333,106944952009893.60136515338280472540973818446802949998982771619797764775409678071974152517380333516827443187910278552876720811696746049063999181294044418738282203323114542928832757283166319355174417491893468173026693970991627507701670339442956162270727577706231552253788642208893246220571083322506134964076046515532058215935973595960061172659384590818996566860886137347990012901113592820996768836887779540534240853757799179921982092419609816598512946558014928052919811032560752940131330741643220551865
3,136029170503656.78037528884901265874078329427946345944734486332089558534207436181771094990052608463101287870888774305372337270733908739234254167374280672945072932150384312636860504348123767028420303300404114178005070979271937998795146499478345330226068738534775420013131044767006209239957587019110664524927511839192775570727638335325570285320592970669525388020013364538078231860938468710811719550200952034757510976209862348490987056069298686706108320580947071781989237866559818299389235400557676115323,155.32586860927074478867145062323194956611041827056227529907943831515261617102978817663708483556880998709821663894549622883637016525420391914610267210080262415541674961320802222785578957431157599410712559826883945293769052176120966133408757113324033421949828744035116233100145283801384259559113855771838898743720628267297958357622593153402493619496541651704857776083170081697963399172891667896820217980339512215943216458454144570954253465813072960031035076653624456557318800934125232943348323354616333,997.7378808337693948466304290897946023893887192598035160856483069057332983404498942929347639841134373673436908700419325210952228146054351309637658118224413272034330963578913845727634076686915019389351890233866259454116579494419053337500805907852730890581529758280418814373394131412494726736749561184174116384488055401457346522983512072756477234578383489261394255393127321521349032310431243251567289486449816884859368227104888471176266290758436870118404218856780909139633348392725163250547643552797763,1.7079800195502837204888222670597140732373615797412157798000812614028710624820433526372234047377106955586157263574503363706150822006586506440876279815797461683582300890746499536298878880743520787059987519334950334392149194608973686200966901604255253867023510962756824081368969651195769032155955006946095256027059009047244049311195940994394843059059836328968758657303831185101930374455530742381924477823543532531254213657177825330258762316757657755005589142793639092377926476848020515106375514312354949,0.96529999999999997527738804839287200416472482919579184288049454815680312151099956932075712299830267663488261414352189811273418470679047846363808360274575536014628942570118456313907558168120884437919533482790155026890004173732723345823428133088915420394006738604243108606786106069310301121435595493755677667984879293710308446295900108265568391305262267235963190047466251758822081789931701295379216281839308676116798738171275852204502943408856583058256348376102441222796467896688969846181588655318852053,0.000000002103105170000000000000000000000000000000000000000006553481483153558411190937927117822245423703171414807337307562972309702980229589087419740612780461042063961940584704279899597167968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999994200693734476116986960619183984686,0.00000000000000000000000000000000013717790654681809222084584992932825543752412423697396516437297955178401166973202180263166920033810618399658491382020453867917531199990714114914592334202705754789655654737586465886338990220160909010761429144519106931743110930071550376450645221973851452688806494995802126426943416379186492407853007398243387917706873596836850251332793362082808985512453224923944318170728847721713440500140997709452216182069870933815566137012977098176495413554123065154571391034448030777775938924391936078202689486404904,136029170503592.25690970994865144697973712507038445269617197039002827396760109604604752874493077692832196769590250743739913727540301233207613159950269870999642284180942483170399451777337702979567873798927061866103277581809186431502011886280933114212233776684516023757860451802763722171508674865414641936467816388477668436425963965413748705572231966025984084806106364430764041732673609634868361856701834856748493025951678692020542376178893747794662206560611218699492579668775620034166547093932500539642
4,173021087856909.61357903753661630951427490090277420684681095033489675337517370061274623615003359417413220203844944900541579971507582408817400176529231069673614112285168366737040815693050779465721161116662881817096052394867744166155498844760236787620911906055862306041005088393421546059585996767238957797358814525219956014647319832319254246424038464834104635518927965928327340485134742603386003225346078329332458657954946726332634471859108859569874335893362754109041742107958541772852363675580333679857,247.16511550249663596678459927369840736503975028853384931671375128632610240721260211211202348020895747626461613658512219537203223316400712994365411369031257963347414933980964799704683191055940609162661704167291200524788322929205612816157858367325047199294851092230145760768711745221655805566715203386772676081554085014022259589768779409266695510758577182534215405238498875901897590707278618883197888770730904974571407752282388960635777801020522292388769270110700913677322660981411902976319362727939346,1586.5001078455683946135961909302251730794542338198861580795980024073739503531078218116281518745612006383157548153264093608821641899890768482460499286894521893093128364346670340853523043766413932387522926541534882019851895393860873111692292147262795825690478903354494892349802979484244274977078368778975374286280888916518184905677363034709283658295988894304711976471051000084673540877778099989153852588268649991875869415049656025484771681731178233308437955216965171749127763329378552569609460754315358,1.0474018270195830104929478281931327964736233344474275561332861684885982795386509925670435440262863257206204549765009960190999447064516291362173573568850165867356334456412296291876072988455978247514115033325454351331492305255872339333824549242583810885083705490691532849987212424082521534859328127437338760049889355303722060141671800269587056961169271671912088361517727654559196566646542489891079511628192151477521765955094578321808078565166055126297095135895166289831926716575937775053448594258482532,0.96530000000000000482291466405503450588768257542683076918117662565535344854363196250944386571517611785203198239413711619727998619040367791142179065760873129648989938773686681448688533031945540201387911904099467689076811220276734365900953124009841761416293639922761096002651400643612162944019906052551274554836389251667196847679354764970407812925055136590636853191404782162853450006252515563488571802485268437938907257190050375994737693508235789774627568202921613002357310083042039873915667858095119214,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999984709324737091705652555242993915987,0.00000000000000000000000000000000055636687524987915927551222893478052657572192678294043813207712035611397431136150564766676894874217239535755848799635706209416318548110126458181681697500671549869289074789707498334137466022366749353735019467545438946195999238941924903997396680646053582755611616075591398833641661804358297872230769517517010201120944341510760761731220946952227096199736779261502208898093644268136973341425962073002891953334817008656624318786986768270520895463052733800788891770156976267499021443296886723916068673802968,173021087856776.86880529560057921904026569229619620911495843903789268988178610183093639000955859144922212554873754312006511622735935684773278931086032580935773435290676156628175625696198109180723652569722954096075576877566945993886024673506536552150584380135255394276387878826396304313544296146592404408276724543703617929557873895666897823505430475889077099542751586661203824125255951751416704101701232085246820942653382260286305370134861279782142670194787049167130753336535200191241878910114356868944
5,220070244140862.82009852132158244525939857593014153861409282761339238000650939499610899013743340210987610559623007260457381764482266855306282096691815215885888651098056788786748167615575697358763003080854669503431368493179386832050183174758778533292429833666286370489939665484328606700317459971376555775939123124624168126102920046657119618637618759036969531997380252211077237300334366403133155021535104758493711657210417122105441468193006391938256266602688737210523142697108394642660723874428669808223,393.35562985447722848603400578551473021362835587313992920058793327820472152460903847819524481384143514779491920999921303685445114943772817176719770739788943323926525824171054549982925734078078185492517977955757993682374818489577322892669349414664172980044684812504798223699175966631849026497009383307377405602819701206563328734939009523375777576276463156587999263944195220599669935945225586356148342192358064315489170673074550459885919416078142291368841298856073666357034765109691900019331171546103001,2522.9880507550276631112604737409450362878330658960514408559206544825177720906509500567662065711727252633527040588448672170441924609409410465951246984795030873580360398149919444713907363927951995390886135608305076976022777557625687663924232710780758637336615319839284343306654942588722790826793398018097972839979504842198661764528759639648085907111495122462241851968601341500522633234393371090111090568691043599362030649504136689637528817039146776980081957149705821976411180195871031279956927165697912,0.64238488159548081393167567451947144100294803853703764732078222910182130492758028041599977669384830897054178046901254851053421432983743721250839721144629090271814788149326342784386533866711910562673444299958545555680592477522591589685945158005330519521727320143479501045079142761437613168329494386899976703938577023492733110179915521673111973870820518620823962296269311719309546030047124919929094039325287225857256173039916927121883630946307755740567271152353688931925856612151850221451592070089964809,0.96530000000000001752481542436934543010605670979567172493812419929304228194800438358980518698116249557295411182009480770589951565759172130995078738181188917122117404438091599251302316139436178791742383052580017380588409720260195303277942104378390956483535559508051160677949603891807983637491822954294574930824763476201034812830527451997503246814413159899917125929289466728088251977329977934750600763334881832140185404752465603081783396479998529804297349599023290774256008918403838499336515430788693185,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999962591812875838992942624836338971458,0.0000000000000000000000000000000022571412001549761800299236475874906744450178260898577440902184600814107160608825679557174843095906020461334114486067038332020176938350401567465216859588208838036010921309954390875845932982991585438419056433894431218300856823371955038308399632890199964541057205897544397485042554531455068209793431436450087938844536602544236176265129565651925548972797681630838257313885791117495417972757260141880181323712007669855139969449938564864247998999264687694130667571521652494980868105395834511515576640966808,220070244140589.73072402322911154425963199277518557376675638013655991356713697327029840852038387804245869480224603865386306723979546238028991024658187984691001104507863700958130104508749153021248103699316193670478927565632767400035696287763963891483824807996503490639687286142826899667195653301142446182730438646782739091823423094387377523738225311183540076128848293696436087951465031958730985564552562289256837601252692680084155382435490842693579219005559935016614288999694515035658379197080604049704
6,279910364443288.87334993459760689250869141359322106175094393416103776091650269773209854396478296347528571388890841059981793534919576563070056782760387895371726756534119444816430354839021198253767541904609414742400199755370329730686969754435912264956705793448927189215192626158966586197160133402209284466761940640393860226907445440551521422376674120702279916911223300514740226636721776204885762487023025860382361384599402443529951964286915646534468075062141367576458606634791911227285596057590088771969,626.09104658380567510804944003577610402224480711707884194788793889899159910943630218549206671290956773723452735418778424354092601505068360332750157533681757115531373483367947698382875523360013770602969669883766458230531983953868958709800194886100936364928510088612483684291022559343512591955251835353217164472477627463709384359819645956787553074543016370218365112963354285655579513854763784771383537054402714763827271349493195351315449636053216382073507194454806387668478242145367960310442882035364355,4012.7362796013793986245194893750815826633142687047032776830642964586031109591545552061461427209269084388562875994944128011649379447252548391195782949020306102565649545104367204938481325733032740961061501237653108931599194664288940567684321314801540234847916484643395673113280654519433221180845043432427386670878654759504390566779981875608571830628106357248047125555332393305774811041045598415752935381231755339092429454376738202067433802571494359439471791419749764532480743571163576774800331296871327,0.39402849759379304151596920059432682128818967471328738855946131502409564200024269467445518121537956507994704229855425986110723853077037976149506777838058005721323209624384649748261751726463672159671309901970750396383051885074645437821539156951416259581266252269170282809756509711979047036667254499704726182672701156144028132474519865965689964240532496550415052880885754331929424114921669191328025720380319380856603542155310558219882711724410315641022712624617840859656144770254664670846278285942243257,0.96529999999999997953047130382237559833350201084295540681338115640773951788481687522432218199305262061497340594766398330789841687142269522123528025124457383504950772550953547497086576830233874591467659662512575392503433851519807411714295182017622872099223514184515168433571472622510895627389272200458823843782772937449292071402928179199440498197455098355563803745779531387272552511486310393605380791001668584007161210929741300311495238492442490470608756397031242496584673105666048686928144899878789605,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998165642891604826068825433405304239,0.0000000000000000000000000000000091595551024651094535754884837553275642150377611060130067420417432917330008789714296974345527591556739635568793882438331765277303349174850338125030165037048570459233094802659764252143645038837930952558433817100247971336804978634275311212841492682635734606914479022481465674967035154636370257469781829556872385256304717302723325238788338866958025669711433109710928579077390196770092979664684632338159075882918741967434968034555483936209389191217726795997236552869682513006228209841682615073105101722289,279910364442727.07557910569363700731658034789960655819200306870061764096623812304392118245504193719125650328571915451834738080978560864640601537638675637462541025781983623876801463124404025335887676703316820839733874378456683622226943977836949669854227173735251507306118418080660936116491017112856782476003183101800970069342299871061488268834728017293165267452934142880118847762114024159795631768600181640020143337859166836402417595594549877031327955074328295068552311667821570126291377680308685046984
7,356018093324239.31644976622792358134722287663599902012824879238963652129722025607752791461609650393824380427832862775767203031593842854702593626788093992912657543219112837199582029483982192114481823687033313863736104739316095996444200146367682848707557079654070385979249624827732151384124291118180988828149829548145223890370071205465619586947732721009016710654066552296399548825650178708806319494504375867949846840579883016414564542662966762852467037125930468204562180464749566540085976087504049803863,996.65006343543512040752986786081985001650321456753667498600146440485064596977085705105589529627625641494323589416135545473391054501106003251948275965974608089608735089023583088014449686098650613902554509383601953638576774241610933173161171179789070645787237972626164327914680731881668541941402602012221879187128635170132980651962496763548877896161685439423745010972056271723711025095119042125724901553577122641676650058666571009835045020142058720099612812458390539064525902614260514970227081713832377,6382.859802654643284319383151516923355268620594199982842021732516940201932744604155268074130474718651876333624122306809733616623751045745068189249658111031304125623995101501218341679203999628824751146020491772986833209905770066236376955602528922883661901421198056836122675355032008387058959389469478421626618465556249372232907862558517932028181404666370522307753863316815824685420773654747814898972246939368181782790055350428461159758875089823937803762605471294130195876670754047136628358244575283586,0.24171812468894498211707308733204546324233369626715265127340364155957830259636063059220833169920092594975116317613103128901140645301966209044356754905120017125739919312149161327666623098279103335697032514638135001960466642779235040438726073092117843595451102444507180337351551412241949788072322800834705511448947419625978136664566701411930761930863829948861377162998523085182876797459347457374738383232860738180838376965642692961316060271023639301437342059817233106131824554848696374997606956358039615,0.96529999999999999330686940128447215999374537188567958548498036229925232371148060327853320061809506103166874953637888570789536404573143033047720751199401127969266725193966748906172099344016650141557029204479455773161339015347540876987376090386084490683786590196315955583378308152094821415367210359795938074376293417717658793675539445135044279849205998942323838712949108726663642898531919965259116675635904546588262350838949966439708683746289650690843664133617774778202160121268401902072885893434423431,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996754805937834480130313981409475926,0.000000000000000000000000000000037179719354140474287649577387999759284666653242385496824846008900364034551937015556773907927814175202936359501632543379534186764298060556876416312589250444759142069765249495480622261782450632651183941764934501180287165515477557901260245687434747869585884085029014764185977458698420174382922184804189835865944042590377963627884001077537925236753606998116101246047548904181277912910670019832904758022448043412277355124241461337685828728621320485362169036715680577841859611112907335961972572381245700353,356018093323083.62135268101481110830151820985484742256129429090740364150920135664587639389046471452164289241506526370935815071846357780778825226572273333003896432856323445522022580047601583653733938507524817175860484982235625364585057929471881042716937900096447922987769128184443901151679624241510878231387216283224695658036942617894388464369775119565124994843853222438259428143063995050460970170478074292354984581454327147546943693841938421163401735938806807564838998740091007653312981430118318446269
8,452814852792930.20939734350184830160063777889641142366161180989184000400774443765498234026129844001878274508136443298313534989440431962018491539247054915440826735661882951612066185534847692391988214793653142055751910844330064578473034245122364320140215689948773499380825284782037354078700826450015480762087931426826555658724020186649103758613186216823175677748232892010804953104425767106363592432408581454457791498393444462481894967709212123966074174834249858100747742984695905023065531302847043394248,1586.7195760989476487504150709026425608343835292276871497194050296906954596840816865391572226609003966508577978969541194559833709168102077232040327667845643258563256617036942757497423697678194871617238209212219354211862627204908663101212859015170720192523417609381796317969870578716977324627489216576988471350632455292824366811872149608840052057495691907783962078309862737193147932776060885226312412235070215815090558017582943298584571136736731157787344565076051401931087403117459905562346438032779382,10154.024548991388141441220504932903233793797519809219808349614576809207985183543355889436542309604092975292315150357236057212714392897242240064443630265973045703470989263269174173199211138579331578616828248889889271997102918472093859218063433762029798544098135114021187589448200485494887801211639936780536976791254361553106814829457603404065570309872393628539661018526832260575014289650282577612335924859269445574874497980309521036876935032093286301519893757371867265347082407711692380743438761766135,0.14829927108863072318370131091851755650452171136866561282576117865603222230363596118534393831551687274483574194964375567260098985058832840924979324962734409260435224614243017693580151768264210528836363845904292131262400809817518854495897522293778638779488435718291611966158753635464157275039909293237188211302324685445192238844236504098690115504839811144931921364392834047720381998568187728916958918088345831137409587675819144355329768468407745269407133383943630479094514482182936002820560429404719504,0.96529999999999999903808720996370508232129431701675218588996487111359250517650946131222082624137393408021688473369250168005744365907558195745385364986607468179778347739087826944754820979720940805816887945848274656806969995327437110453876088582780309810469815466550385990802684512991152708302355223389679988044236156432913201911626375954995746674092705167168920378347117781954243694125671599683758575756592145834679031908846405157145688243530092631467719400994032301989477945945433896093999031861016759,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001578429444822669949408777780510691,0.0000000000000000000000000000001509565158755369309298672416901164208891063544563563707310299870175353331381591156626714331015286179622722074934513690696747576210715018914260867026166325319525953934822170172473469296596499277799111022024962093299764317028815400021389934546249955149688698287336330621777635739786757272452622523873753521995788030523547410865315258556556650132247414817788721671262242014918905959366354880928669636657844251646262667934405302498062521869488107108758037963315200898833857211792660921717199217443049201,452814852790552.85026508807988623810598930301501853078580031593667977317374458669499623213611095963789520447198058519321251011873017331837223914284602687841933488724141697925783775015500550399719154856356132836186935453488511201799086991972321481667906709913647166372463533542601023021838701021243767105193532886565276302823661146839024566216400976262845014955859298375200123069921961179890082093527308122757881172589435643722346768660579652526232763879392518468869251793756780151194729656433629596055
9,575923537277077.96137731196263218538201903703907506543212688355367604008621984733355361351461936066058137728607489663787971677302356054667197893586083024373197387929377297557178496989570239103786076035319236608101475313269014547025288115373887680473331582773580823098759235519967859963378802553039420196741668134449292389178561409980090439542835106813387773344681495020692758879844644648295780921810521573174681878795070413342719225069368395216415703115847322022639865234153368605667226290956323551326,2526.4410361661424462807147457228074617274669609232416928070850278600438376290305467878703748873985484643340233643491310720725896146988100098315562142899633148683892136131247954573417419971879297205858062835833315352336345985020494793678588940871350327745876589671408187497506746952866927809254122648563819912775526951946295706276306384006556712216951918873112365731681944677669283040066426890537433195756770435280932977396957621563680450775092148245623120436606863929595193698071890587500697124264491,16155.050227980499159743528963513096428987425261092599524988506003605893964258277105328144215893697631985989005130988101025483261152870793689982475401002172240874707088066749344060302251646079499217820124569586074296480038432586617929505818437608971573764005827939379478096810368747195120798671745294775367037873328164936818101652977335525845056360424087451932186402144844004143934973872524245747490879827353912653954233262711560605018251555666643487428618281266072081146034859634367212612285301553529,0.090994683037060207044012738117834928456676705267315188595397037843922427472250066200841035407212908019124998916415095172984634993289360386071093024339538756964912184564956339442483813857277960262924785023176334837153430914206343465139546867229581387123417534879512316438393905570433627841876433141690569001824712430227933805467000918705032075853808875761462893557708205419540408311478974068500939918028016393367045024812910873474692588789779711758461527914747854905547938673601322603206607885558924945,0.96529999999999999342794310375039276961545511920601425710726868035634050642274957621345008409085189183337045872622053189052306956851081912509067687074679381913761509631056128480864064350895542036185703613206444993454647598443117707488944158102758993732094140133058583276533643222895939557627748605656625719844039536048069950805812879896017998857387417809672725741741333657243747655998368675763223278532688833075582227667751658729937235060848863481719242037857201896029963477817696044391704873660883634,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000690785910723718604474825776719775,0.00000000000000000000000000000061306943543029790578624656486702506423031189884024839848140875716316165649750906431300110964321628177041061279445929535540389456252944477559199372692397782865755513913959748945583086031371607718171782658720086725605140791545020222609053481278978371409358285202557804534784399206900805386491945898014128015840201299932920394796209460612738146319708067384501311182106602448928700611084508562053772444941627358030477523632080934015315218180731965992805869758087226267606106212864854375327451044335982481,575923537272187.66939838165424684363708019034454152897428114014485618715039834980777514504245327464698300308779992026791764458155047365750810731272373761254178600818524927173043237485150856179562936383504419456431837491226891570119713195816379028742284785621482780362293149746074627028619334402277562592418256621071400642729167902405289657996065043088267763897301621460708794212830923756782855508866835909960748635553560738011684728294707695600394120744610844632595894530313676184905139865604935973605
