,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,70000000000000.0,51.91276014026397339202493944429457567113905360731,328.3251233384725308701418684588750776018471825752,9.798277860021700864520218713434337039566105226004,0.9776000000000000000000000000000001730935211033112,0.000000002158502959289468,3.165767474012635730702303813413845364283803813011e-36,69999999999994.57392611781998778953333374690661149
1,577288135593220.2,2957.774161285617256023786757493548182596325885099,18706.60630811354473085970171924894292501771146123,0.1206874950813383368524733764521690816177190131955,0.9775999999999999999999999999999999999423885288545,0.000000002158502959289468,6.989562251064813091874580850596568257845836566841e-31,577288135590176.7268215027675902767789799657836844
2,1084576271186440.6,9925.437243933518220450701904616482451714672486494,62773.97692778834736653877802764920764268861178719,0.03250701145839532580881139860140119033228556544238,0.9775999999999999999999999999999999999649013872192,0.000000002158502959289468,2.778140364045570009067176708443030269221749251635e-29,1084576271166258.243265269985581121135671485618028
3,1591864406779661.0,20744.39695387937441653125311098333755360321450678,131199.0861218354474441231261495730903788568111477,0.01464010919268686203406676329618568654526817076837,0.9776000000000000000000000000000000000009799629298,0.000000002158502959289468,2.614258115715418610784560290518721421132809056701e-28,1591864406715847.906390017371876497446673144946482
4,2099152542372881.2,35302.17963365252870812767008675791674336565524159,223270.5880215010660007248752710502470787886920739,0.008239356875081408958484667691020721217249732740304,0.9775999999999999999999999999999999999999939555893,0.000000002158502959289468,1.316514756650708774830523599774740278888266551781e-27,2099152542226554.499353235715829577753149860244878
5,2606440677966101.5,53521.68056246853398243553563325300032291335475337,338500.8295547248474340605189001017049927525964538,0.00525540454900947633026593012626251035264443953271,0.9775999999999999999999999999999999999876719395937,0.000000002158502959289468,4.665410527871362691531053410245242099532250693473e-27,2606440677685987.30534739694995507197851409404897
6,3113728813559322.0,75344.44884468696789852395258229667582030823700072,476520.1347985057092717923051717685366490047995336,0.003632418750808600183366100192963895880858738159786,0.9775999999999999999999999999999999999851831247689,0.000000002158502959289468,1.319467761263491241553492040504502882889094985173e-26,3113728813081755.407609635416501163560487894435167
7,3621016949152542.0,100723.567907564236874163089718607084277374111953,637031.7772930861889506193939627361045901619161861,0.002655074192352795297098577186830353965507198296567,0.9775999999999999999999999999999999999828387331847,0.000000002158502959289468,3.189025630569546206419729120485021542651989739691e-26,3621016948401467.089431138750101767149471154863856
8,4128305084745762.5,129619.9492418507976048505280291598644907403567015,819788.5395993280528398613477328989958335510466045,0.002022332213755786476435074147039730726372524785194,0.9775999999999999999999999999999999999808146650633,0.000000002158502959289468,6.864706202483550025627300184632612698372254655022e-26,4128305083632732.334166310890744179225204275254759
9,4635593220338983.0,162000.1571620049100528713814817685807411499523064,1024578.955874349179288514597450807167891534166918,0.001589871229739090179520713673805494994413723004895,0.9775999999999999999999999999999999999999936047722,0.000000002158502959289468,1.351998474695162652005125264245515284149075939744e-25,4635593218763159.625241753414812235994690505079198
10,5142881355932203.0,197835.024106481572604588816247957467264414266715,1251218.554261598874446821649584117864415032423125,0.001281577721294198612779243926502609981353457804039,0.9776000000000000000000000000000000000000031900006,0.000000002158502959289468,2.481727328995541219614531137084590349106349440181e-25,5142881353780357.446165089125999178874842465753225
11,5650169491525423.0,237098.7155023520412328033509757224051294702697095,1499543.942575412016762271246569003693359181016018,0.001054268155255706401393479539919929670018115199093,0.977600000000000000000000000000000000000002350383,0.000000002158502959289468,4.302452118363019410494777989707943646005319564512e-25,5650169488671935.280533650139504673085091867753423
12,6157457627118644.0,279768.0690913113383179418079104090943239577776377,1769408.629831794838455954549249456837135025932408,0.0008819829882526321023981658389037264375268561525921,0.9776000000000000000000000000000000000000030268774,0.000000002158502959289468,7.114327384668774161141643494093040850973564431557e-25,6157457623425503.1120430487791016449444167359118
13,6664745762711864.0,325822.1112243237035529537616205389099018924786378,2060679.967027151336326666959488839278523781421019,0.0007483659086532722869154776021564595732876199677848,0.9775999999999999999999999999999999999999990385377,0.000000002158502959289468,1.130480233709649306638561716791745231804155982916e-24,6664745758028667.924495650054423818991813904753938
14,7172033898305084.0,375241.6923327960647033496208851820256514547172113,2373236.841655554029765663983661154429167215890705,0.0006427018386622232056419537317026766761507074292084,0.9776000000000000000000000000000000000000016033351,0.000000002158502959289468,1.736367030016340293270706359936507951045032417572e-24,7172033892469039.701808932881426685383030646340612
15,7679322033898305.0,428009.2055554691299824062912153131947567080943279,2706967.898148951018952132569012650751464428186232,0.0005577369016429743977054250386820304593371181030234,0.9776000000000000000000000000000000000000005930172,0.000000002158502959289468,2.589921923687937836384677824263281236325735768903e-24,7679322026734228.428023778448779807492229745847132
16,8186610169491525.0,484108.3651266135469666462187905237810505504631047,3061770.136281052951877689301983459128017364245498,0.0004884205577994405819629470721667963560465530590789,0.9776000000000000000000000000000000000000012431168,0.000000002158502959289468,3.765547126500467737767094182709990136350215092299e-24,8186610160811841.087312685314635955665213710013786
17,8693898305084745.0,543524.0287995218555593834503965294699999079316733,3437547.788074884288194394295151898822142046390883,0.0004311499261755069304978469668350043765254423904087,0.9775999999999999999999999999999999999999993742909,0.000000002158502959289468,5.353050011797305481718454235802314868834585581384e-24,8693898294689487.663987886634736554851871666312945
18,9201186440677966.0,606242.0534204311919087057718112035739912516035775,3834211.404372067740441105780699784621179135237834,0.0003832997416910710542737722596727212163178277791135,0.9775999999999999999999999999999999999999995416864,0.000000002158502959289468,7.459581638195660472592203151104492560766880239621e-24,9201186428354778.142509421531270112179103431594364
19,9708474576271186.0,672249.175926861190866732682422444994756668902997,4251677.10220022912562921304263001799835147323146,0.0003429209976716991566939925258995173815752668216629,0.9776000000000000000000000000000000000000003160154,0.000000002158502959289468,1.021168110981050920076626566923671307304670756969e-23,9708474561795319.507493150546915623138723671226724
20,10215762711864406.0,741532.9141650861680904025659505007082179389911253,4689865.937487613369578455134262382464913416223241,0.0003085425300477482623054242447190895871395729045521,0.9776000000000000000000000000000000000000000533817,0.000000002158502959289468,1.375742489776196466925596857815720106840472513538e-23,10215762694998721.74371867618217930840552043796431
21,10723050847457626.0,814081.4833810923964119799286766025114282996775189,5148703.376905524052410001780989934786952662457673,0.0002790372645791316454110235539056637251246193667512,0.9775999999999999999999999999999999999999996521436,0.000000002158502959289468,1.82686803054865640965366043448152743465409482815e-23,10723050827952593.83613724554519332688693395491764
22,11230338983050846.0,889883.7252662415964539072249712657508387049999612,5628118.849113696936578579136535381778067968579794,0.0002535301381400933650459585584237615289510718497218,0.9775999999999999999999999999999999999999998333647,0.000000002158502959289468,2.394346231140305092503323706369925825568321972891e-23,11230338960644544.76987958242625508183135196637688
23,11737627118644068.0,968929.0471754501845831832424061214632929949778122,6128045.360342312149170997043954291974045485583279,0.0002313335015192108388722708302381843958462468223576,0.9776000000000000000000000000000000000000000288024,0.000000002158502959289468,3.10083930678766631688130196882467416449363001789e-23,11737627093062185.53026366049280604210403318850761
24,12244915254237288.0,1051207.369673325323448751065889837579067796451651,6648419.162644629867491105324014663856855966591091,0.000211901022595167111343281012768685101382548352708,0.9776000000000000000000000000000000000000001079679,0.000000002158502959289468,3.972126337605022253645834861041672433181386888421e-23,12244915225193121.10280249388513442905015028547202
25,12752203389830508.0,1136709.08096230204104472373371986625440515068832,7189179.465675222477128607824400748491111531974534,0.0001947942785921376254001897401437063583475876911781,0.9775999999999999999999999999999999999999996448291,0.000000002158502959289468,5.03736954926660760273400261586932741219731181782e-23,12752203357024962.47321175710287425160660514357314
26,13259491525423728.0,1225424.997046538557083639283664704230108965863716,7750268.18474432681621141530333153895102867688015,0.0001796582005499749330528945694217064165018477034179,0.9775999999999999999999999999999999999999997329501,0.000000002158502959289468,6.329390665805824714241695082516681287616457904441e-23,13259491488545318.62741748647487861052670408982116
27,13766779661016948.0,1317346.326713629027856516252459014376724632880705,8331629.719342749206135606476124515887723956624945,0.0001662027897873558926009104838624817312604502143192,0.9775999999999999999999999999999999999999998567109,0.000000002158502959289468,7.884957276452210143642238489805308724083326711517e-23,13766779619741798.55156368023840548540791515443783
28,14274067796610168.0,1412464.640592121341328754429538165072762028497985,8933210.757444424997395876535750224999251892698365,0.0001541893418169378339088891664206876236670507380861,0.9776000000000000000000000000000000000000001195365,0.000000002158502959289468,9.745079161165591229382261111705370294566715017261e-23,14274067750602011.23201987187399005264949064603757
