,phi0,mphi_phi0,A6_phi0,lambda6_phi0,dv,phi*,alpha
0,170000000000000.0625,(265.65051346968570884661684232153 + 0.0j),(1121.4497166769130522565940058813 + 0.0j),(1.4209924968092854921689442033383 + 0.0j),(0.0018461540297372397558620910597825 + 0.0j),(169999999999856.59127106586174179 + 0.0j),(3.9999999999999999999993790637478 + 0.0j)
1,176224501537023.1875,(282.74761501898234299970622826837 + 0.0j),(1201.8650870673656747661901770908 + 0.0j),(1.3131339827887929269039219013754 + 0.0j),(0.0024475706081889235349431952044306 + 0.0j),(176224501536865.11079674762864177 + 0.0j),(3.9999999999999999999992996282292 + 0.0j)
2,182676911423367.09375,(301.15215848717058770291496332756 + 0.0j),(1287.9263690156986277552615325762 + 0.0j),(1.2139142365706468216147496938003 + 0.0j),(0.0032557200428285364565560450661513 + 0.0j),(182676911423192.72571547381072838 + 0.0j),(3.9999999999999999999992084159386 + 0.0j)
3,189365574458270.125,320.95615418372717496634217548908,1380.0541072572224221276862681282,1.122579727933188827426061053776,0.004344051176496211545117470385456,189365574458077.58462684815008179,3.99999999999999999999910361982
4,196299140983415.84375,342.25543508149170033409055285519,1478.6857591494936131775903204058,1.0384417798914726934366731314796,0.0058121332437953251635104480217705,196299140983203.03336082067977074,3.9999999999999999999989832290129
5,203486578070284.03125,365.16484991720158378513795745221,1584.3457500257717689108853409408,0.96091388109696802111254534508563,0.0077965563344805090967755925453251,203486578070048.61170339859623786,3.9999999999999999999988448396684
6,210937181117120.53125,389.78680485778405598974605044587,1697.4999745738288445422237351603,0.88940703672933044863743120823476,0.010482474003174498785554002795447,210937181116859.89570789496101345,3.9999999999999999999986857356352
7,218660585870526.375,416.24416707047705040871590342504,1818.707782899763074371848424141,0.8234247690364044375300327159205,0.014123055962168043521129843606525,218660585870237.61696261907729757,3.9999999999999999999985027807017
8,226666780887217.375,444.66474820565234973309842501162,1948.5501263769254449032066217959,0.76250783491809649084883713867482,0.019063607907037783141401158924875,226666780886897.25371308716947942,3.9999999999999999999982923684016
9,234966120452067.78125,475.1860400615548542196233904343,2087.6512569901722650123644932292,0.70624080664497155489112466323862,0.025775053874669262641599571058388,234966120451712.67782244475352087,3.999999999999999999998050391133
10,243569337969140.875,507.95440800558367393910574628617,2236.6749413929143233863484071719,0.65424494386068300152076759278651,0.034902556240494915168390738765952,243569337968746.7905992013336278,3.9999999999999999999977719696419
11,252487559843027.9375,543.12655142944334873181507801477,2396.3310469625176971568360371762,0.60617591118039471332624321661917,0.047323401242746649203090009725909,252487559842590.36431440803744319,3.9999999999999999999974517574223
12,261732319868452.3125,580.87167299862636356054265299582,2567.3852978817138456077083592154,0.56172158477673626773905002431915,0.064242802116646521800746366384403,261732319867966.29252560225356012,3.9999999999999999999970832559258
13,271315574146745.3125,621.369019400820378300187986097,2750.648050116013903194261455558,0.52059521412984076054667376876891,0.087300743187092452422146939883385,271315574146205.26962289890224008,3.9999999999999999999966593369712
