,phi0,yep_or_nop,mphi_phi0,A6_phi0,lambda6_phi0,mphi_2,A6_2,lambda6_2,mphi_gut,A6_gut,lambda6_gut,dv,phi*,alpha
0,170000000000000.0625,nop: mphi_GUT_Im A6_2TeV_neg,291.86379233617483526108091524756,1141.3846155633600839041437713157,1.5200649698377033700649332751267,918.828935454986491234586576409324349603389509558121028767093351143480204057565915287940817982999216130461211325924977386825903747130990539890377316876,-381.932417726852680662259380695002335059262245553772069949434665009453359714851626368090930031785539532854689753933780487139689919130984710894994531168,2.71885733230934559613228184208898779279268133661827811027041621106559250638075246500920768471346787816194311548461557089395577544928049058810249824766,(0.0 + 359.806240188920638751124741289462958347798622761590206683518313271725414414345568429958090778600032740960290795026293732443339210421778092587072671998j),1553.07931398213843042607935907032685333090422898016114818216623231097584447999635341941396718270416182575182941224244902597603363729980050425702891461,1.31452056139463461630816890535387246817495907000721209410647390967703008125957579573669340288947809160424027498921682939643480029520290226084570789533,0.002822917612137405246863813450136,169999999999856.3055796756179321,3.9999999999999999999992058314582
1,176224501537023.1875,nop: mphi_GUT_Im A6_2TeV_neg,308.77360687206522088771333323469,1226.0677258728994008227701745739,1.4005806547335541013082785430831,925.09127523128086150879699580272205762001944158732420586635600204459161322296759960517864554146441784755118206905745247793087756828783077616339494277,-299.937453691101395423263980133438151015924746253942318757387138707105359932445111032850787660310496828281018030739960432623606474332904457717594887165,2.50756534816634769686498020099473285618212907156061151670788062306778515249991995880371176667594098080701934213667513548299873603591462950061810123228,(0.0 + 343.385025298415629399422897458893164769287895162811928421475937315385411380108801057689407989010750479127184777178027922166983595621501106389282679488j),1635.07427801788971566507475963189103737424172827999089937421375861332384426240286875465410955417920453032550113543626908049211708209788075743442855861,1.21236453639352642377080982295814822681806766628412186271219175206795935108811014213579627567302077952591544990044635280244199660552002460167485739118,0.0036361323854483655711937564789018,176224501536866.36588678314629249,3.9999999999999999999991198890584
2,182676911423367.09375,nop: mphi_GUT_Im A6_2TeV_neg,327.01547034885948507983602613068,1316.2826672076032334730164738374,1.2910891785543813623597362779658,932.085664603070819588612495529999430201446557455972305795949934604292572593889675873188073709167127610834584262474022697205610032262924870539991767469,-212.412803221708437737185550398138527420099519469791667362094333695232574373461494502858310463156668103643933055885478222750168919219113272041876140937,2.31377157822784815974472849566485757253395229952575394596786234558526235438600612847952865757140815041818768008722262203284902689741172238146160549205,(0.0 + 323.91890489701701568430631300805560902512402561739693010016986057260991985647498217516160441997869226828612920022769141008222310529109729532609691323j),1722.59892848728267335115318936719066097006695506414155076950656362519662982138648528464658675133303325496258611029075129036555463721167194311014730484,1.11866859573967726826852065384903284759115707501540317696848522047139210905892741956853728618436386176042195633206832602074492035591419529069217314299,0.0047072371757758026532219927466512,182676911423195.72885658684765926,3.9999999999999999999990216810317
3,189365574458270.125,nop: mphi_GUT_Im A6_2TeV_neg,346.69054361224900358591671064814,1412.4966310990325948154684335022,1.1907128418779355565636161024114,939.910633303176360802019530988865936830051022825825560499168414184536419788322111662914185254595884724553946522617997195448500127467717943878249690681,-118.891279888015895614616864318106232305583026534940438346829467748936743217474013326259289908789031817643057389050789705339677394559835009486879808139,2.13595264801966181508785167254864314679109998910874354671497039249331769247203499974442592645151629737439374486709586055009921255400669633948581222462,(0.0 + 300.458224237335399822738091032119830762142444190014726200724963357800225879668061987221536020397980547235493040483882149425402797849093642076695206368j),1816.12045182097521547372187544722295608458344799899277978477142957149246097737396646124560730570066954096346177712543980777604616187095020566514363763,1.03269621418579907152787706814090137968563230921775622011545977770187816682560531264269716641075342983000623589018010239206676603226835242888912152452,0.0061228352121706814195339344839846,189365574458082.55813818474747122,3.9999999999999999999989094204992
4,196299140983415.84375,nop: mphi_GUT_Im A6_2TeV_neg,367.90669854995355094880483297942,1515.2065623379685938585483299101,1.0986484876674433139015931218211,948.676636547692884279693791559184190503460833696036980584654674423459537733783264571333846382854900436508569121316696580036874371725381375170008056186,-18.8759440229449715947476280742672421901373294856631460321574827177234837659336204926283053675217546698669675309615759600515602375173891941608162267523,1.97271308480316925973755245994872642912248815522909293523340512597205661367913831442530636015617987579498231776783371747756435101012295496063791614656,(0.0 + 271.51387142609785755252900666968891550526871586626796428234800778848379981933985182583331752303291613190795040380058498213189191897315278069790073618j),1916.13578768604613949359111169106194620002914504827007209944341460270572042891435929487659184696794668873955163521465355306416331891339602099120721902,0.953772704764693447793395360126201762055687890179858993543464762287892209329995934257493369792938003026070414047449875586821987876065870235274392006257,0.0080009762509551493842443736516842,196299140983210.22203332884592533,3.9999999999999999999987808583217
5,203486578070284.03125,nop: mphi_GUT_Im,390.77648634465364895543981845674,1624.9294718634663534476000461285,1.01415608135163931808873251714,958.506078492566869196536004186083294453244716053028484934383019086099073036475219013042603325781088608425992181511096629438166545383205943926807566629,88.1502101659190127559841613999950250556804438681112856230236336742244719299510333837712352812356894604387140712358719052318679237113639918093695420698,1.82276541827154627381722016759456385926549608193399840925064445731623968044477958475965612085926006839740683842840898529729668608876400363382496740514,(0.0 + 234.463729819842755232991696769491513428675711367334131321683070715902419081502129921198841150276417579342887942310633151909657783296385296718728857902j),2023.16194187491012384432290116532421344584691840204450375462453099465367612479901317127613249572539081904523323741210141834759148014214920696139298784,0.881275597819569689907780233490729351479757925206272808998914251897869998091824651028649752708473515443735357851175046366232586767735437475763880122992,0.010500340469477105988781425575974,203486578070058.2818816447758107,3.9999999999999999999986335728448
6,210937181117120.53125,nop: mphi_GUT_Im,415.42176275106883648421895307763,1742.2248266268170207216892354309,0.93656831529784035138926264441742,969.535850025114065162879493238539003568360110443010063452693381836036556799345752263788970702116204782130072023490699475867473821629360458977153365784,202.746644460149778890747283421716078026216785569458696621181560613775350533630612777719075307758912073030056960265407537010531250805507794487205929736,1.68494798893893045051814533095678503309788603193677524243325672649081037995128610854483358718037346793694942780379347566776551935990425263481403069776,(0.0 + 183.595693370815503855742305288522883536879014205430097350151799781112643990082919208130234011608056060770002879775450269952018296209256190567810278056j),2137.75837616914088997908602318704526641638326010339191475278245793420455472847859256522397252224861343163657612644163705012625480723629300963922937551,0.814643251052629028324909223379810863717547002310446726781306219934494088007780058746783115131739327974586624756479591318464834219723944000298167189617,0.013836662357179952732774446274134,210937181116872.3385758125507147,3.9999999999999999999984646858104
7,218660585870526.375,nop: mphi_GUT_Im,441.96830574615998410769158685594,1867.6687490031058316422572931661,0.86526972469430633591147629070477,981.915810041615697299203440524907622766372208009300037851534120055161370088988790646559151982411216942535996632158544154640064382688136236868667880327,325.489476041898344103508365210170242200425067319137009971837597006567565856573447403045507640726713009592359201886723497194362362798820716327814544296,1.55818795537485886852728149499049598553864564136651233999112616396060691257862633006089111906051414179479481454722649342103503027954001840706834585021,(0.0 + 97.7163502109481099516787236026832801536664512625851419685825678742999801190861742517897180608805347659555912568371386123658563340462931611678170052125j),2260.50120775088945519184710497549943059059154185307022810343849432699677005142142719055040485521641436819887836806295301031008591922960593147983799007,0.753356964161836238591803256165582355907249693009411364343141029091969307684849952005005457397341992343955564447171886644740957826103286599687051367913,0.018301984474513818204407597856817,218660585870253.15215561752820894,3.9999999999999999999982709333809
8,226666780887217.375,yep!,470.55916583148085283929083093114,2001.9170672683915593348405815679,0.79972012737461672068730696467447,995.815256651865502799283276748627616261162268130029339576021949228682045058721934410560097926157237363912795942008165172901746853179830346698719345425,457.034527970930376847694169140189046042743914148257957794047114010309589088494698669957504535505727780570830599551191664326769612695738188330923831628,1.44154398174299438070644806343310582052999418594965743710609339548081375327338832028518115914052383020330264952629615085391263458868358167797854572312,133.943578690394040634967795707526088912747339277185444462337594810550904631196430637340664566876022396950230849514158065027475823985955657253260695873,2392.0462596799214879360329089055182344329103886821911759256480113307387932833426784574624017499954291391773497657274211774424931691265234034829472774,0.696961617528615466247963962149374733241888873165248731823568019657963104095492035557337501021947684999134261223645754968703001571501296635837502173527,0.024294679134750917975102458206173,226666780886916.23331163784612787,3.9999999999999999999980484813349
9,234966120452067.78125,yep!,501.33273209270260620196309895285,2145.6017660607063645501017651458,0.73940374718815371487639554281588,1011.413516371606662544326805346722360031884823857189453400252495258125083480236505823413548795634851246000360860258716283638592262175302389126757141,598.013779645482908701636291371011036546006166739460868647547539851452657136822981005655193103960177554244434878827237552527986340230231779663755358167,1.33411508360222612722168123795149861143884968164570974855227290150471947768198996973956814510280011479643673794512912327890620068275255042653048283548,221.92376616970810011566787611269668520851911458081458272943745665848308779396445769856562364179616844764958407589230364533052703295906149116614790913,2533.02551135447401978997503113634022493617264127339408677914843717188186133167096079316009031844987891285095404500346706564370989666101699481577880394,0.645021600737053161469233203081209951140738179876636794162265633941446447194266335068072787945194357208477097707753723247676349987061263890454884765642,0.032354482631811618773365888820635,234966120451735.49805757486497203,3.9999999999999999999977929827563
