,phi0,yep_or_nop,mphi_phi0,A6_phi0,lambda6_phi0,mphi_2,A6_2,lambda6_2,mphi_gut,A6_gut,lambda6_gut,dv,phi*,alpha
0,100000000000000.0,nop: mphi_GUT_Im A6_2TeV_neg,93.212676096019163554872251289764,416.85976023073712778177920916063,4.2241834163536173680184674894237,545.049343325900312954850557070397715631920791204240244710155963255589076676621975149906763426936362664422458743457429786775025987778264344188609990021,-443.678242956513412121581017941146378232816710753759282348929856352839305076465059315220514831263471318638426107313479729503449213937521602334619952934,7.44833513621441397829336344244384698063600783711598337502484840070129396934186543919716975354546187079318236301023330018350492486161403073963156985063,(0.0 + 278.240108653996351327042464624160308742222875855713363788543623910998989092524483947412629562084420383989619198484479809740087678871742944741185766184j),659.344466874585882336393998500503337722916379439147783150786852186125583246760715294033259493249752623538725970048497369350869341677708346189690851947,3.60174276491878138479359574906192969920582495536117143168761812573869702601044352139250626716603163762606447130459094715121231986324383974487543292179,0.0000000000000000000000162535490997455,99999999999976.3414365039121989,0.99999999999999999999998295764162
1,103600836355835.21875,nop: mphi_GUT_Im A6_2TeV_neg,99.730041104392928543995359529305,446.006302616541577017828060197,3.9232026604689671185013700504171,546.665458043681159295156137278827663181928791560976087596676757198590348944556611408945626457136425840016226073406236772504717470469497418752791824993,-415.97202335919004530021763331688471809449942538143089836372158072928875433721232183358198550966342588885548598350256900714634061847563283327283362451,6.92415338699997383040795901967102868046762111150008637076946771567172424030283228276447442707485420745460923352985820836142402544598430389652602252097,(0.0 + 275.051307405864045270523741998402122448236889403217383478658555666502101519838235046962942357306370162613276552930128910872532647414884129035719338479j),687.050686471909249157757383124764997861233664811476167135995127809676133986013452775671788814849798053321666093859408091707977937139597115251477180371,3.3482676207142561191468028021742197036742919404882853147652958286089494131325553389979901439045374094587365016977724183643182252678075197068095204277,0.0000000000000000000000245279094711777,103600836355808.9113362138630543,0.99999999999999999999998043252283
2,107331332936285.484375,nop: mphi_GUT_Im A6_2TeV_neg,106.70349559680010862609179657511,477.19253918258906847808995671607,3.6436809864734365270989956534889,548.443121926204626429855708367385517066290663340736994414525794050832805924467091993992232539577998522932657791915839049884715906075717716221461755981,-386.226844470553594541273996905810346187612997207298204518318549065402708130361812156863170147713699795854068943339325925377526792406494564509130360443,6.4368887096480054016404671219805155210838321263580923531790547269716559731815865731260694955381561866413242062760445659724914491251827712146558979093,(0.0 + 271.489386045976194139410966652347706818949425846055138959632030027166807590186941050261849927660659907331153431794890972953594420135929896678484595544j),716.795865360545699916701019535839369768120092985608860981398159473562180192863962452390604176799524146323083134022651173476791763208735384015180444438,3.11264422378626701119618505077692015066378707364383780000289291396127342188798183052343605122070297375672303141930975457728540373457234818809715907346,0.0000000000000000000000370151113871307,107331332936256.23154144442639834,0.99999999999999999999997753318807
3,111196158593857.796875,nop: mphi_GUT_Im A6_2TeV_neg,114.1649837986925852883074309044,510.56132884807757404765812769647,3.3840874156655629679194449383754,550.404730895341729963640365972959315291184409237956362605097931730744522618449779192579112265301991350840400617750458314342766751411905113899700883065,-354.299848325855009016459580664694594187494594092198862684957014163251915004526806660908401277264767208225567248212979901398262956145990299982004447114,5.98393912602047450584604042996040560960328208285576159720449080791223080993641842037328124448004999900501634623165893264301526935250426793188900701233,(0.0 + 267.49014361618878203787099746081601191586914854721585472161195639165100330958770850838867017664467538502703703815661970898106719058925392746324451408j),748.722861505244285441515435776955121768238496100708202814759694375712973318698967948345373047248456733951584829148997197456055599469239648542306357767,2.89361435256425452537841410410596584658874026493663844685269899885318927260507309297870216323565191334255771987328312763954183639676622116236281672876,0.0000000000000000000000558603647982787,111196158593825.26884780634906943,0.99999999999999999999997420416852
4,115200150298797.625,nop: mphi_GUT_Im A6_2TeV_neg,122.14868908664722646995760576125,546.26554432045979528145774431378,3.1430002698930872462842537406445,552.575652033418958444326554984204078899519251073645291251603711472830243868521824382230469612350780158108214951959046016821234504519306023210391824717,-320.03816317525609736948416304345224856261919734167499399048377317049602512471041742554229615002064786058391591072760480898415209229172866261559908712,5.56288619342601968364328773361094629252348088773639624206678979664223422053558626102644696870431464468355065845306860175409439797543245579345990616424,(0.0 + 262.976222316057954659108547364719464969905972775793834601354245355087321574753948717609856586885398534483283120801196263140126574593245930400826640685j),782.984546655843197088490853398197467393113892851232071509232935368468863198515357183711478174492576081593236166634372289870166463323501285908711717761,2.6900085365146453062570277092888221380934986234957503009571869071392065331858020872063406483444587202610830746808213252407849218110299863906252067607,0.0000000000000000000000843013709600157,115200150298761.45508329429701118,0.9999999999999999999999703817718
5,119348319192733.546875,nop: mphi_GUT_Im A6_2TeV_neg,130.69119106393755124214010547283,584.46877455875485713107950636898,2.9190993628167651281254408436449,554.984579845370182590779420616787449895001872270701947280333797636439444923467788940666182909516848880511322791836754132565862876520505903100109796807,-283.278201020535271414134018436810089838545976644396720188868060924626726644788196235656328076824447080820442506465293684040449658989526709002909742196,5.17148204818391595451368247298206118389884214071321497294018384146102642225856543280735563303160589839376886399659007964288285152257539550586114631446,(0.0 + 257.853564756512093909090010807763300473152413449920601236849685000227331775111820084604848715201588698573898706715955770414420371292922361505161903812j),819.744508810564023043840998004839626117187113548510345310848647614338161678437578373597446247688776861356709570896683414813868896625703239521401062685,2.50073979088171718120445022374339685234055494155818931538618033205333172955497254466292112181287019364129585258094513330463720984349221813178060934535,0.000000000000000000000127224763546665,119348319192693.3273170566629538,0.99999999999999999999996599286254
6,123645856860303.765625,nop: mphi_GUT_Im A6_2TeV_neg,139.83163366303168907887123076422,625.34607655077355684464775778466,2.7111587494577784114809942209399,557.663924557604482617938850515703885950754338869903791866397707292920912600453577811768490276060380205108757829771046873272793811660185580031108044181,-243.844905837879870669727172402135496366587371001715056621629250313844153199548637890411540094319590462328103169950302899413557107812011631588701806961,4.80763736458688827673482023585416057261528974057841843875984582406658647137631504046593914695193040773594368741458934165059195470594790256782078025331,(0.0 + 252.006531603435356987240054976941686103738469323259260009394072099845495880942955588920561813511266196190453958209634128466786012062930273345368672863j),859.17780399321942378824784403951421958914571919119200887808745822512073512367713671884223423019363347984904890741167419944076144780321831693560899792,2.32479779408190599328986822060562702190344409058402664548382487321308121181486456598285060156092556211100881724303200990334449326568957131172962614994,0.000000000000000000000192005997509365,123645856860259.04302156358160998,0.99999999999999999999996095346214
7,128098141826613.5625,nop: mphi_GUT_Im A6_2TeV_neg,149.61190504967097206233434093822,669.08477986861668723802628099106,2.5180399940843688530243019719957,560.650232336596291320048622109382409876830039168053880022382703537642219766596170058140693810688141588059467602532965822245168617200739514563812659587,-201.550949022405512480098241337598736749547309029013673926940026650167793626903913045951809268801996095512410041498677885123566064423355717166450848059,4.46941016453289691135092128916390163690760302586455571382156655599979206950009840247120844471155925058656538431969910014506676521804030757112845961956,(0.0 + 245.290973549177804945017424731601801165415338637756815298198177190910511711735755929233010895971068181571415239298852920184492324070027597511231175297j),901.471760808693781977876775104050979206185781163893391572776681888797094696321861563301965055711227846664742035863299213730752491191874231357859956822,2.16124347645055010837658101154905542616804707474709484617613520486820192391014732571539020264882947227674659065636443198104447243218666114249092917502,0.000000000000000000000289777089572221,128098141826563.83268295554189902,0.9999999999999999999999551671408
8,132710746288656.171875,nop: mphi_GUT_Im A6_2TeV_neg,160.07683015764272150990492557464,715.88534771035500344409878249932,2.3386859193534746343071671466298,563.984636335299636565664736523467426475295685933991528652554144520296369988886228752869356529083683397745470604758704342096744234030342637005068069324,-156.195868346494114421437236253586885054549707244301048909403133494104565700934960996142557864877367114553356408876349040662151326173800803625419109517,4.15499541767716774580591841762144556148285262099825051684774180319001658651412184221649092429922631705277295781703494597353275239900169871056669154435,(0.0 + 237.524050785436598135018663275913564853392267312443163037955956899125553837718418050601033396139846291531814628726099603051893513155419658107662800961j),946.826841484605180036537780188062830901183382948606016590313575044860322622290813613111216459635856827623795668485628058192167229441429144898891695363,2.00920399125534563475463466119406760570323818596206920601904380114106527588216637402968991233399568942015631434954746804678626297115648353526407420396,0.00000000000000000000043734019031041,132710746288600.87422877081284149,0.99999999999999999999994852317108
9,137489443089118.34375,nop: mphi_GUT_Im A6_2TeV_neg,171.27437674163988463104056085707,765.96229839643143448761514745805,2.1721148022785260809556368357747,567.713336254889435170962333443475566065460310644237660090324971117119201258743521539594472722156843265568365670732438665333474640812291534195314893817,-107.565146463408946228751042071830646894926331241727998717074047149224308152356458804374053575218632887160184276841833420465940108931528391911043577039,3.8627153762126959904792235585410618400006825447840326496765338124725925876086387367455677883268427993269325623948952848726952823648200305511175113996,(0.0 + 228.468624896561427467085278621273504267092759458570181574724390220994591486975247177832584981671877696187932673424427288846359978402556906677139852551j),995.457563367690348229223974369819069060806758951179066782642661389740580170869315804879720749294591055016967800520143678388378446683701556613267227842,1.86786804094929348698329076312102612613134909540365330882339552284588318345579548970424542409819495145728636882952559169210188202258714939909740485875,0.000000000000000000000660056036373873,137489443089056.85489160032791342,0.99999999999999999999994089440762
