,phi0,yep_or_nop,mphi_phi0,A6_phi0,lambda6_phi0,mphi_2,A6_2,lambda6_2,mphi_gut,A6_gut,lambda6_gut,dv,phi*,alpha
0,170000000000000.0625,nop: mphi_GUT_Im A6_2TeV_neg,284.29541727828430308388751551227,1117.9707746587681911436902150107,1.498707888022502544954848545923,1592.10550616678053766028344691910732630170571684011668831648648012939117661979406028171059809893409880937120585113283578361480614612526189575579779635,-4022.60265647913861624271085293451067513846210277982935608902647610249317909726387686949482767124341961874812102653026220783620676504656535899046017822,9.92821739024161368403419877894791217924148337618502076472481861173665406293150245892719472694423616463463864748309790079610854830429829615892897712469,(0.0 + 278.123256272878868671903554036377579698452637140488835301468059856303752238234387056674809851695186462133857968231432994653637245863481473326229230191j),1634.21062318527918152499638082545263168225039489136989445638911690294844454452814219007052823584322316573679509428425973767358180790526050639704313385,1.13113094966603390553224097363339953389574127904983708649533514571607634249884027119781131823908694436046687192236421203311182434408955172157479200953,0.0025351176420157675403299302141464,169999999999840.0645666920326471,3.9999999999999999999992480695384
1,176224501537023.1875,nop: mphi_GUT_Im A6_2TeV_neg,300.82714218768139908040974522881,1200.6921597402798164818516902977,1.3804391210532518459241369758199,1595.52860524995130657051799610863407663110031416468551296011261511682458074317882851537853749480393632187017014597162098202620031498856110968587232462,-3943.75739853881556133790359064577256164992942220810323740082918463053209600631169434191332741626890192636029893813014475127613774063896881584752077477,9.16332630361669597109756571898150700209535461762220139257123450393099239917587824138858784735304298871413139093308246575382442453524452861001029067106,(0.0 + 257.761436750253569736006623366751502176043263808290048973043498684731187729760732165204007049518507999980337101424093804409750817699757147218930049522j),1713.0558811256022364298036431141907451707830754630960131445864083749095276354803247176520284908177408581246171826843771942336508323128570495399825373,1.04398620381714467061151540700201782767713975383365198975409927126392941857369278450410535692172109915595696328777943219655167994692930510782477669611,0.0032680006342017544150148474453712,176224501536848.59379427552183782,3.9999999999999999999991663603822
2,182676911423367.09375,nop: mphi_GUT_Im A6_2TeV_neg,318.6746219634602897272185376787,1288.8857709633339235962996170491,1.27216000642013472019297311397,1599.37621469320836928015184379799411781645961488476933466656421325160175954010418671936301864070021228835443451602627629476193123137560651863733376403,-3859.43530540286004734594231358084839122765927285543484954787976965171371894496470598213760774394705946290364611302227903553765505477473446010215500111,8.46172182701461270693788621593545460224799398955505244482286280177226461315947921735749299650125215318972088734380379373482437313407883710119111588093,(0.0 + 232.697684389067706896404842209353925236862080121772274529913735662554888887554591315081045390756700418792237221173197342968758828843652418747155130531j),1797.37797426155775042176492017911491559305322481576440099753582335372790469682731307742774816313958332158127000779224290997213351817709140528534831095,0.964051759725611552787836865357716021876552385182804787315365408607673434704495507775265961521200772560895754071486679532270326191519844870918812028673,0.0042344556934606386170665529534596,182676911423176.23541276287929041,3.9999999999999999999990729312687
3,189365574458270.125,nop: mphi_GUT_Im A6_2TeV_neg,337.93709191795707651930562325698,1383.0112902137737585415378482058,1.1729748949759631038564760808393,1603.71011933512203774826431705237082949236339098138089376639402044665782444926561384754879320350188107149478920519915516772601719976873404245662030753,-3769.17670807587216241824846874220056292682323489916736210655189560939806773765690237149061601097924204826864744615013416223956604615325682220467755736,7.81783211845707352026477643338980638076642496191208387151862299675904496028304669627695412027835663336320106526599027576942049361162487383378352817982,(0.0 + 200.664749242457999835364042960160369178081424923954385103200429336184858351082053959565671452436784563357341688430104271637006151254484886268910651301j),1887.63657158854563534945876501776274389388926277203188843886369739604355590413511668807473989610740073621626867466438778327022252679856904318282575471,0.890692812304019027293646916869953226114953335828752402934717104728989501969546830438872428861086267509437215116439323885555823289193515302336708170947,0.0055137876509027408340723827647898,189365574458061.13638857522009252,3.9999999999999999999989659775263
4,196299140983415.84375,nop: mphi_GUT_Im A6_2TeV_neg,358.71923282392918923570754165521,1483.5523718357065696148153713514,1.0820639209024126218383823345183,1608.60056529670203152280216154772307637046839264515221318563632305077012595230878109099683870642368173510739119141502119159441730054399606427500785015,-3672.49796508347291825528130138249200313398980156341238145174800641426110853731436028785967072204515655391663100774152029085962614640788308467479355792,7.22654418997580727325803424106931386241863378708303387638618488723274271446729075335328478001152973920228759208703674799011346200326414895769573214977,(0.0 + 156.705806444881229321778215268542918101798082479563806850491264387514171197687788037770151165957543623616139803850551597566758056885677675585676088558j),1984.31531458094487951242593237747130368672269610778686909366758659118051510447765877170568518504148623056828511307300165465016242654394278071270975415,0.823326834124848628927459042756572457483169355219371440974747607436321219025531327231106882807589377590666569888546149958728656220378105766025397901161,0.0072130629034795703086458474464362,196299140983186.63578952575146581,3.9999999999999999999988434533646
5,203486578070284.03125,nop: mphi_GUT_Im A6_2TeV_neg,381.13221529219482390796828279738,1591.0218247848495640115493138997,0.99868148738382870796585154461748,1614.12744252402785098707749603246052460551725513562334814402262711371257070730091606645196675113024571393096001646511604240199091056169830569352543832,-3568.88628031912802135413717397231135211987214081273529409660930094560199256979292071905076513447229172147109597835879191843032890863906866673785704324,6.68319872926129383307243733412482772682547057261219838676156857774961544845116032989653607653357334067875324070088337054045615654084455676712189248622,(0.0 + 82.1284831057476796316900675815856538735358046851830826612611729553747718527422639668091434692961287023764810342501209878180211460856968745040845952849j),2087.92699934528977641357005978765195470084035685846395644880629205983963107199909834051459077261435106301382014245573002707945966431275719864964626883,0.76142298544615047967308062598290036427980944431667987096485336928121602808830018273693619064904246016793735385227957622927180800923257627282959324856,0.0094776811957220850813254574548942,203486578070032.26872670210905526,3.9999999999999999999987029435196
6,210937181117120.53125,nop: A6_2TeV_neg,405.29428912256070990597497608991,1705.9643852609077660774239144209,0.9221511905853242249849625396781,1620.38148935422362720585593557710385303783105695625510523496577363946414139511246586604390314617746681898593879376767833268647825470756687963538770343,-3457.79693041193816811065394989543452668248821995479087611230399692766666505069626186965263248390119161810660266984456957401966489784171224327487173602,6.18356093699005054311418746660374527557530634522068806376761681571194371546856065341576808925366300206183144903942991402837538418683280207792063902584,116.119260225864436491348719648063336312921133845735531789686602043832629272020824785399878906883649065034144942551001292979493695596667169554338908576,2199.01634925247962965705328386452878013822427771640837443311159607777495859109575718991272342318545116637831345096995237149012367511011362211263157605,0.704498791681386598535693598336884647908683018484534058056379410904462942733491950813961015311232481342259416308686091362940616533840972128097399220052,0.012504498779584495767045482053777,210937181116843.60520791782699423,3.9999999999999999999985417272207
7,218660585870526.375,nop: A6_2TeV_neg,431.33039672664744622416746144836,1828.9548147924882871766496627523,0.85185836177729285442870969501003,1627.46534064189574952875756592440512091259992294419837430705467324755701767653992890650489600828941939324861637799240983173160907653173279054820445582,-3338.65516664189284545715122143500542540798553273638656868081884689176317030197176748481564645077061508971231706498682114187399528383796870087424570474,5.72377496823444264166193641071436039270855422164287767073552405578954660065358553388385348012977107587941598805999656066350376729856622716060305981656,191.026036299327148317351984911018728941092166871068220220826118322017881678803171493765650840548918686227017041980408779371120505817078889575827843388,2318.15811302252495231055601232495788141272696493481268186459674611367845333982025157474970945631602769477259905582770080363579328911385716451325760732,0.652114952867297989337634926027117148905094083424684274396697750264231543778957988815206540972354723804310470253900533880841418538770639063101843984668,0.016561058048697243985821502361581,218660585870221.3697193376469448,3.9999999999999999999983566402878
8,226666780887217.375,nop: A6_2TeV_neg,459.37338206068474800954027683017,1960.6035572271664860364315212637,0.78724701198260442527272172404424,1635.49502844784688097802757321477543333124870263463227343951153214607939009122259727593643684960033632668255651586138577939571352782693870636848972596,-3210.85055794997402535077757157666438563344649278921765471083614215137933800924395494086832724607915748972326235126343943609473210416072033137856031964,5.30034742673909367308453794435578782976596414455907198532647831056637427613411968985412439689458861959524935115351657220367030563127507673574872385415,250.382706334150727594515954238781972037769671410104917407011443252352164134451273782343596711956291685126827747887935568467736500561271182117824770434,2445.96272171444377241692966218329892118726600488198159583457945085406228563254806411869702866100748529476165376955108250941505646879110553400894299243,0.603873463151616788582654020083792927239948214558556354342163174308732698196417209082448290070331082954277506784912682140991652246597152028045952938747,0.022011092160063756514030664799325,226666780886881.03750697781815537,3.9999999999999999999981440431659
9,234966120452067.78125,nop: A6_2TeV_neg,489.56515104219864787453173970141,2101.5620011397433422537012197696,0.72781542066970620258802482277207,1644.60160389457222915257262306166505256715055010125411994499566299117806793451959746389192902862627018405543231806086907846384301244865059864578182942,-3073.73172853006864713617313045365840169367332819190098390242482287259380417131426442528146013118529316669274292290405996570100466256677484674156602187,4.91012147985009445664174262585847184784142963925390811266348359072915111150241729230711130049863958039818352210410746325745462774070002188548766414291,304.239949852397816757784912584957870842536131582207574247478814362908247938148809216640963291816249903703217459765853235293509306895521871740852183484,2583.0815511343491506315341033063049051270391694792982666429907701328478194704777546342838957759013496177921731979104619798087839103850510186459372902,0.559414661683114784116458236631169996269265880316643860998812586775687557133006223220427727379437931354647612373517212521622325506227068537511742362081,0.029349595291634591696489882691956,234966120451696.48163103605875337,3.9999999999999999999978997517451
