,phi0,mphi_phi0,A6_phi0,lambda6_phi0,dv,phi*,alpha
0,100000000000000.0,92.581817003756622314645565510636,414.03847260169142014555599510613,4.1955943378376629075878762376967,1.6041344443256e-23,99999999999976.341436503912210619,0.99999999999999999999998295389149
1,103600836355835.21875,99.055048265098425798714401255888,442.98764287056537836364668009602,3.8966496412022273434963997515536,2.4207652794668e-23,103600836355808.91133621386306823,0.99999999999999999999998042822143
2,107331332936285.484375,105.9812788596300237108980467117,473.96268774498825054799526076482,3.6190189322584250600154286641111,3.65317771252216e-23,107331332936256.23154144442641489,0.99999999999999999999997752825435
3,111196158593857.796875,113.39223647035604435477692462362,507.1054977368938640215630298641,3.3611815786715860065583556303379,5.51309021478165e-23,111196158593825.2688478063490891,0.99999999999999999999997419850949
4,115200150298797.625,121.32187274531613052648725293198,542.56790923221179631800045658537,3.1217255103898374767097118958086,8.32004285289183e-23,115200150298761.45508329429703454,0.99999999999999999999997037528079
5,119348319192733.546875,129.80651930735958815385537392118,580.5124021877899127425928061981,2.8993394636230595567404130832536,1.25563141623267e-22,119348319192693.32731705666298157,0.9999999999999999999999659854172
6,123645856860303.765625,138.88505471599223807743207264727,621.1128468074727853555541480276,2.692805779338707157698498569756,1.89498122697692e-22,123645856860259.04302156358164297,0.99999999999999999999996094492211
7,128098141826613.5625,148.59908315068895026342263761893,664.55530263816823565268401791222,2.5009937165994688096363427247186,2.85991918499904e-22,128098141826563.83268295554193823,0.99999999999999999999995515734507
8,132710746288656.171875,158.99312563915456383634970537706,711.03887376862860708438671588139,2.3228532439086142786151273283777,4.31627098900925e-22,132710746288600.87422877081288809,0.99999999999999999999994851193496
9,137489443089118.34375,170.11482471189902832802413859236,760.77662407253460939831838776707,2.1574092743663647331412331352888,6.51432948385441e-22,137489443089056.85489160032796879,0.99999999999999999999994088151924
10,142440212941306.6875,182.01516342648343858831352216776,813.99655671470102803789685630565,2.0037563128885273197479050168668,9.83188512949065e-22,142440212941238.31425149635429914,0.99999999999999999999993212006863
11,147569251914226.375,194.74869977107536438432805920924,870.94266243564449337610477889124,1.8610534860122684354548255614867,1.48391802861991e-21,147569251914150.34657415812099511,0.99999999999999999999992205990058
12,152882979187187.90625,208.37381752798373912471613502694,931.87604144741765487082090770168,1.7285199269232382368948701697644,2.23969587157657e-21,152882979187103.3655610244593757,0.99999999999999999999991050846796
13,158388045083644.15625,222.95299475380438157792168044684,997.07610411332117226034753534168,1.6054304902975769619074960539658,3.38044748132116e-21,158388045083550.15025141042811262,0.99999999999999999999989724467128
14,164091339394312.6875,238.55309111414565193722191748376,1066.8418559478614419919745525068,1.4911117733707513864851472548361,5.1022921833515e-21,164091339394208.15644072061211016,0.99999999999999999999988201462407
15,170000000000000.0625,255.24565539795690484001514520637,1141.4932728626355495197219113789,1.3849384213334658330870952814929,7.70127138220989e-21,169999999999883.82797754386670956,0.99999999999999999999986452678987
16,176224501537023.1875,273.41296814940899804068732984577,1222.7399654241267926802264301452,1.2847592021314349721605743079006,1.17036933054057e-20,176224501536893.71210519538088606,0.9999999999999999999998440903763
17,182676911423367.09375,292.87444346279157534190025943759,1309.7743289104417236632430853499,1.1918308590359733225325313542997,1.77864621271413e-20,182676911423222.86914696832567272,0.99999999999999999999982057048789
18,189365574458270.125,313.7223463629108798181182553876,1403.0089850564052702232204865731,1.1056282489791454963743547186116,2.70310133942308e-20,189365574458109.47103056408853402,0.99999999999999999999979350179732
19,196299140983415.84375,336.05552482903929035833204676992,1502.8859954642004911518258502402,1.0256642870839316840413999199422,4.10810165913366e-20,196299140983236.88886052219051868,0.99999999999999999999976234874178
20,203486578070284.03125,359.97987982575949648034500304905,1609.8789636452067692695215070478,0.95148718664915829644688309549164,6.24347126619255e-20,203486578070084.69068854073196133,0.99999999999999999999972649491973
21,210937181117120.53125,385.60886891844285149663485674883,1724.4952872568880489309788382171,0.88267789943285492506679079815854,9.48892722210452e-20,210937181116898.48277980257828296,0.99999999999999999999968523088686
22,218660585870526.375,413.06404587469818330087799940428,1847.2785712738334326085250838272,0.81884774168756471767997442071344,1.44216237052742e-19,218660585870279.03184637348885114,0.99999999999999999999963774010921
23,226666780887217.375,442.47563882494519261445609201405,1978.8112136004452383637009200217,0.75963619245835318750572365077785,2.19188230899762e-19,226666780886941.85571544238548907,0.99999999999999999999958308279523
24,234966120452067.78125,473.98316973935431286829255347347,2119.7171754560350403369268982433,0.70470885163463729099365112554416,3.33139641226052e-19,234966120451760.87614650251481123,0.99999999999999999999952017728644
25,243569337969140.875,507.73611817568089177235661725983,2270.6649497453779652433036119384,0.65375554615595053405477306146633,5.06339010995488e-19,243569337968799.00875748257100852,0.99999999999999999999944777863804
