,phi0,mphi_phi0,A6_phi0,lambda6_phi0,dv,phi*,alpha
0,100000000000000.0,90.503585711136712776900165628763,404.74433971516067067196440281495,4.1014136906412556638591536106233,1.40275721674182e-23,99999999999973.657778555089636388,0.99999999999999999999998369367716
1,302564102564102.56,750.56417100629670563638316998212,3356.6250156917123359918408836841,0.40586912817113989106857128363678,5.4824710426314e-18,302564102563372.92928323933171143,0.99999999999999999999877077634037
2,505128205128205.1,2000.7596418700000972462040729558,8947.6691317189093368333965196532,0.13926956933375496316649172464675,2.13569381025539e-15,505128205124809.98838956136011234,0.99999999999999999999089866410873
3,707692307692307.8,3815.1200655290730871076066619867,17061.735617692919183488422722745,0.068928384627472973418595010150185,1.08276707247287e-13,707692307682971.21302572868479144,0.99999999999999999996601479636391
4,910256410256410.2,6177.9587680890869856875567503931,27628.671535276114056734559286043,0.040780994463226983801832279545388,2.03056579074027e-12,910256410236542.73111991838437635,0.99999999999999999990911460610687
5,1112820512820512.8,9078.0624372388636119009214685706,40598.329427307034579820747240008,0.026826280797560452789496057121324,2.1086611555546e-11,1112820512784210.9831002489577458,0.99999999999999999980068462544255
6,1315384615384615.5,12506.739771930492600952217511298,55931.840613873595286296300828083,0.01893219076639356438295873995842,1.47934753011156e-10,1315384615324662.5343947484671152,0.99999999999999999961680347810412
7,1517948717948718.0,16456.917387897192934839450983461,73597.571958872796445142368998441,0.014047139033102871161944410541606,7.84867489632581e-10,1517948717856583.2004313200865559,0.99999999999999999932921977981419
8,1720512820512820.5,20922.646229348114477308169887707,93568.918476004078698953107301813,0.010820635055364749829195539560707,3.37808649521131e-9,1720512820378659.5466377051837933,0.9999999999999999989054153903872
9,1923076923076923.0,25898.802696700712117490504111217,115822.96673135532121437493760977,0.00858145347564086023340516999823,1.23583596034199e-8,1923076922889577.8884414448865239,0.99999999999999999830865854504566
10,2125641025641025.5,31380.894123740242734674063168755,140339.62491081375940916688438914,0.0069658386425613288922714045071118,3.97033262466565e-8,2125641025388024.5412698399922571,0.99999999999999999749804958018514
11,2328205128205128.0,37364.92520574943465550463157799,167101.02546850210318952628998944,0.005762977738267215794356028820946,1.14697399741199e-7,2328205127872685.8205499095768816,0.99999999999999999642856101066637
12,2530769230769231.0,43847.302400595111477211261556759,196091.09759544076845896361168239,0.0048439593251985465602738364204309,3.03282040399783e-7,2530769230342248.5417083481796385,0.99999999999999999505107316066572
13,2733333333333333.5,50824.763207184859831262481172732,227295.25094319114796258428234965,0.0041264136740525252585174728891684,7.44096679977707e-7,2733333332795398.0201714831645434,0.99999999999999999331240620620239
14,2935897435897436.0,58294.322413836840899283673578269,260700.1352392576055257433931654,0.0035557443670364739347395905749816,1.71219316817349e-6,2935897435230821.0713652287704297,0.99999999999999999115534926300707
15,3138461538461538.5,66253.230313555279923408877188504,296293.45342011862294016997742836,0.0030946219781880493329672412029323,3.72680008098372e-6,3138461537647204.0107150415864871,0.99999999999999998851868700070814
16,3341025641025641.0,74698.939596287188022246965211097,334063.81356889769670052854834557,0.0027168333060662475984226961673307,7.72680818147404e-6,3341025640043233.153645874129672,0.99999999999999998533722415685822
17,3543589743589743.5,83629.078683350238064495418456733,374000.60966329948106326287257185,0.0024035400268016330540229211746171,1.5347293483635e-5,3543589742417594.8155821279050487,0.99999999999999998154180824653337
18,3746153846153846.0,93041.429943288069686520230069367,416093.9241539530487012749259043,0.0021409263699748501220275274811547,2.93428998220688e-5,3746153844768975.3119476057869659,0.99999999999999997705935070555232
19,3948717948717948.5,102933.91167274221111969143662613,460334.44738042133456432889842958,0.0019186767480981311759409810633227,5.42198431639266e-5,3948717947096060.9581654637664903,0.99999999999999997181284666169553
20,4151282051282051.0,113304.56302688728412912370973062,506713.4101780585896885170801589,0.0017289650883460370117360391927907,9.7158317292789e-5,4151282049397538.0696581621050403,0.99999999999999996572139349464934
21,4353846153846154.0,124151.53129272569650542754324534,555222.52696245398680337812304075,0.0015657685143254977143144244134172,0.00016933188773049,4353846151672093.4618474151805955,0.99999999999999995870020831905149
22,4556410256410256.0,135473.06104640235665099127457823,605853.94723946890668701323831298,0.0014243917561203499661348060315555,0.000287760844189107,4556410253918411.9501541453011414,0.999999999999999950660644504096
23,4758974358974359.0,147267.48484241382317087248068315,658600.21396611440656902730085245,0.0013011315292264036220192550816633,0.000477873304275517,4758974356135181.8499984238894858,0.99999999999999994151020732634031
24,4961538461538462.0,159533.21516089903565651601873453,713454.22753774056210857809528378,0.0011930357540486419940395391645888,0.000776992064739547,4961538458321088.4767994305993245,0.99999999999999993115256883869152
25,5164102564102564.0,172268.73739754810273572920769136,770409.2144379555106046104661112,0.0010977282087483250435343601417257,0.00123901780552532,5164102560474817.1459753979414845,0.99999999999999991948758202732638
26,5366666666666667.0,185472.60372473297028776821811683,829458.6997847671892747654395424,0.0010132790749510318948169538200832,0.00194064137540515,5366666662595056.1729435527388744,0.99999999999999990641129431900332
27,5569230769230769.0,199143.42768616537923934955832378,890596.48315715883924247942263518,0.00093810815888850874503282834241813,0.00298949072280924,5569230764680489.8731200785320085,0.99999999999999989181596049345896
28,5771794871794872.0,213279.87941345828644137930239543,953816.61720290134730606164386306,0.0008709117006333969930623783769641,0.00453470286867027,5771794866729806.56192004543588,0.99999999999999987559005504904035
29,5974358974358974.0,227880.68137333909475765740174643,1019113.3886195126232701696469689,0.00081060642932308043396963992089876,0.00678050952968006,5974358968741690.5547573761160044,0.99999999999999985761828406418577
30,6176923076923077.0,242944.60457034753526581859384264,1086481.3011722062669388407575395,0.00075628637658942107431840969901606,0.0100035380658609,6176923070714830.1670447721082447,0.99999999999999983778159659263368
31,6379487179487179.0,258470.46514265040804045614242147,1155915.0604699122728903362327783,0.00070718923168570186444510860528022,0.0145746589194769,6379487172647909.7141936819924834,0.99999999999999981595719562618596
32,6582051282051282.0,274457.12129888920198976221053086,1227409.5602664431355041882256279,0.00066266990542815453848623490288177,0.0209863583074294,6582051274539617.5116142240236574,0.99999999999999979201854865534393
33,6784615384615385.0,290903.4705522880768275551918306,1300959.8700910487074900547387606,0.00062217959215265205377982459755821,0.0298867824039711,6784615376388638.8747151531247104,0.99999999999999976583539785510305
34,6987179487179487.0,307808.44721502993408878375697774,1376561.2240429253373668875725336,0.0005852490620865478012719893259487,0.0421217884881231,6987179478193659.1189037978579156,0.99999999999999973727376992053917
35,7189743589743590.0,325171.02012146397726785927048492,1454209.0106090905370843451338915,0.00055147523582081048131628030059246,0.0587865515220283,7189743579953366.5595859933031407,0.99999999999999970619598557450375
36,7392307692307692.0,342990.19055329590676095974267664,1533898.7633855514530365449553907,0.00052051032499013198878193904528733,0.0812885134746655,7392307681666445.5121660526294048,0.99999999999999967246066876770846
37,7594871794871795.0,361264.99034372420251515051857484,1615626.1525987445699159289984691,0.00049205299411974718721226697167701,0.111423729624969,7594871783331584.2920466797938433,0.99999999999999963592275558967493
38,7797435897435897.0,379994.48014066146563411635605248,1699386.977338425426630168273701,0.0004658411253461375526624528058255,0.151468963399911,7797435884947467.2146289474076339,0.99999999999999959643350290744043
39,8000000000000000.0,399177.74781185430122275314913788,1785177.1584251479004553121106791,0.00044164586256513767215320860510101,0.204292211474785,7999999986512782.5953122051640449,0.99999999999999955384049674748303
