,phi0,mphi_phi0,A6_phi0,lambda6_phi0,dv,phi*,alpha
0,170000000000000.0625,(298.77871683440952776647910474035 + 0.0j),(1190.2587494082850957438938633785 + 0.0j),(1.5821212001050635889348514132432 + 0.0j),(0.0029674320332781386650143758543751 + 0.0j),(169999999999874.92674188987907355 + 0.0j),(3.9999999999999999999992043377323 + 0.0j)
1,176224501537023.1875,(316.4790635139043818923339887215 + 0.0j),(1277.8648640231209721473510094917 + 0.0j),(1.4580232773039351000859577557701 + 0.0j),(0.0038433559700059105928654308065865 + 0.0j),(176224501536886.42935522743435667 + 0.0j),(3.9999999999999999999991154194793 + 0.0j)
2,182676911423367.09375,(335.58341052471118141326160095501 + 0.0j),(1371.349769107018037118468496822 + 0.0j),(1.3443432507943359069980628393457 + 0.0j),(0.0050025395630492267624418679969922 + 0.0j),(182676911423217.378381583824672 + 0.0j),(3.9999999999999999999990136299704 + 0.0j)
3,189365574458270.125,(356.19922932749598187991534739011 + 0.0j),(1471.210983398580373010255656825 + 0.0j),(1.2401564898017279859147462419537 + 0.0j),(0.0065421889470848760622161904967888 + 0.0j),(189365574458105.96329823586238056 + 0.0j),(3.9999999999999999999988969875738 + 0.0j)
4,196299140983415.84375,(378.43585735421381129037690670017 + 0.0j),(1577.9525457045993634882204662136 + 0.0j),(1.1446012628996807903401788474197 + 0.0j),(0.0085936124963734359186532247870714 + 0.0j),(196299140983235.56540436856377198 + 0.0j),(3.9999999999999999999987632485929 + 0.0j)
5,203486578070284.03125,(402.41158907021852948080545994963 + 0.0j),(1692.1195549851462888031324000779 + 0.0j),(1.056903278334511469063442644714 + 0.0j),(0.011335511074604398702153842193512 + 0.0j),(203486578070085.77103505471338146 + 0.0j),(3.9999999999999999999986097595616 + 0.0j)
6,210937181117120.53125,(428.25099670266468444986087155974 + 0.0j),(1814.2851239549868170246009208685 + 0.0j),(0.97635723377744744603814531715188 + 0.0j),(0.015010094633098311257444653443421 + 0.0j),(210937181116902.20647963730705353 + 0.0j),(3.9999999999999999999984335320633 + 0.0j)
7,218660585870526.375,456.08680231001256296934341772504,1945.0592181772115976590227059366,0.90232563086374087873329514411628,0.01994707009528628241517932393254,218660585870285.66114857522814985,3.9999999999999999999982310864729
8,226666780887217.375,486.06015245765745790596261796083,2085.0897687765913525501844343301,0.83423183939245010024265443687792,0.026595068948079454810727446886732,226666780886951.67778029800335916,3.9999999999999999999979984331278
9,234966120452067.78125,518.32091641049500014898262059663,2235.0639162322060462839230792332,0.77155404770118290881722523937779,0.035565412741710854377462063853325,234966120451774.20607159055201324,3.9999999999999999999977309644339
10,243569337969140.875,553.02923273096038000600965560459,2395.7150297230296200323907643613,0.71382152134633222403250207123206,0.047690861104306061681030071835425,243569337968816.19428736375385059,3.9999999999999999999974234183147
11,252487559843027.9375,590.35800970100547597285065808243,2567.8340035526278128795955672979,0.66061117902191274896948303856833,0.064108526416530198105844982660734,252487559842668.55382217015398473,3.9999999999999999999970696946917
12,261732319868452.3125,630.48254906829473084753539982146,2752.2213691667829204002877062388,0.61153044104360569674454416217431,0.086367787091849566785827731481062,261732319868054.21493888235517515,3.9999999999999999999966627940105
13,271315574146745.3125,673.60499177982424715019371005647,2949.7995298269915083889092432498,0.5662395667867851042989480936987,0.11658753284396159537582908738251,271315574146304.0310176453251358,3.9999999999999999999961946735995
14,281249716548480.15625,719.93129376045581346228905056604,3161.5066834830933925324315988511,0.52442067785973700632047579660982,0.1576605620233716144655520804169,281249716547990.71134330451230812,3.9999999999999999999956560410617
15,291547594742265.6875,769.68453384715623059299870545266,3388.357839282541661339975656083,0.48578817497750403213310733541361,0.21353954789034469082912130602617,291547594741722.5297383783594765,3.9999999999999999999950362368695
16,302222526810434.0625,823.10361727571602943071927396507,3631.4386644470689418527107389001,0.45008285363528557640410570742814,0.2896275259210707899440333573071,302222526809831.01011523083581574,3.9999999999999999999943229886491
17,313288318473107.9375,880.44498721255938346950361156204,3891.9131387351743466623192805907,0.4170693627094910367379354455678,0.39331401181529098527200383608127,313288318472438.10464953878490788,3.9999999999999999999935021447768
18,324759280942916.625,941.98208524906526168083695369651,4171.0209981437103762979385930195,0.38653282259733201841161697981633,0.5347024866321821780980344706602,324759280942172.34061120443961043,3.999999999999999999992557447531
19,336650249433457.5,1008.0091556176502965401064502674,4470.0949104417120253268703260004,0.35827791388192953349194938437864,0.72761539588118829668316942742478,336650249432630.2186385496282188,3.9999999999999999999914701733614
20,348976602345444.375,1078.8410083444663003489840673357,4790.5593035433353533394978313952,0.33212608366516688340782799527541,0.99096387151378747095651596732852,348976602344524.57776341143096395,3.9999999999999999999902187679356
21,361754281155352.1875,1154.8153979863558369222793763709,5133.9410677514833338613025661764,0.3079141950595267596947584047942,1.3506256520262866410393499433336,361754281154329.27278241203546733,3.999999999999999999988778426666
22,374999811032272.4375,1236.2940440334925853644091013773,5501.8741093868167368897780732985,0.28549280455062489944717921226797,1.8420171326119064307572220589383,374999811031134.59695937475565424,3.9999999999999999999871205856844
23,388730322209649.125,1323.6650007866286603776918573413,5896.1100085406455936596742348584,0.26472500165747284984680523967855,2.5136121216073116834547963688531,388730322208383.20272695690733669,3.9999999999999999999852123851796
24,402963572139540.0625,1417.3442820222346947798260943108,6318.5253085647250531875273805193,0.24548513018656098140351322743471,3.4317672995077981065432207254906,402963572138131.40781173475226989,3.9999999999999999999830159881029
25,417717968458051.1875,1517.7776079727627663939402251787,6771.1293639133439732152567743023,0.22765769491755099175737475063594,4.6873241667027922185989544676712,417717968456483.48139813634874007,3.9999999999999999999804878401447
26,433012592791637.1875,1625.4430707940633261559909365438,7256.0763282147273567393200372202,0.21113651804882196113471935052294,6.4046539674086589505053036710911,433012592789892.24976894626652266,3.9999999999999999999775778146909
27,448867225435062.0625,1740.8528096192524392425995717346,7775.672678396477186351897265908,0.19582380493312060333150417010662,8.7540465215761456855481028954928,448867225433119.64643162803068249,3.9999999999999999999742281980304
28,465302370932943.5,1864.5560883699441811829161320504,8332.3910572687812173065305825787,0.18162948713919625768035259192926,11.968674561115628244410102839283,465302370930781.05168015267903433,3.9999999999999999999703725682538
29,482339284597958.875,1997.1415687855096023173273692366,8928.8804894470199352842477244191,0.16847050135571938379324255510813,16.367836142121914889704274474579,482339284595551.2727047079693297,3.9999999999999999999659344563417
30,499999999999999.9375,2139.2399803517430536951851330055,9567.9783845813456053536679369224,0.15627018486253531550825330380442,22.388777259831765898267247871117,499999999997319.19888377431506222,3.9999999999999999999608258390943
31,669855006956597.25,3744.8456136949732068128159585231,16782.534949759791871352377039532,0.08486843161214055725038957928404,287.51008177895403230595849945156,669855006950162.60355824690394236,3.9999999999999999998775194134386
32,897411460689642.375,6560.7786838765360083781712788317,29426.324652589154393599464962939,0.046132523897279737115700474649989,3708.8191594652907587638864841851,897411460674176.6546449827472981,3.9999999999999999996158497577732
33,1202271120486381.0,11497.628846068016971186962572114,51587.757772901589174691106161708,0.025088156543767713262542491072898,47921.615491881982500964224750629,1202271120449196.2237900912531394,3.9999999999999999987937657466036
34,1610694659554241.75,20153.06665153504142535169390556,90438.346835066501274961353705174,0.013647829299144700826242570823151,619697.50711174648488043623610159,1610694659464831.3486400565019236,3.9999999999999999962105379974809
35,2157863764761321.5,35330.286906269719476517971027257,158559.74664141985475692567814708,0.0074261955353253891812963194947555,8018383.7037916362250885928767219,2157863764546336.2800598235742458,3.9999999999999999880917574588535
36,2890911694311157.0,61948.270775239616133384925583867,278029.11146808742746084046773907,0.004041721665578747518269294396392,103808682.02092739828114264076671,2890911693794238.3016403309987582,3.9999999999999999625706887678656
37,3872983346207417.5,108640.17657325531902611277448017,487592.57747247527934199589504789,0.0022001800693881331004151341321039,1344679918.5189215049694435985452,3872983344964534.190881880219009,3.9999999999999998823317374933278
38,5188674572633110.0,190560.4955278486331830861883899,855263.35041952562561110498944313,0.0011979495051011242620914459497911,17427830975.357611931501570556868,5188674569644735.517712398786702,3.9999999999999996300136829070883
39,6951319283893344.0,334315.89933299127006482763774686,1500450.2714191443173752042313839,0.00065238627366192758720631943917206,225998958786.83819250963827848788,6951319276708161.2501839854318347,3.9999999999999988364414566796268
40,9312752054539772.0,586627.85252545643209721873005749,2632833.2318150327482903651527005,0.00035534901364379708329875893495254,2932285380859.4409743048780860875,9312752037263907.7199963920380754,3.9999999999999963401344312434068
41,12476387184557560.0,1029553.7751962593795958277372886,4620670.7399489578578329378185313,0.00019359209608243393438374368983197,38066216015808.723464244795557931,12476387143019946.582432541559927,3.9999999999999884863075440321106
42,16714740848610012.0,1807236.6562392708464920900780994,8110842.0044250575947245132921311,0.000105487425139138169114415472315,494428192268956.45918984294667098,16714740748738078.605552180693082,3.9999999999999637727737978242213
43,22392905694846760.0,3172922.288379788798200861187609,14239840.045772089762674475158786,0.000057490062441213260437060307673869,6425292001795540.792511262104199,22392905454717130.512400397794373,3.9999999999998859947270229604108
44,30000000000000012.0,5571613.6849810233772476495131696,25004685.128441605306358244627523,0.000031337362344903878823502402478854,83541958257864438.124701994311181,29999999422637545.477453391319181,3.9999999999996411750031258183082
